resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,upload_id,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,,,,,,,,,
2,"{'id': 74399432, 'resource_state': 1}",Morning Run,804.7,240,240,0,Run,Run,,17742608296,2026-03-16T13:32:00Z,2026-03-16T09:32:00Z,(GMT-05:00) America/New_York,-14400,,,,0,0,0,1,0,"{'id': 'a17742608296', 'summary_polyline': '', 'resource_state': 2}",FALSE,FALSE,TRUE,FALSE,everyone,FALSE,g29223819,[],3.353,,0,FALSE,FALSE,FALSE,,,FALSE,0,0,FALSE,,,,,,,,,
2,"{'id': 74399432, 'resource_state': 1}",Morning Run,13715.3,3968,4217,0,Run,Run,,Garmin Forerunner 55,17742595605,2026-03-16T12:23:00Z,2026-03-16T08:23:00Z,(GMT-04:00) America/Anguilla,-14400,,,,0,0,0,1,0,"{'id': 'a17742595605', 'summary_polyline': '', 'resource_state': 2}",TRUE,FALSE,FALSE,FALSE,everyone,FALSE,[],[],,3.456,3.808,79,FALSE,FALSE,FALSE,0,0,18841445675,18841445675,stripped_garmin_ping_546902696305,FALSE,0,0,FALSE,,,,
2,"{'id': 74399432, 'resource_state': 1}",Morning Run,21548.4,5782,5955,17.3,Run,Run,,Garmin Forerunner 55,17733792812,2026-03-15T14:37:19Z,2026-03-15T10:37:19Z,(GMT-05:00) America/New_York,-14400,,,,1,11,0,1,0,"{'id': 'a17733792812', 'summary_polyline': 'qxguFtb}aOTGZClAE^?JFBDCN_BbE]fA{@pBe@`Ac@Vi@Bg@KKe@Gq@@uASgCG}BOq@Is@e@qKg@iIKaFIs@g@sK@_AO_B]mGo@wO_@aGC_AIs@GMGCK@gB~AoEpDuApAsCbCo@b@k@h@mBxAiAt@GBg@HqBWi@CSBm@R_@\\wAtBs@z@k@Xi@\\[b@gAnBUj@GTKxBI\\]d@{AfAoDvCcBnAm@Ru@HmCHi@?uCLkABw@AsDVw@Jc@TWRqAtAa@Ty@Vi@FcATkAP}Cj@e@Pc@VyAdAk@\\MDe@JM?i@GKE_B_AgA{@aEqEmCeDm@q@yDaFk@m@cEuF{AeBm@g@u@c@a@OYGg@Cw@@kAH_BHgD\\u@Le@N_HfDe@Ru@NaG`@{BAi@B}@Lg@LUNuAfAo@l@oB|Ao@n@a@p@Wl@_@zAMdACr@@jGDrJAjLJrVApGDvCG~BDfDAnCDbDGfJFdO?rD@hBFn@Pr@NF~@?~BJhAJdEVhDFbA?zBOdEOfAKxH]lBMbAAdDS|CI~AMhBGf@VTh@@r@G~HBxANh@\\BrCEdB@`@Bx@Vr@F|IDrADrNBtAB`JCtDFbE?fFF~AA~KD~Q@rCGhI?bDDpEEpABn@EfCBx@Id@OfAi@lA[xBGjA@ZDGqA@aAG_DA{CBiACmFUiGIs@g@kCkAqHc@}DOwCA{@RmBHa@Pg@Bu@PmA@aAAiFIsAa@eKCs@?s@DOzBgFz@wB`BeDd@sAFMX_@t@_BZ{@|AkDVw@Zs@b@q@`DmHl@iAd@w@xByCj@aAp@{@FKPi@Xc@f@a@t@c@LQr@uAG}NCIE?Be@?wCOaPDmB?gHAiC?o@IoG?qDB}@?oA?mLKkICsIKk@yKJ{G@_CFcACcGFoFAgDDkG@aABe@DCDAb@ZzDv@tMFvARxCF|Ad@xHDfARxDDvA`@jHZxG\\dFRnDPpEd@pJXhHRbCJ`CP|B@`ANfAh@|K@p@Gn@HhANnDLrALvCHl@RLb@DpAXnAG`A@rCO\\P`@PvJKrABt@CfDA`D@eAF[Gc@WkEBgAAM[GsBEc@Ua@c@Ke@AyBR}@@c@GUe@Iw@UOaAQm@Ey@O_@Fu@hAo@|Ay@fBSj@?NHXVB~@I~@Cr@K^DMPm@BkB@UI?ENG~ACJ@BBCJWLyAJ', 'resource_state': 2}",FALSE,FALSE,FALSE,FALSE,everyone,FALSE,"[40.349693, -84.367947]","[40.349659, -84.367873]",,3.727,4.333,79.5,FALSE,FALSE,FALSE,295.8,287.5,18832563510,18832563510,stripped_garmin_ping_546549229978,FALSE,0,0,FALSE,,,,
2,"{'id': 74399432, 'resource_state': 1}",Lunch Run,12966.3,3455,3499,12.9,Run,Run,,Strava App,17722308408,2026-03-14T16:29:13Z,2026-03-14T12:29:13Z,(GMT-05:00) America/New_York,-14400,,,,0,7,0,1,0,"{'id': 'a17722308408', 'summary_polyline': 'oxguFbc}aOp@GVKvACJBCRQTQ\\?FMFQf@CLKF?JGDGX]n@ALWd@g@tAg@`AM`@AXDX@z@FN@t@JhA@fBHtBF\\Ax@Hh@BdBEbABP?r@Cz@Qh@E`@O?@FIREf@Kf@DNFlAJRCH?h@DX@d@DD@fAZx@RhBZ~ALfADFPhBb@pCAHJf@@PHLARFTAHJ~ACLBH@x@CLDl@FzQAXKNCV@|@OXo@R{BBkANy@Tg@\\M?QPYHuBB]GWFw@CeCBQEKDGEqA@IDe@CYDQEMDu@GiABSEg@Dg@@}AGIF]EeBDQEgADKE}AAmBDOEo@BUD[CEGe@FKEoBDMEUDyCE{BDmBIeB?MFYGcG@yCG_BBEB{AIGBMGaBFsCIGDi@?}AMk@H}DGg@DoB?a@A[D{@IKFEEoCCKDQGq@BmCIyBAYDy@Ie@Su@MkF@e@EOFCZF|BCtCDTAr@D|@ChDB`AEp@FbE?zHBFAzEDv@C`@?`BCFDhGLHt@EbA?l@Df@GvD@p@FrCCJFxAG`@FlCG\\DPEVDDGPFn@BNGjAA^FRExC?jDHz@@x@EvCJTG~@BNElCDjAHZE~ADRAFE\\D~EC|AFtBEtBJr@Eh@DpAEbEFlAEJBpDAdAH`A@BEZD^IDWA[B_@EuAD[IYDa@BIEUB]EY?sBCEBG?s@Ec@?s@E]LeBCQ@iACa@Be@C}@B[EyABKGWDWEuBFiBGyADmBGaCB_CCQB_@HOj@MxI?bADf@EZDdDClGDdAIt@WDMx@]lASnAKj@D|@CTKFQ?GFUGO@SCYBaBEyBBGGc@@_@BICm@FsBGcA@qAEIBQAaAMkBAaAOiBg@aC?S[cB?UWyA@OEEQgAK]FOKSDESkAEsAKWBKG_@A{@BGC]H[AKRc@AKL]PGxBFjBE`Am@RDvAG`@D\\Ip@DRw@Cu@?u@CGFQCu@DWb@FfBEBDl@?z@IRBn@Cz@B\\Gn@DvBGZD~@IrA?DCJ_@E{@D[E_@?{@BYCYCkBBa@G}@FaBIgC?wBCm@BGEi@Dc@GkA?{AGk@Ds@CgCB[GcAGSMEYFm@Go@Bs@Gu@B_AEOSIWBmAAsAEOQIaAKq@DMEcBAiBDcAFKHMf@oArCMj@YZYx@MRMZMFmAhC[|@k@`AM`@DIEe@Zm@Xw@WK_CDOFCXGPBm@FOHCdB?l@GDMCS_@MoBBIDCR?RDHLC?QM?', 'resource_state': 2}",FALSE,FALSE,FALSE,FALSE,everyone,FALSE,"[40.349681, -84.368019]","[40.349643, -84.367749]",,3.753,5.86,FALSE,FALSE,FALSE,294.9,286.8,18820946993,18820946993,stripped_B504504D-8047-46BD-9D87-4B42E5350808-activity.fit,FALSE,0,0,FALSE,,,,,
2,"{'id': 74399432, 'resource_state': 1}",Morning Run,13751.1,3540,3774,5.6,Run,Run,,Garmin Forerunner 55,17709257516,2026-03-13T14:48:38Z,2026-03-13T10:48:38Z,(GMT-05:00) America/New_York,-14400,,,,0,8,0,2,0,"{'id': 'a17709257516', 'summary_polyline': 'qpjqDxklmNGX@d@DTDDB?zAu@`@WvAi@xBiA~@]`@IfAi@~CsAlEiBVGvDaBbAY`@EzCiAnASh@OjFcAhD}@b@Qh@Uz@i@\\[DKHa@N_@d@Sv@Y|CqAf@M`EaBh@Sb@MvAi@zAu@bC}@`EgB`C}@hF{BxAi@j@YtAa@bBq@^UfA]z@[l@Mb@QhCcAdFkB`By@dE}Ad@_@b@Mx@QpEgBxAq@f@Oh@WNKd@Q?J~B}@p@[nAc@hH{CfAi@dBm@|F_CxCwAxBaAf@OjCcA`@Ub@OzBw@xGwCxCcAdBs@zAu@REd@Od@Un@Uj@[h@UvFiBt@_@`@Of@]^QfCgApC_AnGaCbHyCnDoAn@[z@[rEwBlBw@lFcCr@k@`A}@FMxBcBbAm@PIPOp@WHBkB|@c@VkB|Ay@z@u@r@WNoAp@kDtAo@^iAb@s@`@cBp@oB`AmEbBoAp@iAb@eDhAcFlBy@\\a@LkBv@mBr@wCpAi@P[R[Lc@JgAb@eCx@aBv@eDpAWHaBt@cDjAkAj@c@Lk@X_HrCsFnBg@Xs@Zq@P{Bz@_FzB{@\\aHzCYJ_@CMDe@^UJyCbA_CjAsAd@oDzAu@^iCbA{B`Au@R{Ar@SDyClA_AZgBz@_AXqAj@k@z@QP_@LMHIXATLfE?jBH`GEhDAREPWN_Bn@iAn@wB~@mAl@]\\o@h@[Ni@d@i@\\mAl@s@VqGzCmBx@kA^mAh@ICGMB_BE}A@eKIaHDk@RS~B{@m@NMSBSDE@@CBIFeAh@{Aj@}Af@u@^{Bt@[Pm@RqBz@m@b@Il@MRcAn@{At@uD|@sATeB`@oAPgARgD`AmAj@UD]Pi@PyB|@KH[JmD~A{D~AyChAwCrASFM?_@LmAh@I@IEc@g@', 'resource_state': 2}",FALSE,FALSE,FALSE,FALSE,everyone,FALSE,"[29.222655, -81.005562]","[29.222702, -81.005704]",,3.884,6.817,80.7,FALSE,FALSE,FALSE,7.2,3.8,18807804201,18807804201,stripped_garmin_ping_545769896629,FALSE,0,0,FALSE,,,,
2,"{'id': 74399432, 'resource_state': 1}",Lunch Run,8084.3,2300,2503,2.1,Run,Run,,Garmin Forerunner 55,17698218965,2026-03-12T15:01:48Z,2026-03-12T11:01:48Z,(GMT-05:00) America/New_York,-14400,,,,0,3,0,3,0,"{'id': 'a17698218965', 'summary_polyline': '{ojqD|llmNFb@CJkDnA{@h@gA\\sAl@sAf@m@VeCz@aCbAw@TqBx@mBp@wB`A}CfAgBx@c@Lk@TWN{CjAYDi@Ro@RwAj@eAZkFrBk@VQNYLALKXEBwAj@m@Ne@Xs@NgAj@u@Zs@VWB_Ah@u@PaAj@eAX[NoA`@kAh@_AXiBx@}@T{B|@m@X_DfAs@\\cEzA_@Ps@TkDxAm@Rg@JcPlGe@NuAj@wAd@a@RmBn@qG`CgCdA}@Vo@Xc@LwBx@qFfBuCfAmDlAYLGH_@R}Ad@UJpBgAhAe@|Ac@d@SLC`@UxA]bBk@nAg@vBo@lBs@|@Yb@Sr@SlDyA~B}@`CgA~@Wd@QdBy@hAa@nCiAfAY|By@`Cw@bBo@rAs@vHmCrAi@n@]f@Qv@UhCaAhA[zB{@PKd@M~CoAdA]jAi@h@Qx@a@hBu@f@Wd@Mn@WbA[bFyBv@Up@_@`Cq@jAo@|@YtAs@jBo@|As@|@[r@_@n@Q|@_@ZON[bBs@z@a@ZUfA_@n@[VCr@SpAe@`C_ApI{C\\Ub@MpFyBhBo@|Ao@Rg@Zm@?U', 'resource_state': 2}",FALSE,FALSE,FALSE,FALSE,everyone,FALSE,"[29.22254, -81.005741]","[29.222508, -81.005543]",,3.515,4.317,79.4,FALSE,FALSE,FALSE,7.1,4.9,18796720006,18796720006,stripped_garmin_ping_545389685121,FALSE,0,0,FALSE,,,,
2,"{'id': 74399432, 'resource_state': 1}",Morning Run,14344.5,4262,5218,40.5,Run,Run,,Garmin Forerunner 55,17686718304,2026-03-11T14:56:51Z,2026-03-11T10:56:51Z,(GMT-05:00) America/New_York,-14400,,,,1,7,0,3,0,"{'id': 'a17686718304', 'summary_polyline': 'yojqDjilmNHr@Bt@L^DBxAs@r@U`Ac@LKl@YxBw@vAo@jAa@lBw@|DiBvGqCjCs@`AO|Dy@pCi@l@Fd@Ah@Kf@Sj@KbBu@J@FJ@bBHtD@dCAx@@zAA`CBlA@~ACPKNAFJh@InEJxDPnA\\tAt@vB|ChI^lArB|Fl@nBp@fCf@fA`@fAh@jBj@bBLj@p@`CJj@KJsAl@qB`A{ClAa@LcBv@gC`AWJMLa@Ta@J]T@ZVVj@hAPl@lA|CRhAVbAt@zBXdA?FSLmAd@sEpB{B~@s@TgB|@qDvAkAl@u@VEDVjArClFb@jA\\n@FNCA@GCM?p@PL`@h@z@bB^n@Th@\\l@z@lB`@l@fBrDjAvBXb@nAbCx@fB\\l@Rb@DVh@jA`@r@d@`A`@l@|@rBNJTb@j@tAf@fBr@fBZrAXr@^zAHf@\\~@Lf@Hd@AFjAxCd@nBHj@bBfFLPCATp@Jn@`AtC^jATfAnBbGd@nBx@pCvAlE\\pAFDFC@@Hn@Xh@Tx@p@|CTf@Lf@\\nB\\TH`@Hl@XtAVn@Nj@h@vAV|@RVPCUqCFw@D^u@^S@ECMi@i@wA_@c@O_@KqACIKGUWIo@[aAWi@q@mBaAwC[_@EC[@oLdFm@TUAS[gBeGDGd@WFO?E}@_Dg@wASy@c@mAI?qB`AyBbAm@PICu@mD_A{CYkA@I@@?Ma@q@O_@o@aCUs@GYi@mAqAiD_@yAEEM?e@JaCdAe@V[XA`@K\\c@XqAf@_@T_CfAqDpAc@Do@gBk@oBWcAYs@a@cBsAqEe@kBgAsDU}@}@sCc@gBw@gCYs@Uc@i@oBi@yAWkAwAsEiA}Dy@kC{A}FqA}D_@uABUE_@]s@g@sA_@sAY}@Kg@c@iA]wASa@aBcFi@gBm@mC{@wCAGHEhBg@rCaALAd@AJBhAXr@VVARU?MOy@G{@a@kBAw@o@{Bm@eBw@uC[_A}@eDi@{AyByHo@mBa@_Bo@}Am@mBOWEa@c@yA[eBw@eDo@eBSiAUs@c@sBc@yAg@oBi@eC@EHIb@U`@Ql@O\\Ml@YrAi@l@Yt@Wp@_@bCeA`@KtAi@j@s@bAw@VkADk@Ee@', 'resource_state': 2}",FALSE,FALSE,FALSE,FALSE,everyone,FALSE,"[29.22253, -81.005179]","[29.222574, -81.005208]",,3.366,5.76,79.1,FALSE,FALSE,FALSE,21.3,1.1,18785166611,18785166611,stripped_garmin_ping_545014157068,FALSE,0,0,FALSE,,,,
2,"{'id': 74399432, 'resource_state': 1}",Lunch Run,3244.9,1009,1080,0,Run,Run,,Garmin Forerunner 55,17674894566,2026-03-10T16:38:00Z,2026-03-10T12:38:00Z,(GMT-05:00) America/New_York,-14400,,,,0,3,0,2,0,"{'id': 'a17674894566', 'summary_polyline': 'qojqD|mlmNt@UlD{AxAm@l@QrB{@`EgBlGiCLIHYBk@Cg@EKA@?CEA@?HJHB@CHR?JGN?VBX@BF@bDyAzAg@zBg@~HyA`AUtCcAv@c@j@e@LYNo@b@UtAg@zCqApCcA}BdAsBt@kAj@}Aj@WXIh@MT[Xu@b@wDlAcCh@i@HaHvAeBd@oAd@gEjBeDlA}Ap@a@Tg@T_AZu@\\wAj@wAp@{D|Aw@^UDEGGw@Dq@G{@BIC@KV', 'resource_state': 2}",FALSE,FALSE,FALSE,FALSE,everyone,FALSE,"[29.222491, -81.005908]","[29.222642, -81.005172]",,3.216,3.867,78.3,FALSE,FALSE,FALSE,5.3,4.4,18773304085,18773304085,stripped_garmin_ping_544641954134,FALSE,0,0,FALSE,,,,
2,"{'id': 74399432, 'resource_state': 1}",Lunch Run,6477.8,1505,1742,41.4,Run,Run,,Garmin Forerunner 55,17674894392,2026-03-10T15:57:56Z,2026-03-10T11:57:56Z,(GMT-05:00) America/New_York,-14400,,,,0,7,1,1,0,"{'id': 'a17674894392', 'summary_polyline': 'mojqDvmlmNBBFB`@Ml@[p@UhCoAtGmClCkAb@MjD}ApBw@tAENEr@Y|Bo@|A[bBWhEaAnCu@fAa@p@I`@DLJFN@RB`DCfCDjE?zBFrDKVHz@MzEH~BJjAf@xBdGpPf@~AjBhFj@xBCLKLu@XyBhAi@\\QZMDa@@KDgAlAiA|@e@J}@j@oAZwAz@QREN?NDNTT?L_@fAATXxA\\hCHFZEj@BRLHJN`@Uv@`@Mz@g@FMCYk@yAs@oA}AwBs@y@cCsBmAu@iJsEoKsF{AcAyAyAa@u@s@wA[gAs@oB{AqFL[\\UjB{@`@UnD{A^c@Pg@Bo@GgD@i@CY?}DCeCDmCCoD@e@HM{@MgBv@c@V{B|@cAf@}B~@k@RiBz@cA\\u@^m@Ra@DGGOk@YGi@Ro@Zg@Pm@N}@b@gC~@VQl@Y\\Wv@e@`@Q|CgAXIt@Ib@KFELUA[CU', 'resource_state': 2}",FALSE,FALSE,FALSE,FALSE,everyone,FALSE,"[29.222472, -81.005874]","[29.222536, -81.00518]",,4.304,5.68,83.1,FALSE,FALSE,FALSE,20.9,0.4,18773303986,18773303986,stripped_garmin_ping_544641923861,FALSE,0,0,FALSE,,,,
2,"{'id': 74399432, 'resource_state': 1}",Lunch Run,3266.8,953,969,0,Run,Run,,Garmin Forerunner 55,17673731218,2026-03-10T15:33:38Z,2026-03-10T11:33:38Z,(GMT-05:00) America/New_York,-14400,,,,0,1,0,4,0,"{'id': 'a17673731218', 'summary_polyline': 'wojqDxklmND^JZFDB?`@Sp@e@VIh@ITKjCoArCkAjH_D|F_C`@Sb@Yb@QnCo@rCi@f@Mr@Kj@ObB[jBg@xAc@d@Or@_@t@m@R_@Fg@VQdBm@`Ac@h@MvB_Ab@O|Am@|Ag@D@IFEAB@s@ZcCx@sAl@aExAmBz@Ql@Ub@s@j@g@X]NgA^sB^i@RaCd@aFx@aAVuCjAm@PmAf@s@^{GjCc@V_C`AqAl@{@ZkAh@o@V_@Vc@JeBl@UBGYBW', 'resource_state': 2}",FALSE,FALSE,FALSE,FALSE,everyone,FALSE,"[29.222527, -81.005566]","[29.222535, -81.005679]",,3.428,3.911,80,FALSE,FALSE,FALSE,5.3,4.4,18772136018,18772136018,stripped_garmin_ping_544614740091,FALSE,0,0,FALSE,,,,
