resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,upload_id,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,,,,,,,
2,"{'id': 60229721, 'resource_state': 1}",Race Walk,321.9,120,120,0,Run,Run,1,17461642683,2026-02-20T14:39:04Z,2026-02-20T14:39:04Z,(GMT+00:00) GMT,0,,,,0,6,2,1,0,"{'id': 'a17461642683', 'summary_polyline': '', 'resource_state': 2}",FALSE,FALSE,TRUE,FALSE,everyone,FALSE,g25537727,[],[],2.682,0,FALSE,FALSE,FALSE,,,FALSE,0,1,FALSE,,,,,,,
2,"{'id': 60229721, 'resource_state': 1}",WU,2820.1,835,848,9.3,Run,Run,,Strava App,17398624266,2026-02-14T19:39:39Z,2026-02-14T14:39:39Z,(GMT-05:00) America/Detroit,-18000,,,,1,3,0,2,0,"{'id': 'a17398624266', 'summary_polyline': '_wfeGd{fkOh@HF?VBD?PF^TPd@XZZJVBd@Cf@Dj@HPFZCn@@DB?HB@VGHUXDr@@RAJ@|@G\\@FD@HCZ?pA@`B@FCtA@jCIJKAMFSDKDe@DGX@OEKECG@GCOQKEMYQGSBKJDd@?rDBN?j@CN@|@AN@`@AFAXBbACx@Bb@Ch@BTA~@@RAHB`@C~@Bz@Cz@@NApD@`@CbA@RAdBBzACrAFzABGAMGu@@qBAa@BaCEgFBoB?u@CM?o@BICkABoBCeDBi@CMBsDCs@@cAAW?_DBSDiCEkAB}@Ay@IYUAK@[?U@MCUAIESGqBAc@SKIKSM]]UWIk@A_@G', 'resource_state': 2}",FALSE,FALSE,FALSE,FALSE,everyone,FALSE,"[42.966587, -85.891676]","[42.966602, -85.891699]",,3.377,4.3,FALSE,FALSE,FALSE,211.5,203.9,18495515672,18495515672,AD1F80EB-11B2-4FE3-9BEC-1ED2C1CD0985-activity.fit,FALSE,0,0,FALSE,,,
2,"{'id': 60229721, 'resource_state': 1}",Run,2757.1,775,971,10.3,Run,Run,0,Strava App,17388792641,2026-02-13T22:59:23Z,2026-02-13T17:59:23Z,(GMT-05:00) America/Detroit,-18000,,,,0,3,0,1,0,"{'id': 'a17388792641', 'summary_polyline': '{cgeGbffkOFe@VcAZ{@F{@FU?]Gi@@YAOHyBBYFOVQPA\\IF@PEPODMLQHSGa@BUFOB]COC[@YIuAHSLIP?XGVB\\CZJFXE`@DLGx@Hz@@b@BF?RJTZRn@n@FT@VB\\`@x@DBF?NYL?DCHQLO`@YRWZUJENDR@JEXS^Sj@k@XMHBBFBd@HJHFn@J`@G]yEEVDV@VDFHHn@FZZTd@^h@LJJ@^EnAq@LCn@BXCHDDXNNLFb@HR?l@tA?HEVBlAC^Br@@F?h@BFELOBIFYZWPUVUNCDMBg@h@c@ZCFKHAFg@b@i@p@Ud@aAnAe@\\WLOLE?OD[AMB_@CWB[Ao@HUGi@U]Ug@g@K?KLIVuAzCMNENUj@KJi@rA', 'resource_state': 2}",FALSE,FALSE,FALSE,FALSE,everyone,FALSE,"[42.966705, -85.891693]","[42.966488, -85.891569]",,3.558,4.7,FALSE,FALSE,FALSE,217.1,210.4,18485610613,18485610613,BF74BFFA-4A0C-4FEE-86B6-0B31A263C384-activity.fit,FALSE,0,0,FALSE,,,
2,"{'id': 60229721, 'resource_state': 1}",Backrooms Loop,539.1,204,264,3.6,Run,Run,,Strava App,17330400215,2026-02-08T15:10:20Z,2026-02-08T10:10:20Z,(GMT-05:00) America/Indiana/Indianapolis,-18000,,,,0,7,1,1,0,"{'id': 'a17330400215', 'summary_polyline': 'ib~yFrnmfOOEi@EKBADEALP\\?VB`@ZLP@Ct@@p@Dv@R\\XLPRhAAXOp@WSIJj@?F[Bo@Oq@OYKKa@UsBq@MS', 'resource_state': 2}",FALSE,FALSE,FALSE,FALSE,everyone,FALSE,"[41.119253, -85.107135]","[41.118959, -85.107224]",,2.643,4.881,FALSE,FALSE,FALSE,237,231.2,18426980542,18426980542,CB6F021E-1DCC-4C46-8A67-D0E14BDCF2B2-activity.fit,FALSE,0,0,FALSE,,,
2,"{'id': 60229721, 'resource_state': 1}",We’ll See,677.6,228,1983392,0,Run,Run,,Strava App,17062801210,2025-12-23T22:02:12Z,2025-12-23T17:02:12Z,(GMT-05:00) America/Indiana/Indianapolis,-18000,,,,0,2,0,1,0,"{'id': 'a17062801210', 'summary_polyline': 'mvazFv}lfOE?YSOEOKUIIIICG@ILCr@?lACd@@~AGlACfBBLNF\\BDDD@JCTBDAXBJAD@t@CPCF@PEBK', 'resource_state': 2}",FALSE,FALSE,FALSE,FALSE,everyone,FALSE,"[41.137039, -85.106295]","[41.117168, -85.109227]",,2.972,4.13,FALSE,FALSE,FALSE,235.7,231.8,18157102630,18157102630,EB48520C-3DD5-4BFA-98A5-D83E069F879A-activity.fit,FALSE,0,0,FALSE,,,
2,"{'id': 60229721, 'resource_state': 1}",WU,1948.5,615,615,0,Run,Run,,Strava App,16823790815,2025-12-23T21:16:43Z,2025-12-23T16:16:43Z,(GMT-05:00) America/Indiana/Indianapolis,-18000,,,,0,5,0,1,0,"{'id': 'a16823790815', 'summary_polyline': 'suazFf~lfOmBgAsA{@WISKmBiAk@Uy@g@QGWS]OE?s@]WGOKUGe@SUQi@eAKIa@G_@Mm@KUIo@K_AWg@I[Ka@IUKS?YGS?WIi@A?HPENDHAZDJAN@nEhAh@Hb@Nj@J|@TJ@JNN^`@h@ZPL@HF|@\\VDHHTHNJJB`@XZLHH\\PD?\\TNFRNJDTNH@r@b@F@FHd@PPNz@b@BDJBFHVFPN', 'resource_state': 2}",FALSE,FALSE,FALSE,FALSE,everyone,FALSE,"[41.137161, -85.106392]","[41.137379, -85.106325]",,3.168,3.98,FALSE,FALSE,FALSE,233.1,231.9,17915121843,17915121843,354570E3-751A-49EF-BE43-0F6A628EA38D-activity.fit,FALSE,0,0,FALSE,,,
2,"{'id': 60229721, 'resource_state': 1}",WU - 4x1k ~ 3x400m - CD,11265.4,2520,2520,0,Run,Run,3,16723084816,2025-12-12T14:56:44Z,2025-12-12T14:56:44Z,(GMT+00:00) GMT,0,,,,0,5,0,1,0,"{'id': 'a16723084816', 'summary_polyline': '', 'resource_state': 2}",FALSE,FALSE,TRUE,FALSE,everyone,FALSE,g19351325,[],,,0,FALSE,FALSE,FALSE,,,FALSE,0,0,FALSE,,,,,,,
2,"{'id': 60229721, 'resource_state': 1}",DaaBin,11283.3,3427,5711,45.7,Run,Run,,Strava App,16704394968,2025-12-10T13:27:00Z,2025-12-10T08:27:00Z,(GMT-05:00) America/Indiana/Indianapolis,-18000,,,,0,7,0,3,0,"{'id': 'a16704394968', 'summary_polyline': 'es~yFrlmfOcCwAu@E[KAeBIw@Qa@o@]I@A^]r@eAh@qAd@Y^IX_@h@KJc@Na@H}A?k@QWAc@Lq@d@aATmBSyBG[QU[Qm@G{@@q@CYBOCcBEc@CgCMaAEEG_@Uc@aAsAgA}@y@O]c@Mg@@wAAWQIyALkE?e@Pi@v@I`@e@BFI`@?BIII[PALB@POGEsFKw@[Q@ARMBCDFx@Ef@D~BGZFv@Ch@B\\ANBhAAh@D\\E`@FdBAf@BJ?d@EJ@zAF\\?l@RTEFALB`AAjAD`@En@@f@ALFnCC^FvAA\\Dz@ETDl@CN@vDDZAN]@WVg@AICGMFk@La@I{@?aAGg@[q@Qs@Ki@Cq@KQ[EqAZqCTYNS\\@j@G\\@dACJIJE~@Hz@CNBt@E`@FVEh@B`BC|@JVJ@DHQ^CPDR@fBCXF`CAfALn@En@DxBCNDhAAz@Dt@A|@Bj@C^@fADd@Cf@BtBKh@SHe@WGIWGGKy@]M]WGaAc@wAs@[UoAe@q@a@}@YmBgASGY[]S_AYkCsA_BfAUp@AhAQ|A[r@_AlAOBMY_A_@yDHBd@A^F~B?bDId@y@hBOf@Ct@J~@Xz@JNF`@JL~@nCTf@d@~ANXb@jALh@vAtDDTCN@FLNn@lBt@bCT\\DVJN\\rAFD|AxEn@z@j@Zl@Ll@AzD_@zAu@bDqCl@U~@QHNFd@DB@`@Hv@LLjB[~@?FCJU?SBMEoABKJGRFbAGZRJ~@DrBLh@VHt@Bz@CPETLTI^Fd@Id@BZK`HQh@BxHUHCLQA{DDSLGpAEVDTGhGQzAJl@JVNT@t@`@RR`@NJCPeAJUPqAAMByAFc@`BIRCLOh@Bx@GDEGUB_@Im@Cg@Jm@Ec@DsCFm@j@gBNq@FKPI`@E~@BzAK`BHp@`@Mb@@VDH^D\\Tp@Fr@CFCFMJTb@QnBWvABdBOxDA{GxBlA?hDQ^HPWBi@G}AAsDE]BcAE{@@aBE}ADw@GyAAiAAcCBi@IoCFoBHo@ZoAjAmCd@}@bAkC\\U`Af@T`@PIfDwIIIg@BQIWu@WUc@MYw@i@[e@u@]WWGiAcA[MUy@KCSVE?_@Y[e@?Md@k@D[Vu@TY^ILONw@HO`@mC@aACID}@COa@Ie@Y', 'resource_state': 2}",FALSE,FALSE,FALSE,FALSE,everyone,FALSE,"[41.119527, -85.108239]","[41.118852, -85.10828]",,3.292,4.68,FALSE,FALSE,FALSE,248.7,230.9,17794232566,17794232566,A764D19E-4424-4E67-B853-E4E83921CBF7-activity.fit,FALSE,0,2,FALSE,,,
2,"{'id': 60229721, 'resource_state': 1}",CD,1397.7,485,4756,2.1,Run,Run,,Strava App,16659909339,2025-12-05T19:31:40Z,2025-12-05T14:31:40Z,(GMT-05:00) America/Indiana/Indianapolis,-18000,,,,0,1,0,2,0,"{'id': 'a16659909339', 'summary_polyline': 'iwo}FhkimO?l@B\\AXBF@bAM~@W?IDk@AWDIAU@GEOWKDQCz@nBB?KJNF?BCJ?LGJCPMVI\\S^Kn@Bd@CjAFtAAF@JElAINE?EDAJBN@xADXGf@@D?v@@LBp@AHE@MClAi_@DW?QIq@', 'resource_state': 2}",FALSE,FALSE,FALSE,FALSE,everyone,FALSE,"[41.701154, -86.22923]","[41.70063, -86.229746]",,2.882,4.36,FALSE,FALSE,FALSE,225.3,223.1,17749054577,17749054577,357BCA22-7C55-44C8-816D-34255887A4CC-activity.fit,FALSE,0,0,FALSE,,,
2,"{'id': 60229721, 'resource_state': 1}",Strides,482.8,72,72,0,Run,Run,,16652148194,2025-12-04T22:33:29Z,2025-12-04T22:33:29Z,(GMT+00:00) GMT,0,,,,0,2,0,1,0,"{'id': 'a16652148194', 'summary_polyline': '', 'resource_state': 2}",FALSE,FALSE,TRUE,FALSE,everyone,FALSE,g21189657,[],,,0,FALSE,FALSE,FALSE,,,FALSE,0,0,FALSE,,,,,,,
