fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,distance
1,1,1,True,1,0.62,3,0.23,2,0.15,0,0.0,4,0.0,1,0 days 01:59:04.800000
1,4,2,False,2,0.64,3,0.24,1,0.08,0,0.02,6,0.02,6,0 days 02:41:19.800000
1,3,5,False,5,0.58,6,0.38,7,0.04,0,0.0,3,0.0,5,0 days 00:53:59.400000
1,5,1,False,1,0.61,2,0.39,0,0.0,3,0.0,4,0.0,6,0 days 00:15:02
1,5,3,False,3,0.6,2,0.31,5,0.09,1,0.0,0,0.0,3,0 days 01:32:45.100000
1,7,0,False,0,0.87,6,0.08,4,0.05,1,0.0,3,0.0,8,0 days 02:47:43.900000
1,6,6,True,6,0.68,7,0.26,0,0.03,4,0.03,3,0.0,1,0 days 05:23:04.100000
1,4,4,True,4,0.71,7,0.18,6,0.09,1,0.02,3,0.0,1,0 days 03:34:52.600000
1,7,1,False,1,0.77,2,0.2,4,0.03,0,0.0,3,0.0,8,0 days 02:17:14.400000
1,5,5,True,5,0.71,7,0.23,6,0.06,0,0.0,3,0.0,1,0 days 00:53:51.600000
1,7,2,False,2,0.71,0,0.16,6,0.11,4,0.02,3,0.0,8,0 days 04:59:02.600000
1,6,7,False,7,0.91,0,0.07,6,0.02,1,0.0,3,0.0,3,0 days 05:23:43.200000
1,6,6,True,6,0.67,0,0.29,7,0.03,4,0.01,3,0.0,1,0 days 05:22:15.700000
1,7,6,False,6,0.7,1,0.26,0,0.04,2,0.0,3,0.0,8,0 days 03:09:06.100000
1,7,6,False,6,0.68,7,0.19,0,0.13,1,0.0,3,0.0,2,0 days 00:56:08.800000
1,1,2,False,2,0.77,0,0.22,1,0.01,3,0.0,4,0.0,3,0 days 01:02:05.700000
1,0,6,False,6,0.6,0,0.37,2,0.03,1,0.0,3,0.0,2,0 days 01:25:25.200000
1,0,0,True,0,0.71,7,0.23,6,0.06,1,0.0,3,0.0,1,0 days 06:42:41.500000
1,1,0,False,0,0.62,8,0.25,7,0.13,2,0.0,3,0.0,8,0 days 00:27:51.600000
1,0,0,True,0,0.7,5,0.19,2,0.08,7,0.03,3,0.0,1,0 days 02:19:32.700000
1,0,4,False,4,0.61,1,0.34,6,0.03,0,0.02,3,0.0,4,0 days 03:08:14.500000
1,0,2,False,2,0.62,0,0.26,7,0.08,6,0.04,3,0.0,2,0 days 05:54:57.400000
1,1,1,True,1,0.63,4,0.28,0,0.07,7,0.02,3,0.0,1,0 days 02:17:09.600000
1,0,2,False,2,0.59,1,0.38,6,0.01,4,0.01,7,0.01,6,0 days 03:34:50.500000
1,1,6,False,6,0.3368095238095238,3,0.29730952380952375,8,0.28588095238095235,0,0.04,1,0.03,5,0 days 00:54:36.400000
1,0,0,True,0,0.88,2,0.0975,4,0.0225,1,0.0,3,0.0,1,0 days 04:39:08.900000
1,4,1,False,1,0.69,4,0.28,5,0.03,0,0.0,3,0.0,2,0 days 03:34:45.800000
1,4,5,False,5,0.94,1,0.06,2,0.0,0,0.0,3,0.0,6,0 days 00:53:53.500000
1,5,7,False,7,0.4733333333333334,8,0.42666666666666664,5,0.1,0,0.0,3,0.0,3,0 days 00:54:19.200000
1,6,2,False,2,0.82,6,0.15,0,0.03,1,0.0,3,0.0,2,0 days 02:27:42.900000
1,0,0,True,0,0.88,7,0.11,6,0.01,1,0.0,3,0.0,1,0 days 04:37:46.400000
1,6,2,False,2,0.94,5,0.06,1,0.0,0,0.0,3,0.0,7,0 days 00:15:38.700000
1,6,2,False,2,0.66,6,0.3,0,0.04,1,0.0,3,0.0,2,0 days 06:43:21
1,6,1,False,1,0.67,2,0.23,4,0.05,7,0.03,6,0.01,5,0 days 01:22:30.500000
1,6,1,False,1,0.8509523809523809,0,0.08904761904761903,2,0.04,7,0.02,3,0.0,8,0 days 03:35:07
1,0,7,False,7,0.68,6,0.3,0,0.02,1,0.0,3,0.0,3,0 days 04:33:08.800000
1,3,5,False,5,0.3891428571428571,6,0.37085714285714283,7,0.16,0,0.07,4,0.01,6,0 days 00:54:08
1,4,2,False,2,0.9,1,0.06,0,0.04,3,0.0,4,0.0,5,0 days 02:47:09.600000
1,1,4,False,4,0.65,8,0.16016666666666665,2,0.14983333333333332,6,0.03,1,0.01,5,0 days 02:41:21.900000
1,7,4,False,4,0.53,0,0.24350000000000002,2,0.2165,6,0.01,3,0.0,8,0 days 04:02:10.900000
1,5,2,False,2,0.95,1,0.05,0,0.0,3,0.0,4,0.0,6,0 days 01:14:20.300000
1,7,2,False,2,0.82,5,0.14,0,0.04,1,0.0,3,0.0,8,0 days 02:33:36.500000
1,7,4,False,4,0.6,2,0.32,5,0.06,1,0.02,3,0.0,8,0 days 01:20:51.300000
1,7,7,True,7,0.67,1,0.2,6,0.09,0,0.02,4,0.02,1,0 days 04:57:07.600000
1,7,2,False,2,0.645,6,0.21,4,0.14,5,0.005,3,0.0,8,0 days 01:21:00.800000
1,7,5,False,5,0.92,7,0.07,8,0.01,0,0.0,3,0.0,2,0 days 00:54:19.700000
1,1,0,False,0,0.69,4,0.19,6,0.12,1,0.0,3,0.0,4,0 days 05:22:14.400000
1,1,0,False,0,0.72,6,0.22,7,0.06,1,0.0,3,0.0,4,0 days 05:22:16.700000
1,7,4,False,4,0.59,1,0.31,6,0.1,0,0.0,3,0.0,8,0 days 00:54:02.900000
1,1,2,False,2,0.69,5,0.22,3,0.08,0,0.01,1,0.0,5,0 days 03:14:02.800000
1,0,8,False,8,0.69,2,0.29,5,0.01,0,0.01,3,0.0,4,0 days 02:14:51.800000
1,0,7,False,7,0.87,6,0.12,4,0.01,0,0.0,3,0.0,4,0 days 05:23:21.800000
1,1,2,False,2,0.68,0,0.22,6,0.09,1,0.01,3,0.0,4,0 days 02:41:34.400000
1,1,6,False,6,0.62,0,0.25,2,0.09,8,0.04,3,0.0,8,0 days 03:15:19.300000
1,1,6,False,6,0.86,0,0.1,1,0.04,2,0.0,3,0.0,3,0 days 04:31:31.200000
1,0,1,False,1,0.62,0,0.27,6,0.11,2,0.0,3,0.0,2,0 days 04:33:53.900000
1,0,6,False,6,0.89,2,0.07,1,0.03,0,0.01,3,0.0,4,0 days 04:08:09.800000
1,0,1,False,1,0.59,0,0.32,6,0.05,2,0.03,7,0.01,2,0 days 02:49:28.200000
1,1,2,False,2,0.66,7,0.19,6,0.09,1,0.06,3,0.0,4,0 days 03:08:05.900000
1,0,6,False,6,0.64,0,0.22,4,0.1,1,0.03,7,0.01,2,0 days 04:55:50.500000
1,0,2,False,2,0.87,4,0.12,1,0.01,0,0.0,3,0.0,4,0 days 03:22:17.700000
1,0,1,False,1,0.63,2,0.26,0,0.09,5,0.02,3,0.0,3,0 days 02:21:04.400000
1,6,7,False,7,0.67,5,0.2725,0,0.0475,4,0.01,3,0.0,8,0 days 00:54:05.300000
1,5,6,False,6,0.9,0,0.06,5,0.03,7,0.01,3,0.0,3,0 days 00:54:50.400000
1,5,2,False,2,0.95,6,0.04,0,0.01,1,0.0,3,0.0,7,0 days 01:53:05.600000
1,4,2,False,2,0.63,1,0.23,6,0.1,5,0.03,7,0.01,8,0 days 00:54:44.400000
1,1,7,False,7,0.88,1,0.11,0,0.01,2,0.0,3,0.0,2,0 days 00:59:11.700000
1,4,6,False,6,0.6,2,0.33,0,0.05,1,0.02,3,0.0,6,0 days 04:04:15.800000
1,4,4,True,4,0.67,0,0.17,2,0.14,7,0.02,3,0.0,1,0 days 03:35:43
1,4,7,False,7,0.87,6,0.12,4,0.01,0,0.0,3,0.0,3,0 days 05:23:13.300000
1,6,5,False,5,0.3891428571428571,6,0.37085714285714283,7,0.16,0,0.07,4,0.01,2,0 days 00:54:07.900000
1,6,6,True,6,0.59,0,0.25,1,0.16,2,0.0,3,0.0,1,0 days 03:08:33.500000
1,6,2,False,2,0.4955000000000001,0,0.45449999999999996,6,0.05,1,0.0,3,0.0,3,0 days 04:29:04.100000
1,6,1,False,1,0.63,6,0.31,2,0.06,0,0.0,3,0.0,2,0 days 01:21:11.800000
1,4,4,True,4,0.67,0,0.24,6,0.09,1,0.0,3,0.0,1,0 days 03:34:59.700000
1,0,0,True,0,0.91,6,0.09,2,0.0,1,0.0,3,0.0,1,0 days 04:31:07.400000
1,1,6,False,6,0.5325000000000001,7,0.4541666666666667,5,0.013333333333333332,0,0.0,3,0.0,7,0 days 00:54:03.500000
1,6,7,False,7,0.4656666666666666,5,0.44983333333333336,6,0.08449999999999999,0,0.0,3,0.0,3,0 days 00:54:03.900000
1,6,6,True,6,0.81,0,0.18,1,0.01,2,0.0,3,0.0,1,0 days 02:43:03.100000
1,4,5,False,5,0.65,7,0.21,6,0.14,0,0.0,3,0.0,8,0 days 01:20:54.500000
1,6,5,False,5,0.58,2,0.24,6,0.16,0,0.01,7,0.01,3,0 days 02:50:34.400000
1,5,6,False,6,0.925,5,0.04,1,0.035,0,0.0,3,0.0,2,0 days 00:54:00.800000
1,7,4,False,4,0.72,1,0.21,6,0.06,0,0.01,3,0.0,8,0 days 04:28:39.300000
1,5,1,False,1,0.68,5,0.24,7,0.07,3,0.01,2,0.0,2,0 days 01:07:52.500000
1,4,1,False,1,0.7047142857142856,5,0.29528571428571426,2,0.0,0,0.0,3,0.0,6,0 days 00:53:53.200000
1,7,7,True,7,0.71,2,0.15,6,0.1,5,0.04,3,0.0,1,0 days 00:08:29.400000
