fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,distance
1,0,0,True,0,0.96,1,0.04,2,0.0,3,0.0,4,0.0,1,0 days 00:54:44
1,0,6,False,6,0.68,5,0.16366666666666668,0,0.15633333333333332,1,0.0,3,0.0,3,0 days 02:14:12.500000
1,1,6,False,6,0.57,1,0.34,8,0.08,3,0.01,2,0.0,2,0 days 01:24:57.800000
1,0,5,False,5,0.6,4,0.29,0,0.11,1,0.0,3,0.0,3,0 days 03:45:59.100000
1,0,0,True,0,0.93,5,0.07,2,0.0,1,0.0,3,0.0,1,0 days 02:41:11.900000
1,2,1,False,1,0.63,0,0.1941666666666666,3,0.16583333333333333,2,0.01,4,0.0,4,0 days 00:53:56.400000
1,0,2,False,2,0.63,4,0.21,0,0.11,1,0.05,3,0.0,3,0 days 00:54:29.200000
1,0,0,True,0,1.0,1,0.0,2,0.0,3,0.0,4,0.0,1,0 days 02:14:17.100000
1,0,3,False,3,0.79,9,0.2,2,0.01,1,0.0,4,0.0,8,0 days 01:25:38.400000
1,0,2,False,2,0.86,9,0.13,0,0.01,1,0.0,4,0.0,3,0 days 01:20:35.400000
1,0,1,False,1,0.61,0,0.39,2,0.0,3,0.0,4,0.0,2,0 days 04:33:43.800000
1,0,1,False,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,2,0 days 02:10:12.600000
1,0,7,False,7,0.66,0,0.32,5,0.02,1,0.0,3,0.0,2,0 days 04:28:44.300000
1,0,0,True,0,0.924,4,0.06,5,0.01,6,0.006,3,0.0,1,0 days 05:36:51.700000
1,0,7,False,7,0.52,0,0.44,6,0.04,1,0.0,3,0.0,2,0 days 04:28:20.900000
1,0,5,False,5,0.64,6,0.27,0,0.09,1,0.0,3,0.0,3,0 days 02:58:19.800000
1,1,6,False,6,0.63,0,0.24,1,0.13,2,0.0,3,0.0,3,0 days 01:49:48
1,0,5,False,5,0.9,0,0.1,2,0.0,1,0.0,3,0.0,2,0 days 02:41:00.500000
1,0,0,True,0,0.69,5,0.28,6,0.03,1,0.0,3,0.0,1,0 days 04:28:17.300000
1,3,9,False,9,0.68,5,0.23,1,0.04,6,0.03,0,0.02,6,0 days 01:58:30.100000
1,0,1,False,1,0.67,2,0.2,0,0.12,4,0.01,3,0.0,3,0 days 00:54:34.800000
1,0,0,True,0,1.0,1,0.0,2,0.0,3,0.0,4,0.0,1,0 days 03:34:38.100000
1,0,5,False,5,0.85,0,0.15,2,0.0,1,0.0,3,0.0,2,0 days 03:07:51.800000
1,0,7,False,7,0.66,0,0.33,5,0.01,1,0.0,3,0.0,2,0 days 04:28:45.800000
1,0,0,True,0,0.98,7,0.02,2,0.0,1,0.0,3,0.0,1,0 days 04:28:54.900000
1,0,0,True,0,1.0,1,0.0,2,0.0,3,0.0,4,0.0,1,0 days 04:28:25
1,0,5,False,5,0.6,4,0.29,0,0.11,1,0.0,3,0.0,3,0 days 03:46:06.600000
1,1,1,True,1,0.86,2,0.14,0,0.0,3,0.0,4,0.0,1,0 days 00:26:37.600000
1,2,2,True,2,0.7,0,0.27,5,0.03,1,0.0,3,0.0,1,0 days 01:20:40.100000
1,1,1,True,1,0.71,9,0.23,2,0.06,0,0.0,4,0.0,1,0 days 00:33:26.200000
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:26:34.900000
1,1,6,False,6,0.62,0,0.22,1,0.11,2,0.04,5,0.01,3,0 days 01:21:07.700000
1,2,2,True,2,0.99,4,0.01,1,0.0,0,0.0,3,0.0,1,0 days 00:14:21
1,0,0,True,0,0.98,4,0.02,2,0.0,1,0.0,3,0.0,1,0 days 03:34:40.600000
1,1,1,True,1,0.72,2,0.28,0,0.0,3,0.0,4,0.0,1,0 days 00:06:48.400000
1,0,0,True,0,1.0,1,0.0,2,0.0,3,0.0,4,0.0,1,0 days 04:45:35.200000
1,0,0,True,0,0.8465,6,0.1435,4,0.01,1,0.0,3,0.0,1,0 days 05:58:45
1,2,1,False,1,0.62,6,0.24,2,0.13,3,0.01,0,0.0,3,0 days 01:52:42.500000
1,0,0,True,0,0.94,7,0.05,4,0.01,1,0.0,3,0.0,1,0 days 04:55:08.400000
1,1,8,False,8,0.64,2,0.18978571428571428,0,0.16271428571428573,3,0.005,6,0.0025,6,0 days 00:53:42.700000
1,1,2,False,2,0.5153333333333332,5,0.4146666666666667,0,0.05,1,0.016666666666666666,6,0.003333333333333333,4,0 days 00:53:47.700000
1,0,0,True,0,0.94,7,0.05,4,0.01,1,0.0,3,0.0,1,0 days 04:55:10.800000
1,0,1,False,1,0.6,6,0.28,5,0.12,0,0.0,3,0.0,4,0 days 01:55:14
1,2,2,True,2,0.81,1,0.17,9,0.02,0,0.0,4,0.0,1,0 days 00:27:03.700000
1,1,5,False,5,0.73,1,0.15,0,0.09,7,0.03,3,0.0,2,0 days 01:22:06
