fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,distance
1,0,0,True,0,0.65,2,0.21,6,0.11,4,0.03,3,0.0,1,0 days 03:34:58.100000
1,4,1,False,1,0.99,2,0.01,0,0.0,3,0.0,4,0.0,5,0 days 00:41:50.800000
1,3,3,True,3,0.86,0,0.09,2,0.05,1,0.0,4,0.0,1,0 days 02:15:55.500000
1,4,2,False,2,0.69,1,0.31,0,0.0,3,0.0,4,0.0,5,0 days 00:54:25.500000
1,0,2,False,2,0.99,0,0.01,1,0.0,3,0.0,4,0.0,2,0 days 03:08:44.500000
1,0,0,True,0,0.7784523809523809,3,0.19154761904761908,2,0.03,1,0.0,4,0.0,1,0 days 03:08:11.700000
1,6,5,False,5,0.446,3,0.42399999999999993,1,0.13,0,0.0,2,0.0,7,0 days 00:27:07.300000
1,0,3,False,3,0.830333333333333,0,0.1696666666666667,1,0.0,2,0.0,4,0.0,2,0 days 03:40:54.900000
1,1,3,False,3,0.64,2,0.33,0,0.03,1,0.0,4,0.0,4,0 days 02:54:05.200000
1,2,0,False,0,0.66,6,0.33,2,0.01,1,0.0,3,0.0,3,0 days 04:01:51
1,2,6,False,6,0.5326428571428571,2,0.42735714285714294,3,0.03,0,0.01,1,0.0,2,0 days 04:01:45.600000
1,6,2,False,2,0.71,6,0.29,1,0.0,0,0.0,3,0.0,2,0 days 03:21:38.600000
1,6,6,True,6,0.63,1,0.35,2,0.02,0,0.0,3,0.0,1,0 days 01:00:55.600000
1,2,2,True,2,0.59,0,0.27,3,0.12,6,0.02,1,0.0,1,0 days 04:31:25.400000
1,6,6,True,6,0.92,1,0.04,3,0.04,0,0.0,2,0.0,1,0 days 00:54:44.700000
1,3,2,False,2,0.69,3,0.3,0,0.01,1,0.0,4,0.0,2,0 days 04:55:48.900000
1,3,2,False,2,0.44533333333333336,0,0.4446666666666666,3,0.11,1,0.0,4,0.0,3,0 days 03:08:06.500000
1,3,3,True,3,0.78,6,0.22,1,0.0,0,0.0,2,0.0,1,0 days 05:52:16.100000
1,3,2,False,2,0.65,3,0.16966666666666666,1,0.16033333333333336,0,0.02,4,0.0,2,0 days 00:55:00.300000
1,3,3,True,3,0.68,6,0.26,4,0.04,0,0.02,2,0.0,1,0 days 01:20:42.500000
1,3,0,False,0,0.67,3,0.24333333333333332,6,0.08,2,0.006666666666666666,1,0.0,2,0 days 02:41:05.400000
1,1,6,False,6,0.85,1,0.15,2,0.0,0,0.0,3,0.0,2,0 days 00:53:49.300000
1,2,2,True,2,1.0,0,0.0,1,0.0,3,0.0,4,0.0,1,0 days 02:41:42.100000
1,1,6,False,6,0.92,3,0.04,1,0.026666666666666665,2,0.013333333333333332,0,0.0,3,0 days 00:54:43.800000
1,1,1,True,1,0.6854761904761904,6,0.24452380952380953,2,0.07,0,0.0,3,0.0,1,0 days 00:54:03.200000
1,1,1,True,1,0.75,3,0.25,0,0.0,2,0.0,4,0.0,1,0 days 00:23:53.100000
1,1,0,False,0,0.71,6,0.18,2,0.056666666666666664,3,0.05333333333333333,1,0.0,5,0 days 02:14:25.600000
1,1,6,False,6,0.6445238095238096,1,0.2854761904761905,2,0.07,0,0.0,3,0.0,2,0 days 00:54:03.100000
1,1,3,False,3,0.4825,2,0.4575,0,0.04,1,0.02,4,0.0,4,0 days 00:53:52.100000
1,3,5,False,5,0.66,3,0.26,6,0.06,0,0.02,2,0.0,2,0 days 02:21:07.400000
1,0,3,False,3,0.9,2,0.1,1,0.0,0,0.0,4,0.0,4,0 days 04:55:28.100000
1,2,2,True,2,0.87,3,0.11,0,0.02,1,0.0,4,0.0,1,0 days 05:24:07.700000
1,2,6,False,6,0.67,2,0.22,0,0.09,1,0.02,3,0.0,2,0 days 01:27:03
1,2,3,False,3,0.7,6,0.29,0,0.01,1,0.0,2,0.0,5,0 days 05:48:53.700000
1,2,1,False,1,0.63,2,0.33,3,0.03,0,0.01,4,0.0,2,0 days 01:21:51.200000
1,0,6,False,6,0.57,0,0.28,3,0.14333333333333334,2,0.006666666666666666,1,0.0,2,0 days 02:41:04.900000
1,2,0,False,0,0.55,3,0.36,2,0.09,1,0.0,4,0.0,3,0 days 05:23:00.700000
1,2,3,False,3,0.63,2,0.345,4,0.02,1,0.005,0,0.0,2,0 days 00:53:58.100000
1,2,6,False,6,0.58,0,0.28,3,0.13,1,0.01,2,0.0,5,0 days 02:41:04
1,3,6,False,6,0.59,3,0.4,2,0.01,1,0.0,0,0.0,2,0 days 02:26:38.200000
1,1,2,False,2,0.89,3,0.11,1,0.0,0,0.0,4,0.0,3,0 days 02:44:00.300000
1,0,6,False,6,0.86,1,0.11,3,0.03,0,0.0,2,0.0,4,0 days 00:54:45.500000
1,3,6,False,6,0.72,3,0.28,1,0.0,0,0.0,2,0.0,2,0 days 05:56:41.400000
1,6,2,False,2,0.65,0,0.3,3,0.03,4,0.02,1,0.0,7,0 days 04:39:02.400000
1,6,1,False,1,0.6,3,0.25,4,0.1,2,0.03,6,0.02,5,0 days 00:58:49.400000
1,0,3,False,3,0.7,6,0.21,0,0.09,1,0.0,2,0.0,3,0 days 04:28:26.900000
1,0,6,False,6,0.4551666666666667,2,0.4148333333333333,1,0.13,0,0.0,3,0.0,4,0 days 00:53:53.300000
1,6,2,False,2,0.575,1,0.26,6,0.085,5,0.08,3,0.0,3,0 days 00:53:41.900000
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 02:30:36.800000
1,6,6,True,6,0.99,1,0.01,2,0.0,0,0.0,3,0.0,1,0 days 02:12:00.700000
1,6,3,False,3,0.56,6,0.21,1,0.2,0,0.03,2,0.0,2,0 days 02:02:51.900000
1,2,6,False,6,0.65,2,0.22,4,0.09,0,0.02,1,0.02,2,0 days 01:29:20.700000
1,3,2,False,2,0.67,3,0.33,1,0.0,0,0.0,4,0.0,2,0 days 04:29:16.600000
1,3,2,False,2,0.92,3,0.08,1,0.0,0,0.0,4,0.0,2,0 days 02:41:30.400000
1,3,2,False,2,0.64,3,0.32,0,0.04,1,0.0,4,0.0,2,0 days 02:41:20.100000
1,3,0,False,0,0.69,3,0.31,1,0.0,2,0.0,4,0.0,2,0 days 04:28:34.800000
1,3,3,True,3,0.62,0,0.38,1,0.0,2,0.0,4,0.0,1,0 days 02:23:14
1,3,3,True,3,0.92,0,0.08,1,0.0,2,0.0,4,0.0,1,0 days 02:42:38.600000
1,3,3,True,3,1.0,0,0.0,1,0.0,2,0.0,4,0.0,1,0 days 03:12:59.600000
1,3,0,False,0,0.64,3,0.22,2,0.08,6,0.06,1,0.0,2,0 days 01:48:25.400000
1,3,2,False,2,0.64,1,0.27,6,0.08,0,0.01,3,0.0,5,0 days 00:11:27.600000
1,2,0,False,0,0.71,6,0.18,2,0.056666666666666664,3,0.05333333333333333,1,0.0,3,0 days 02:14:25.600000
1,0,2,False,2,0.62,6,0.21,0,0.09,3,0.05,1,0.03,3,0 days 03:08:22.600000
1,1,6,False,6,0.79,1,0.15,0,0.04,3,0.02,2,0.0,2,0 days 02:13:45.500000
1,3,5,False,5,0.68,0,0.18,3,0.12,2,0.02,1,0.0,3,0 days 04:56:13.700000
1,0,0,True,0,0.61,3,0.34,2,0.04,1,0.01,4,0.0,1,0 days 03:35:10.500000
1,1,1,True,1,0.8363333333333333,3,0.16366666666666668,0,0.0,2,0.0,4,0.0,1,0 days 00:54:12.700000
1,1,6,False,6,0.83,1,0.17,2,0.0,0,0.0,3,0.0,2,0 days 00:49:07.100000
1,1,1,True,1,0.69,0,0.3,2,0.01,3,0.0,4,0.0,1,0 days 00:09:41.900000
1,0,6,False,6,0.72,2,0.25,0,0.02,3,0.01,1,0.0,3,0 days 03:35:45.100000
1,6,2,False,2,0.9,1,0.1,0,0.0,3,0.0,4,0.0,7,0 days 00:26:41.400000
1,2,0,False,0,0.5257142857142856,6,0.47428571428571437,2,0.0,1,0.0,3,0.0,3,0 days 01:47:32.200000
1,2,0,False,0,0.64,1,0.16683333333333333,3,0.15316666666666667,2,0.02,6,0.02,4,0 days 00:54:00.600000
1,2,1,False,1,0.8884444444444444,6,0.11155555555555555,2,0.0,0,0.0,3,0.0,3,0 days 00:54:03.800000
1,2,2,True,2,0.695,1,0.23,0,0.07,5,0.005,3,0.0,1,0 days 00:53:51.500000
1,0,4,False,4,0.59,3,0.26,2,0.12,0,0.03,1,0.0,4,0 days 02:55:35.700000
1,2,6,False,6,0.92,0,0.08,2,0.0,1,0.0,3,0.0,3,0 days 04:03:48.500000
1,2,6,False,6,0.69,4,0.29,2,0.02,0,0.0,3,0.0,3,0 days 01:20:35.900000
1,2,1,False,1,0.62,2,0.24,4,0.09,0,0.05,3,0.0,2,0 days 01:25:51.300000
1,3,6,False,6,0.84,3,0.13,0,0.02,2,0.01,1,0.0,2,0 days 03:36:35.100000
1,3,3,True,3,0.87,6,0.1,0,0.03,1,0.0,2,0.0,1,0 days 04:07:01.100000
1,5,2,False,2,0.51,3,0.49,1,0.0,0,0.0,4,0.0,6,0 days 02:42:53.600000
1,2,1,False,1,0.97,6,0.03,2,0.0,0,0.0,3,0.0,3,0 days 00:53:49.100000
1,2,3,False,3,0.74,0,0.26,1,0.0,2,0.0,4,0.0,4,0 days 03:12:17.500000
1,2,3,False,3,0.77,4,0.23,1,0.0,0,0.0,2,0.0,5,0 days 01:48:58.200000
1,2,1,False,1,0.95,2,0.04,6,0.01,0,0.0,3,0.0,2,0 days 00:50:09.200000
1,1,2,False,2,0.6202857142857143,1,0.37628571428571433,6,0.0034285714285714284,0,0.0,3,0.0,2,0 days 00:53:43.200000
1,6,0,False,0,0.63,6,0.3,3,0.07,1,0.0,2,0.0,2,0 days 04:28:20.800000
1,6,2,False,2,0.89,3,0.1,0,0.01,1,0.0,4,0.0,7,0 days 03:47:57.400000
1,6,2,False,2,0.72,6,0.28,1,0.0,0,0.0,3,0.0,2,0 days 03:36:07.400000
1,6,6,True,6,0.99,1,0.01,2,0.0,0,0.0,3,0.0,1,0 days 02:12:47.500000
1,6,3,False,3,0.54,0,0.34,6,0.07,2,0.05,1,0.0,3,0 days 01:21:22
1,0,0,True,0,0.84,3,0.13,2,0.03,1,0.0,4,0.0,1,0 days 03:07:58.900000
1,6,6,True,6,0.99,1,0.01,2,0.0,0,0.0,3,0.0,1,0 days 02:12:42.600000
1,6,2,False,2,0.62,3,0.3,1,0.07,6,0.01,0,0.0,4,0 days 00:56:17.100000
1,3,0,False,0,0.86,3,0.13333333333333333,2,0.006666666666666666,1,0.0,4,0.0,2,0 days 02:41:06.400000
1,3,6,False,6,0.4875,2,0.44249999999999995,0,0.07,1,0.0,3,0.0,5,0 days 03:34:44.600000
1,4,2,False,2,0.7916666666666667,5,0.19333333333333333,1,0.01,6,0.005,3,0.0,7,0 days 00:53:47.900000
1,3,2,False,2,0.5599444444444445,1,0.4093333333333333,6,0.030722222222222224,0,0.0,3,0.0,5,0 days 00:54:16.700000
1,3,3,True,3,0.94,6,0.05,0,0.01,1,0.0,2,0.0,1,0 days 04:28:39.200000
1,3,3,True,3,0.96,2,0.04,1,0.0,0,0.0,4,0.0,1,0 days 02:42:57.500000
1,1,0,False,0,0.67,1,0.28,2,0.05,3,0.0,4,0.0,2,0 days 00:09:30.300000
