fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,distance
1,1,4,False,4,0.65,0,0.2,3,0.1,2,0.03,1,0.02,5,0 days 00:54:39.700000
1,3,2,False,2,0.83,6,0.09,4,0.07,3,0.01,0,0.0,4,0 days 04:03:51.500000
1,0,2,False,2,0.69,0,0.23,3,0.08,1,0.0,4,0.0,2,0 days 03:34:44.800000
1,1,1,True,1,0.82,0,0.16,2,0.01,5,0.01,3,0.0,1,0 days 02:18:24.900000
1,2,2,True,2,0.95,3,0.05,1,0.0,0,0.0,4,0.0,1,0 days 00:59:20.700000
1,0,1,False,1,0.82,0,0.16,6,0.01,5,0.01,3,0.0,2,0 days 02:18:32.200000
1,0,2,False,2,0.85,4,0.15,1,0.0,0,0.0,3,0.0,4,0 days 02:12:18.300000
1,0,0,True,0,0.97,2,0.02,3,0.01,1,0.0,4,0.0,1,0 days 03:08:12.300000
1,1,1,True,1,0.71,4,0.25,3,0.04,0,0.0,2,0.0,1,0 days 00:54:27.700000
1,0,2,False,2,0.93,0,0.07,1,0.0,3,0.0,4,0.0,2,0 days 03:39:04.500000
1,1,6,False,6,0.66,4,0.25,1,0.08,2,0.01,3,0.0,3,0 days 02:37:36.100000
1,3,4,False,4,0.64,3,0.33,2,0.03,1,0.0,0,0.0,2,0 days 04:01:44.500000
1,4,0,False,0,0.57,3,0.25,2,0.17,4,0.01,1,0.0,4,0 days 01:07:20.600000
1,4,2,False,2,1.0,0,0.0,1,0.0,3,0.0,4,0.0,5,0 days 02:01:20.600000
1,4,6,False,6,0.67,3,0.23,0,0.07,1,0.03,2,0.0,6,0 days 02:51:09.400000
1,4,3,False,3,0.93,0,0.06,4,0.01,1,0.0,2,0.0,3,0 days 03:10:20.600000
1,3,2,False,2,0.92,0,0.08,1,0.0,3,0.0,4,0.0,4,0 days 04:28:44.200000
1,4,3,False,3,0.61,2,0.39,1,0.0,0,0.0,4,0.0,5,0 days 01:21:33.500000
