fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,distance
1,0,2,False,2,0.68,0,0.26,3,0.06,1,0.0,4,0.0,2,0 days 05:59:08.400000
1,3,0,False,0,0.67,2,0.25,5,0.08,1,0.0,3,0.0,5,0 days 00:32:15.900000
1,3,0,False,0,0.66,3,0.25,2,0.09,1,0.0,4,0.0,2,0 days 03:24:39.500000
1,0,1,False,1,0.7,5,0.29,0,0.01,2,0.0,3,0.0,3,0 days 01:08:13
1,5,2,False,2,0.63,0,0.19,3,0.12,5,0.06,1,0.0,4,0 days 00:55:04.800000
1,1,1,True,1,0.72,0,0.27,2,0.01,3,0.0,4,0.0,1,0 days 01:56:58.300000
1,5,2,False,2,0.765,1,0.195,5,0.04,0,0.0,3,0.0,3,0 days 00:57:28.800000
1,3,3,True,3,0.61,0,0.29,5,0.09,2,0.01,1,0.0,1,0 days 04:03:23.700000
1,5,1,False,1,0.68,0,0.19,2,0.12,3,0.01,4,0.0,6,0 days 03:09:28.400000
1,5,0,False,0,0.66,2,0.2,1,0.14,3,0.0,4,0.0,6,0 days 02:39:03.400000
1,5,0,False,0,0.66,3,0.25,2,0.09,1,0.0,4,0.0,6,0 days 03:22:36.700000
1,5,0,False,0,0.67,3,0.27,2,0.06,1,0.0,4,0.0,6,0 days 03:08:30.200000
1,5,5,True,5,0.62,2,0.24,0,0.09,3,0.04,1,0.01,1,0 days 00:54:15
1,2,3,False,3,0.68,0,0.21,4,0.09,5,0.02,2,0.0,5,0 days 04:02:07
1,3,3,True,3,0.7,0,0.18,4,0.08,2,0.04,1,0.0,1,0 days 05:02:22.300000
1,0,3,False,3,0.88,0,0.12,1,0.0,2,0.0,4,0.0,2,0 days 02:14:51
1,0,2,False,2,0.64,0,0.26,3,0.1,1,0.0,4,0.0,2,0 days 06:43:50.100000
1,0,2,False,2,0.74,0,0.26,1,0.0,3,0.0,4,0.0,2,0 days 02:14:48.500000
1,0,5,False,5,0.67,2,0.24,0,0.09,1,0.0,3,0.0,3,0 days 01:48:06
1,0,5,False,5,0.59,3,0.4,0,0.01,1,0.0,2,0.0,3,0 days 01:21:18
1,0,2,False,2,0.73,0,0.18,3,0.09,1,0.0,4,0.0,2,0 days 04:29:13
1,0,0,True,0,0.54,2,0.37,3,0.07,4,0.02,1,0.0,1,0 days 02:41:55.900000
1,0,0,True,0,0.97,3,0.03,1,0.0,2,0.0,4,0.0,1,0 days 01:48:21.900000
1,0,1,False,1,0.62,0,0.29,3,0.05,4,0.04,2,0.0,2,0 days 03:13:07.200000
1,0,3,False,3,0.64,4,0.2,2,0.15,0,0.01,1,0.0,4,0 days 02:41:50.800000
1,0,5,False,5,0.69,2,0.29,3,0.01,0,0.01,1,0.0,4,0 days 04:03:00.800000
1,0,2,False,2,0.65,0,0.28,1,0.07,3,0.0,4,0.0,2,0 days 03:08:26.700000
1,0,0,True,0,0.84,2,0.16,1,0.0,3,0.0,4,0.0,1,0 days 03:09:02
1,1,5,False,5,0.57,1,0.2048333333333333,4,0.1851666666666667,0,0.04,3,0.0,2,0 days 00:54:49.700000
1,1,5,False,5,0.68,2,0.2,0,0.08,3,0.04,1,0.0,5,0 days 01:47:44.300000
1,1,0,False,0,0.85,2,0.14,5,0.01,1,0.0,3,0.0,4,0 days 02:16:53.200000
1,3,3,True,3,0.76,0,0.24,1,0.0,2,0.0,4,0.0,1,0 days 04:29:25.500000
1,1,0,False,0,0.67,1,0.20866666666666664,3,0.12133333333333335,2,0.0,4,0.0,2,0 days 00:16:48.200000
1,1,3,False,3,0.64,5,0.21,0,0.15,1,0.0,2,0.0,4,0 days 03:48:29
1,3,3,True,3,0.64,0,0.26,2,0.1,1,0.0,4,0.0,1,0 days 06:43:07.300000
1,3,3,True,3,0.7,2,0.3,1,0.0,0,0.0,4,0.0,1,0 days 04:56:42.900000
1,1,0,False,0,0.68,1,0.31,2,0.01,3,0.0,4,0.0,2,0 days 01:57:28
1,0,2,False,2,0.68,5,0.26,0,0.06,1,0.0,3,0.0,3,0 days 01:48:09.800000
1,0,3,False,3,0.6,5,0.25,0,0.11166666666666666,1,0.03833333333333333,2,0.0,3,0 days 00:54:09.800000
1,3,2,False,2,0.63,0,0.31,3,0.06,1,0.0,4,0.0,3,0 days 04:29:06.700000
1,3,0,False,0,0.7,2,0.24,5,0.06,1,0.0,3,0.0,5,0 days 01:47:50
1,3,1,False,1,0.64,3,0.36,0,0.0,2,0.0,4,0.0,2,0 days 00:54:03.300000
1,5,3,False,3,0.75,0,0.25,1,0.0,2,0.0,4,0.0,6,0 days 05:22:22.600000
1,2,3,False,3,0.96,0,0.03,2,0.01,1,0.0,4,0.0,3,0 days 02:42:00.700000
1,2,3,False,3,0.81,0,0.15,2,0.03,4,0.01,1,0.0,3,0 days 02:41:56.500000
1,2,0,False,0,0.74,5,0.23,3,0.02,2,0.01,1,0.0,4,0 days 03:40:26.300000
1,2,3,False,3,0.61,0,0.29,5,0.09,2,0.01,1,0.0,4,0 days 04:03:33
1,2,5,False,5,0.7,0,0.21,2,0.07,1,0.02,3,0.0,3,0 days 02:16:40
1,5,3,False,3,0.64,1,0.25,0,0.1,5,0.01,2,0.0,4,0 days 00:59:45.300000
1,2,0,False,0,0.66,3,0.25,2,0.09,1,0.0,4,0.0,3,0 days 03:22:06.600000
1,5,1,False,1,0.61,0,0.26,5,0.13,2,0.0,3,0.0,3,0 days 02:11:52.900000
1,5,0,False,0,0.98,1,0.02,2,0.0,3,0.0,4,0.0,6,0 days 04:29:36.700000
1,5,5,True,5,0.4817857142857144,3,0.463547619047619,1,0.05466666666666667,0,0.0,2,0.0,1,0 days 00:54:10.300000
1,0,1,False,1,0.69,0,0.21,5,0.1,2,0.0,3,0.0,2,0 days 01:40:04.900000
1,0,0,True,0,0.69,4,0.25,5,0.04,3,0.02,2,0.0,1,0 days 02:14:51.900000
1,0,1,False,1,0.549,5,0.451,2,0.0,0,0.0,3,0.0,4,0 days 00:54:07.100000
1,4,0,False,0,0.89,2,0.09,3,0.02,1,0.0,4,0.0,5,0 days 04:55:46
1,4,0,False,0,0.69,2,0.3,3,0.01,1,0.0,4,0.0,5,0 days 03:35:33.100000
1,1,3,False,3,0.7155,0,0.25,1,0.0345,2,0.0,4,0.0,3,0 days 00:16:04.700000
1,1,0,False,0,0.9,2,0.1,1,0.0,3,0.0,4,0.0,3,0 days 01:47:55.800000
1,1,0,False,0,0.67,3,0.31,1,0.02,2,0.0,4,0.0,3,0 days 00:54:16.900000
1,3,3,True,3,0.7633333333333333,0,0.21666666666666667,5,0.02,1,0.0,2,0.0,1,0 days 03:35:16.200000
1,0,0,True,0,0.79,3,0.21,1,0.0,2,0.0,4,0.0,1,0 days 02:42:03.900000
1,3,2,False,2,0.71,3,0.27,0,0.02,1,0.0,4,0.0,2,0 days 04:33:32.200000
1,2,2,True,2,0.66,4,0.25,0,0.08,3,0.01,1,0.0,1,0 days 03:35:31.800000
1,1,1,True,1,0.59,2,0.24,3,0.11,0,0.06,4,0.0,1,0 days 02:51:39.600000
1,3,0,False,0,0.59,1,0.4,3,0.01,2,0.0,4,0.0,3,0 days 00:55:52.700000
1,0,0,True,0,0.54,2,0.4,4,0.04,3,0.02,1,0.0,1,0 days 02:41:54.200000
1,3,0,False,0,0.66,3,0.25,5,0.06,1,0.03,2,0.0,2,0 days 00:51:36.400000
1,3,1,False,1,0.67,5,0.21,0,0.12,2,0.0,3,0.0,5,0 days 02:14:57.400000
1,3,3,True,3,0.66,1,0.22,0,0.06,5,0.06,2,0.0,1,0 days 00:54:05.900000
1,3,2,False,2,0.91,0,0.05,1,0.04,3,0.0,4,0.0,4,0 days 02:41:26.200000
1,2,3,False,3,0.57,0,0.37,2,0.06,1,0.0,4,0.0,3,0 days 03:35:55.900000
1,3,0,False,0,0.88,3,0.07,5,0.04,2,0.01,1,0.0,2,0 days 03:39:59.300000
1,0,0,True,0,0.62,3,0.38,1,0.0,2,0.0,4,0.0,1,0 days 02:15:04.400000
1,0,3,False,3,0.62,1,0.36,0,0.01,5,0.01,2,0.0,3,0 days 00:54:31.700000
1,3,1,False,1,0.5606666666666666,0,0.4193333333333334,3,0.02,2,0.0,4,0.0,3,0 days 00:53:32.100000
1,3,1,False,1,0.61,2,0.21,3,0.12,0,0.04,5,0.02,3,0 days 00:43:12.300000
1,3,0,False,0,0.79,3,0.14,5,0.06,1,0.01,2,0.0,2,0 days 00:51:26.500000
1,3,2,False,2,0.61,0,0.38,5,0.01,1,0.0,3,0.0,5,0 days 01:48:11.500000
1,2,3,False,3,0.78,1,0.22,0,0.0,2,0.0,4,0.0,4,0 days 01:21:04.600000
1,0,5,False,5,0.64,0,0.22,1,0.12,2,0.02,3,0.0,2,0 days 00:30:53.800000
1,3,2,False,2,0.57,0,0.28,3,0.15,1,0.0,4,0.0,3,0 days 03:08:30.300000
1,5,2,False,2,0.61,0,0.37,3,0.02,1,0.0,4,0.0,6,0 days 03:35:38.200000
1,5,0,False,0,0.82,5,0.09452380952380952,3,0.08547619047619047,1,0.0,2,0.0,2,0 days 00:33:50.200000
1,2,4,False,4,0.59,3,0.3533333333333333,0,0.03,2,0.02,5,0.006666666666666666,4,0 days 05:24:44.700000
1,0,4,False,4,0.91,0,0.04,1,0.04,2,0.01,3,0.0,2,0 days 02:15:30.900000
1,5,0,False,0,0.6,3,0.26,1,0.14,2,0.0,4,0.0,6,0 days 01:34:32.700000
1,0,4,False,4,0.59,2,0.24,3,0.09,0,0.08,1,0.0,4,0 days 03:35:31.200000
1,4,3,False,3,0.62,5,0.29,0,0.09,1,0.0,2,0.0,6,0 days 04:30:03.200000
1,0,0,True,0,0.55,5,0.31,4,0.11,3,0.02,2,0.01,1,0 days 03:09:19.200000
1,0,0,True,0,0.64,3,0.36,1,0.0,2,0.0,4,0.0,1,0 days 02:15:03.100000
1,0,0,True,0,0.72,1,0.23,4,0.05,2,0.0,3,0.0,1,0 days 02:15:40.100000
1,1,3,False,3,0.65,5,0.29,1,0.03,0,0.03,2,0.0,3,0 days 00:54:59.400000
1,3,0,False,0,0.6,3,0.4,1,0.0,2,0.0,4,0.0,2,0 days 01:21:37.900000
1,1,0,False,0,0.96,2,0.03,3,0.01,1,0.0,4,0.0,4,0 days 01:48:15.600000
1,0,1,False,1,0.7,5,0.27,0,0.03,2,0.0,3,0.0,3,0 days 01:07:42.800000
1,3,3,True,3,0.84,0,0.11,1,0.03,5,0.02,2,0.0,1,0 days 00:54:17.200000
1,0,0,True,0,0.94,5,0.06,2,0.0,1,0.0,3,0.0,1,0 days 00:35:24.100000
1,3,0,False,0,0.735,3,0.24,2,0.025,1,0.0,4,0.0,2,0 days 02:42:34
1,2,3,False,3,0.93,0,0.04,2,0.03,1,0.0,4,0.0,3,0 days 02:41:57.700000
1,3,5,False,5,0.8,3,0.18,0,0.02,1,0.0,2,0.0,2,0 days 02:47:12.400000
1,3,1,False,1,0.83,5,0.17,2,0.0,0,0.0,3,0.0,5,0 days 00:54:05
1,0,0,True,0,0.87,2,0.11,3,0.02,1,0.0,4,0.0,1,0 days 03:35:53.300000
1,0,1,False,1,0.7489999999999999,4,0.21100000000000002,3,0.03,5,0.01,2,0.0,6,0 days 00:54:48
1,0,5,False,5,0.67,2,0.24,0,0.09,1,0.0,3,0.0,3,0 days 01:48:07
1,3,1,False,1,0.64,3,0.24,0,0.12,2,0.0,4,0.0,2,0 days 00:54:01.200000
1,2,2,True,2,0.91,0,0.09,1,0.0,3,0.0,4,0.0,1,0 days 02:14:48.700000
1,2,5,False,5,0.6,3,0.22,0,0.15,1,0.03,2,0.0,5,0 days 02:14:38.100000
1,3,0,False,0,0.66,3,0.32,2,0.02,1,0.0,4,0.0,2,0 days 02:14:43.300000
1,1,0,False,0,0.77,5,0.21,1,0.02,2,0.0,3,0.0,3,0 days 00:53:52
1,2,0,False,0,0.83,2,0.15,3,0.02,1,0.0,4,0.0,2,0 days 03:09:04.900000
1,1,5,False,5,0.69,3,0.18,1,0.07083333333333333,0,0.05916666666666666,2,0.0,3,0 days 00:54:39.100000
1,1,0,False,0,0.73,2,0.22,3,0.05,1,0.0,4,0.0,4,0 days 02:17:41.900000
1,1,1,True,1,0.84,0,0.16,2,0.0,3,0.0,4,0.0,1,0 days 01:50:43
1,1,5,False,5,0.59,1,0.24,0,0.17,2,0.0,3,0.0,2,0 days 00:26:56.200000
1,5,1,False,1,0.48,5,0.34,0,0.11,2,0.07,3,0.0,2,0 days 00:53:45.800000
