fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,distance
1,0,1,False,1,0.9,7,0.07,2,0.03,0,0.0,3,0.0,4,0 days 04:28:57.300000
1,0,2,False,2,0.77,0,0.23,1,0.0,3,0.0,4,0.0,2,0 days 03:15:50.600000
1,1,7,False,7,0.54,0,0.37,2,0.05,1,0.04,3,0.0,4,0 days 05:48:19.600000
1,1,3,False,3,0.8,8,0.16,0,0.03,2,0.01,4,0.0,8,0 days 02:57:00.700000
1,0,3,False,3,0.62,7,0.2,1,0.13,0,0.05,2,0.0,4,0 days 04:55:24.200000
1,1,2,False,2,0.89,8,0.08,1,0.03,0,0.0,4,0.0,3,0 days 03:08:06.100000
1,1,8,False,8,0.65,4,0.24,7,0.09,2,0.01,6,0.01,8,0 days 02:42:04.900000
1,1,2,False,2,0.58,1,0.37,8,0.05,0,0.0,4,0.0,2,0 days 04:29:19
1,0,3,False,3,0.64,4,0.27,5,0.07,8,0.02,2,0.0,8,0 days 04:24:09.100000
1,1,1,True,1,0.5361666666666665,3,0.46383333333333354,0,0.0,2,0.0,4,0.0,1,0 days 00:54:34.200000
1,1,5,False,5,0.69,7,0.23,2,0.07,0,0.01,3,0.0,6,0 days 06:26:32
1,1,2,False,2,0.67,1,0.33,0,0.0,3,0.0,4,0.0,2,0 days 00:55:51
1,2,1,False,1,0.62,4,0.27,0,0.1,7,0.01,3,0.0,6,0 days 03:11:23.100000
1,3,3,True,3,0.84,1,0.15,7,0.01,0,0.0,2,0.0,1,0 days 00:54:05.100000
1,1,1,True,1,0.73,6,0.25,4,0.01,2,0.01,3,0.0,1,0 days 03:16:59.100000
1,2,3,False,3,0.67,4,0.25,7,0.07,8,0.01,2,0.0,5,0 days 02:50:43
1,0,0,True,0,0.8,7,0.17,1,0.03,2,0.0,3,0.0,1,0 days 07:54:26.100000
1,2,7,False,7,0.59,3,0.26,2,0.15,1,0.0,0,0.0,3,0 days 00:32:44.100000
1,0,1,False,1,0.68,0,0.25,8,0.07,2,0.0,4,0.0,2,0 days 07:22:08
1,0,0,True,0,0.98,2,0.02,1,0.0,3,0.0,4,0.0,1,0 days 09:54:29.600000
1,0,2,False,2,0.74,0,0.22,5,0.02,1,0.01,6,0.01,2,0 days 05:25:01.900000
