fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,distance
1,1,2,False,2,0.58,3,0.42,1,0.0,0,0.0,4,0.0,3,0 days 03:25:31.500000
1,1,4,False,4,0.54,0,0.28,1,0.18,2,0.0,3,0.0,3,0 days 00:53:46.400000
1,0,0,True,0,0.58,3,0.37,2,0.04,4,0.01,1,0.0,1,0 days 02:49:29.200000
1,2,0,False,0,0.57,2,0.31,3,0.12,1,0.0,4,0.0,2,0 days 03:19:00.900000
1,1,1,True,1,0.89,2,0.08,3,0.03,0,0.0,4,0.0,1,0 days 00:54:49
1,3,2,False,2,0.97,1,0.02,0,0.01,3,0.0,4,0.0,4,0 days 00:04:57.800000
1,3,1,False,1,0.8166666666666668,3,0.18333333333333335,0,0.0,2,0.0,4,0.0,2,0 days 00:53:42.600000
1,2,4,False,4,0.59,2,0.29,3,0.09,0,0.03,1,0.0,2,0 days 02:48:22
1,0,3,False,3,0.62,4,0.25,2,0.1,0,0.03,1,0.0,4,0 days 02:48:45.200000
1,3,0,False,0,0.69,3,0.29,2,0.01,4,0.01,1,0.0,2,0 days 02:42:30.800000
1,4,4,True,4,0.87,0,0.1,3,0.03,1,0.0,2,0.0,1,0 days 01:23:46.200000
1,4,2,False,2,0.88,0,0.1,4,0.02,1,0.0,3,0.0,3,0 days 01:47:24.300000
1,2,4,False,4,0.68,2,0.25,3,0.07,1,0.0,0,0.0,2,0 days 01:55:20
1,0,2,False,2,0.79,4,0.16,3,0.04,0,0.01,1,0.0,4,0 days 02:47:08
1,0,0,True,0,0.69,3,0.29,2,0.01,4,0.01,1,0.0,1,0 days 02:42:29.400000
1,0,3,False,3,0.61,0,0.33,2,0.06,1,0.0,4,0.0,2,0 days 05:11:42.400000
1,0,0,True,0,0.64,3,0.25,1,0.11,2,0.0,4,0.0,1,0 days 00:57:10.600000
1,2,3,False,3,0.88,0,0.12,1,0.0,2,0.0,4,0.0,4,0 days 02:43:16.700000
1,1,1,True,1,0.745,3,0.255,0,0.0,2,0.0,4,0.0,1,0 days 00:53:39.500000
1,2,0,False,0,0.48666666666666664,3,0.45333333333333337,2,0.06,1,0.0,4,0.0,3,0 days 03:34:19.800000
1,3,1,False,1,0.99,4,0.01,2,0.0,0,0.0,3,0.0,5,0 days 00:53:44.400000
1,3,2,False,2,0.66,3,0.33,0,0.01,1,0.0,4,0.0,2,0 days 03:41:28.400000
1,1,1,True,1,0.73,4,0.23,0,0.04,2,0.0,3,0.0,1,0 days 00:53:45.400000
1,3,2,False,2,0.6,3,0.27,0,0.09,1,0.04,4,0.0,2,0 days 02:58:32.800000
1,3,0,False,0,0.58,2,0.4,4,0.02,1,0.0,3,0.0,5,0 days 01:46:58.400000
1,3,1,False,1,0.89,3,0.11,0,0.0,2,0.0,4,0.0,2,0 days 00:53:39.100000
