fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,distance
1,2,6,False,6,0.72,2,0.27,1,0.01,0,0.0,3,0.0,2,0 days 03:07:49.600000
1,2,6,False,6,0.67,7,0.22,2,0.1,3,0.01,0,0.0,3,0 days 01:20:37
1,1,3,False,3,0.67,6,0.19,13,0.11,2,0.03,0,0.0,8,0 days 00:59:06.900000
1,1,0,False,0,0.86,2,0.13,3,0.01,1,0.0,4,0.0,4,0 days 00:53:49.900000
1,2,6,False,6,0.92,2,0.08,1,0.0,0,0.0,3,0.0,2,0 days 03:07:54.700000
1,0,2,False,2,0.62,0,0.38,1,0.0,3,0.0,4,0.0,2,0 days 04:28:23.900000
1,0,1,False,1,0.65,6,0.29,2,0.06,0,0.0,3,0.0,4,0 days 03:07:54.100000
1,0,7,False,7,0.8,3,0.15,6,0.02738095238095238,2,0.02261904761904762,0,0.0,5,0 days 01:20:39.400000
1,0,2,False,2,0.995,6,0.005,1,0.0,0,0.0,3,0.0,4,0 days 03:07:55.600000
1,4,2,False,2,0.93,5,0.05,3,0.02,1,0.0,0,0.0,6,0 days 02:14:47.400000
1,0,6,False,6,0.86,2,0.11,0,0.03,1,0.0,3,0.0,3,0 days 04:01:37.800000
1,4,2,False,2,1.0,0,0.0,1,0.0,3,0.0,4,0.0,5,0 days 02:43:09.700000
1,4,4,True,4,0.88,0,0.07,6,0.02,3,0.02,2,0.01,1,0 days 02:41:20.500000
1,2,0,False,0,0.62,7,0.2333333333333333,2,0.14666666666666667,1,0.0,3,0.0,3,0 days 02:41:06.800000
1,3,6,False,6,0.5062142857142857,2,0.46378571428571425,1,0.02,5,0.01,3,0.0,5,0 days 03:34:45.100000
1,2,6,False,6,0.69,2,0.2,3,0.06,0,0.05,1,0.0,2,0 days 01:30:09.900000
1,2,3,False,3,0.91,13,0.09,1,0.0,0,0.0,4,0.0,8,0 days 00:26:50.200000
1,2,8,False,8,0.69,3,0.28,13,0.03,0,0.0,4,0.0,8,0 days 00:29:49.500000
1,2,2,True,2,0.935,3,0.03833333333333333,0,0.026666666666666665,1,0.0,4,0.0,1,0 days 02:14:16
1,6,0,False,0,0.65,6,0.22,1,0.08,2,0.05,3,0.0,2,0 days 02:41:04.700000
1,6,2,False,2,0.66,4,0.33,6,0.01,0,0.0,3,0.0,3,0 days 03:37:25.300000
1,6,2,False,2,0.91,3,0.08,5,0.01,1,0.0,0,0.0,7,0 days 01:47:21.800000
1,6,7,False,7,0.67,1,0.17,2,0.16,0,0.0,3,0.0,8,0 days 03:34:41.600000
1,6,3,False,3,0.81,2,0.19,1,0.0,0,0.0,4,0.0,7,0 days 02:45:34.900000
1,2,0,False,0,0.65,6,0.25433333333333336,2,0.09566666666666668,1,0.0,3,0.0,3,0 days 03:07:57.200000
1,6,2,False,2,0.92,6,0.08,1,0.0,0,0.0,3,0.0,2,0 days 01:34:53.200000
1,6,6,True,6,0.68,2,0.32,1,0.0,0,0.0,3,0.0,1,0 days 01:28:32
1,8,2,False,2,0.63,4,0.33,6,0.03,7,0.01,3,0.0,9,0 days 03:36:41.100000
1,6,2,False,2,0.6,3,0.27,1,0.12,7,0.01,0,0.0,8,0 days 00:51:00.800000
1,6,6,True,6,0.87,8,0.08,2,0.05,1,0.0,3,0.0,1,0 days 01:50:18.100000
1,2,3,False,3,0.69,2,0.24,1,0.05,10,0.02,4,0.0,2,0 days 00:06:41.400000
1,2,3,False,3,0.7941666666666667,9,0.2058333333333333,1,0.0,0,0.0,4,0.0,8,0 days 00:27:01.600000
1,6,6,True,6,0.88,3,0.11,2,0.01,1,0.0,0,0.0,1,0 days 02:14:30
1,6,7,False,7,0.6,3,0.37,6,0.02,13,0.01,2,0.0,3,0 days 01:15:20.200000
1,6,2,False,2,0.86,7,0.14,1,0.0,0,0.0,3,0.0,8,0 days 01:20:42.700000
1,7,2,False,2,0.6933333333333335,3,0.27666666666666667,6,0.03,1,0.0,0,0.0,8,0 days 00:53:47.100000
1,6,6,True,6,0.87,3,0.08,2,0.05,1,0.0,0,0.0,1,0 days 01:08:52.900000
1,6,2,False,2,0.95,6,0.05,1,0.0,0,0.0,3,0.0,2,0 days 04:02:20.100000
1,6,3,False,3,0.62,2,0.34,5,0.04,1,0.0,0,0.0,7,0 days 02:12:39.900000
1,2,3,False,3,0.9,2,0.1,1,0.0,0,0.0,4,0.0,2,0 days 00:53:46.500000
1,2,11,False,11,0.88,3,0.1,6,0.02,1,0.0,2,0.0,5,0 days 02:18:17.100000
1,2,3,False,3,0.72,7,0.17,2,0.11,1,0.0,0,0.0,3,0 days 01:20:39.900000
1,6,3,False,3,0.67,6,0.19,2,0.13,1,0.01,0,0.0,2,0 days 00:05:31.400000
1,7,2,False,2,0.62,3,0.24,4,0.13,13,0.01,0,0.0,9,0 days 01:18:07.400000
1,8,8,True,8,0.71,6,0.17,3,0.07,2,0.05,0,0.0,1,0 days 00:46:10.300000
1,8,3,False,3,0.89,13,0.11,1,0.0,0,0.0,4,0.0,10,0 days 00:28:02.900000
1,6,7,False,7,0.4716190476190476,3,0.41838095238095235,2,0.1,6,0.01,0,0.0,4,0 days 01:47:24.200000
1,7,2,False,2,0.995,6,0.005,1,0.0,0,0.0,3,0.0,8,0 days 03:07:55.500000
1,6,2,False,2,0.63,3,0.23,0,0.12,4,0.02,1,0.0,7,0 days 00:53:57.100000
1,7,8,False,8,0.61,3,0.24,6,0.12,10,0.03,2,0.0,9,0 days 00:31:20.900000
1,6,3,False,3,0.86,8,0.13,9,0.01,0,0.0,4,0.0,10,0 days 00:13:30.300000
1,6,2,False,2,0.87,5,0.07,6,0.04,1,0.02,3,0.0,3,0 days 00:06:29.200000
1,6,0,False,0,0.64,2,0.3,7,0.06,1,0.0,3,0.0,8,0 days 02:14:18
1,7,3,False,3,0.449547619047619,7,0.440452380952381,6,0.05,0,0.03,2,0.03,2,0 days 00:53:48.200000
1,8,10,False,10,0.64,2,0.31,9,0.04,3,0.01,4,0.0,11,0 days 00:04:48.500000
1,2,6,False,6,0.71,2,0.19,7,0.09,1,0.01,3,0.0,2,0 days 04:55:11.800000
1,2,2,True,2,0.935,3,0.03833333333333333,0,0.026666666666666665,1,0.0,4,0.0,1,0 days 02:14:16
1,2,7,False,7,0.6133333333333334,2,0.31666666666666665,0,0.07,1,0.0,3,0.0,2,0 days 02:41:06.900000
1,2,3,False,3,0.7941666666666667,9,0.2058333333333333,1,0.0,0,0.0,4,0.0,8,0 days 00:27:01.500000
1,2,11,False,11,0.56,2,0.26,3,0.1,6,0.08,0,0.0,2,0 days 00:08:13.100000
1,2,0,False,0,0.58,3,0.32,6,0.06,2,0.04,1,0.0,4,0 days 01:29:59.800000
