fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,distance
1,0,3,False,3,0.5375,1,0.3424999999999999,7,0.12,0,0.0,2,0.0,4,0 days 00:53:50
1,4,9,False,9,0.6,1,0.34,5,0.03,3,0.03,2,0.0,6,0 days 00:27:01.500000
1,5,1,False,1,0.91,0,0.09,2,0.0,3,0.0,4,0.0,6,0 days 03:37:09.800000
1,4,1,False,1,0.71,2,0.29,0,0.0,3,0.0,4,0.0,5,0 days 01:47:34
1,4,6,False,6,0.97,2,0.03,1,0.0,0,0.0,3,0.0,6,0 days 01:23:20.600000
1,2,2,True,2,0.95,4,0.04,0,0.01,1,0.0,3,0.0,1,0 days 02:41:17.200000
1,1,7,False,7,0.58,1,0.23,5,0.17,4,0.02,3,0.0,2,0 days 02:13:55.900000
1,0,6,False,6,0.6,1,0.4,2,0.0,0,0.0,3,0.0,4,0 days 02:41:28.800000
1,4,2,False,2,0.71,5,0.27,1,0.02,0,0.0,3,0.0,6,0 days 03:08:10.300000
1,4,7,False,7,0.57,5,0.3175,4,0.11,2,0.0025,3,0.0,3,0 days 03:07:55.500000
1,5,1,False,1,0.59,2,0.28,4,0.13,0,0.0,3,0.0,6,0 days 02:14:25.100000
1,5,1,False,1,0.64,6,0.36,2,0.0,0,0.0,3,0.0,7,0 days 02:16:41.500000
1,3,7,False,7,0.6633333333333333,1,0.26666666666666666,3,0.05,5,0.02,2,0.0,3,0 days 00:53:43.600000
1,3,2,False,2,0.7973333333333333,0,0.18266666666666664,1,0.02,3,0.0,4,0.0,4,0 days 01:20:46
1,5,5,True,5,0.63,1,0.33,2,0.04,0,0.0,3,0.0,1,0 days 02:41:12.500000
1,7,0,False,0,0.67,1,0.33,2,0.0,3,0.0,4,0.0,8,0 days 00:53:59.600000
1,7,7,True,7,0.65,1,0.23,2,0.11,0,0.01,3,0.0,1,0 days 00:56:51.800000
1,7,1,False,1,0.66,6,0.22,2,0.12,0,0.0,3,0.0,8,0 days 01:55:06.900000
1,4,1,False,1,0.8,6,0.2,2,0.0,0,0.0,3,0.0,6,0 days 02:41:28.400000
1,1,1,True,1,0.9088333333333333,5,0.05616666666666667,3,0.035,0,0.0,2,0.0,1,0 days 00:53:52.400000
1,1,4,False,4,0.78,2,0.15,1,0.05,5,0.02,3,0.0,3,0 days 04:28:34.600000
1,1,9,False,9,0.6,1,0.34,3,0.05,5,0.01,2,0.0,2,0 days 00:27:01
1,1,1,True,1,0.62,5,0.33,2,0.03,6,0.02,3,0.0,1,0 days 02:19:30.300000
1,1,1,True,1,0.8030833333333334,3,0.15691666666666668,7,0.04,0,0.0,2,0.0,1,0 days 00:53:49.400000
1,2,4,False,4,0.58,2,0.3,5,0.11,7,0.01,3,0.0,2,0 days 03:08:01.700000
1,1,2,False,2,0.88,5,0.1,1,0.02,0,0.0,3,0.0,3,0 days 03:08:09.200000
1,0,2,False,2,0.61,1,0.31,6,0.05,4,0.03,3,0.0,6,0 days 01:47:39.500000
1,5,5,True,5,0.63,7,0.22833333333333336,4,0.14166666666666666,0,0.0,3,0.0,1,0 days 02:41:10.700000
1,3,1,False,1,0.5040357142857141,3,0.40596428571428567,7,0.09,0,0.0,2,0.0,2,0 days 00:53:49.800000
1,5,1,False,1,0.93,5,0.07,2,0.0,0,0.0,3,0.0,2,0 days 02:41:56.500000
1,3,1,False,1,0.99,2,0.01,0,0.0,3,0.0,4,0.0,4,0 days 01:42:33.800000
1,5,6,False,6,0.54,1,0.46,2,0.0,0,0.0,3,0.0,7,0 days 00:09:49.300000
1,5,6,False,6,0.54,2,0.24,1,0.14,7,0.05,8,0.02,7,0 days 01:13:58.400000
1,5,5,True,5,0.99,4,0.01,0,0.0,1,0.0,3,0.0,1,0 days 04:17:17.600000
1,5,5,True,5,0.79,2,0.2,1,0.01,0,0.0,3,0.0,1,0 days 03:08:13.600000
1,1,1,True,1,0.61,6,0.2325,4,0.12,7,0.03,9,0.0075,1,0 days 00:53:54.700000
1,1,1,True,1,0.88,7,0.12,2,0.0,0,0.0,3,0.0,1,0 days 02:12:45.800000
1,5,7,False,7,0.66,1,0.34,2,0.0,0,0.0,3,0.0,7,0 days 00:53:49.100000
1,7,1,False,1,0.68,8,0.21,2,0.11,0,0.0,4,0.0,9,0 days 02:05:37.900000
1,2,1,False,1,0.64,3,0.28,4,0.06,2,0.02,0,0.0,4,0 days 01:47:27.400000
1,3,3,True,3,0.69,7,0.25,1,0.03,5,0.0175,6,0.0125,1,0 days 00:53:44.800000
1,7,5,False,5,0.98,7,0.02,0,0.0,1,0.0,3,0.0,2,0 days 02:41:07.500000
1,3,3,True,3,0.6390259740259738,7,0.360974025974026,1,0.0,0,0.0,2,0.0,1,0 days 01:20:32.200000
1,7,3,False,3,0.65,5,0.28,4,0.07,0,0.0,2,0.0,8,0 days 01:20:37.700000
1,7,0,False,0,0.62,1,0.38,2,0.0,3,0.0,4,0.0,8,0 days 04:01:32
1,3,0,False,0,0.63,3,0.29,7,0.04,1,0.03,8,0.01,2,0 days 01:07:16
1,4,7,False,7,0.67,5,0.32,4,0.01,0,0.0,3,0.0,3,0 days 02:41:08.900000
1,7,1,False,1,0.66,6,0.26,2,0.08,0,0.0,3,0.0,8,0 days 01:38:48.400000
1,3,2,False,2,0.66,1,0.22,3,0.12,0,0.0,4,0.0,3,0 days 01:50:35.900000
1,7,1,False,1,0.9,9,0.08,0,0.02,2,0.0,4,0.0,9,0 days 00:27:03.800000
1,7,7,True,7,0.9,4,0.09,5,0.01,0,0.0,3,0.0,1,0 days 03:07:53
1,6,5,False,5,0.93,3,0.06,4,0.01,0,0.0,2,0.0,7,0 days 01:20:37.900000
1,8,1,False,1,0.96,6,0.04,2,0.0,0,0.0,3,0.0,9,0 days 00:34:51
1,1,1,True,1,0.97,6,0.03,2,0.0,0,0.0,3,0.0,1,0 days 02:59:47.300000
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 02:14:39.600000
1,6,1,False,1,0.97,2,0.03,0,0.0,3,0.0,4,0.0,7,0 days 01:20:59
1,1,3,False,3,0.86,7,0.06,5,0.04,1,0.04,2,0.0,4,0 days 01:20:35.800000
1,1,1,True,1,0.9383333333333335,4,0.06166666666666666,2,0.0,0,0.0,3,0.0,1,0 days 01:20:40.800000
1,1,1,True,1,0.76,2,0.24,0,0.0,3,0.0,4,0.0,1,0 days 01:21:00.700000
1,1,0,False,0,0.61,1,0.25,8,0.1,7,0.03,6,0.01,2,0 days 01:14:31.500000
1,1,1,True,1,0.69,6,0.31,2,0.0,0,0.0,3,0.0,1,0 days 00:13:44.200000
1,1,1,True,1,0.64,0,0.24,7,0.08,3,0.03,8,0.01,1,0 days 01:06:44.600000
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:35:32.600000
1,1,1,True,1,0.95,8,0.05,2,0.0,0,0.0,4,0.0,1,0 days 01:30:19.300000
1,1,1,True,1,0.78,0,0.22,2,0.0,3,0.0,4,0.0,1,0 days 00:48:44.600000
1,1,8,False,8,0.6,1,0.23,5,0.13,6,0.04,3,0.0,2,0 days 00:41:59.200000
1,1,2,False,2,0.75,1,0.25,0,0.0,3,0.0,4,0.0,2,0 days 01:26:54.800000
1,1,0,False,0,0.58,1,0.37,6,0.05,2,0.0,3,0.0,2,0 days 00:34:32.300000
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:35:32.500000
1,1,1,True,1,0.98,0,0.02,2,0.0,3,0.0,4,0.0,1,0 days 00:52:36.300000
1,8,1,False,1,0.61,0,0.39,2,0.0,3,0.0,4,0.0,9,0 days 00:41:08.100000
1,1,1,True,1,0.92,9,0.06,3,0.02,0,0.0,4,0.0,1,0 days 00:26:55.100000
1,1,1,True,1,0.95,5,0.05,2,0.0,0,0.0,3,0.0,1,0 days 00:27:03
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:45:38.100000
1,1,1,True,1,0.64,3,0.28,4,0.06,2,0.02,0,0.0,1,0 days 01:47:27.300000
1,1,1,True,1,0.5926666666666667,4,0.40733333333333327,2,0.0,0,0.0,3,0.0,1,0 days 01:20:40.300000
1,6,1,False,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,7,0 days 00:04:47.700000
1,1,1,True,1,0.99,3,0.01,0,0.0,2,0.0,4,0.0,1,0 days 01:34:48.300000
1,2,1,False,1,0.99,2,0.01,0,0.0,3,0.0,4,0.0,2,0 days 01:21:01.700000
1,1,1,True,1,0.98,6,0.02,2,0.0,0,0.0,3,0.0,1,0 days 00:31:04.800000
1,1,6,False,6,0.65,8,0.23,5,0.07,1,0.05,3,0.0,4,0 days 00:42:02.400000
1,1,0,False,0,0.63,1,0.36,8,0.01,2,0.0,4,0.0,2,0 days 00:43:28.400000
1,1,1,True,1,0.95,6,0.05,2,0.0,0,0.0,3,0.0,1,0 days 00:09:52.600000
1,9,7,False,7,0.63,5,0.24,3,0.06,1,0.04,4,0.03,10,0 days 00:53:51.400000
1,1,1,True,1,0.89,4,0.08,6,0.03,0,0.0,3,0.0,1,0 days 00:45:59.300000
1,1,1,True,1,0.72,6,0.28,2,0.0,0,0.0,3,0.0,1,0 days 00:10:57.200000
1,1,0,False,0,0.71,1,0.28,8,0.01,2,0.0,4,0.0,2,0 days 00:58:18.100000
1,1,1,True,1,0.63,8,0.28,6,0.09,2,0.0,3,0.0,1,0 days 00:43:43.800000
1,1,9,False,9,0.64,1,0.35,7,0.01,2,0.0,3,0.0,2,0 days 00:41:39.700000
1,2,0,False,0,0.69,1,0.31,2,0.0,3,0.0,4,0.0,3,0 days 00:55:17.700000
1,2,2,True,2,0.89,1,0.1,6,0.01,0,0.0,3,0.0,1,0 days 01:26:08.300000
1,1,8,False,8,0.73,1,0.27,2,0.0,0,0.0,4,0.0,2,0 days 00:04:05.300000
1,1,2,False,2,0.6,1,0.25,4,0.15,0,0.0,3,0.0,2,0 days 01:47:26.100000
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 01:49:17.400000
1,2,6,False,6,0.62,2,0.22,1,0.16,0,0.0,3,0.0,2,0 days 01:24:29.300000
1,1,1,True,1,0.97,0,0.03,2,0.0,3,0.0,4,0.0,1,0 days 00:51:25.600000
1,1,6,False,6,0.65,8,0.35,2,0.0,0,0.0,3,0.0,8,0 days 00:02:25.500000
1,1,1,True,1,0.86,2,0.07,5,0.07,0,0.0,3,0.0,1,0 days 02:50:16.200000
1,1,1,True,1,0.73,4,0.25,5,0.02,0,0.0,3,0.0,1,0 days 02:41:43.600000
1,1,1,True,1,0.99,6,0.01,2,0.0,0,0.0,3,0.0,1,0 days 01:48:22.500000
1,1,1,True,1,0.92,2,0.08,0,0.0,3,0.0,4,0.0,1,0 days 01:20:59.800000
1,2,1,False,1,0.71,2,0.29,0,0.0,3,0.0,4,0.0,2,0 days 01:29:05
1,1,1,True,1,0.7,8,0.3,2,0.0,0,0.0,4,0.0,1,0 days 01:54:24.700000
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:29:50.900000
1,1,1,True,1,0.97,8,0.03,2,0.0,0,0.0,4,0.0,1,0 days 00:06:40.100000
1,1,1,True,1,0.74,0,0.13,6,0.1,8,0.03,3,0.0,1,0 days 01:16:44.100000
1,6,1,False,1,0.97,5,0.03,2,0.0,0,0.0,3,0.0,7,0 days 00:33:30.200000
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:46:42.800000
1,1,1,True,1,0.97,0,0.02,6,0.01,2,0.0,3,0.0,1,0 days 00:47:53.100000
1,6,1,False,1,0.68,0,0.3,6,0.02,2,0.0,3,0.0,3,0 days 00:31:50.800000
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:48:17.200000
1,1,2,False,2,0.62,1,0.2,6,0.18,0,0.0,3,0.0,2,0 days 01:30:57.500000
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:06:41
1,1,4,False,4,0.62,1,0.37,2,0.01,0,0.0,3,0.0,2,0 days 02:14:48.400000
1,1,1,True,1,0.97,0,0.03,2,0.0,3,0.0,4,0.0,1,0 days 00:30:44.500000
1,1,2,False,2,0.66,1,0.34,0,0.0,3,0.0,4,0.0,2,0 days 02:54:19.400000
1,1,1,True,1,0.98,0,0.02,2,0.0,3,0.0,4,0.0,1,0 days 04:02:25.200000
1,1,1,True,1,0.98,3,0.02,0,0.0,2,0.0,4,0.0,1,0 days 01:21:17.700000
1,1,2,False,2,0.62,5,0.24,8,0.1,6,0.02,1,0.02,5,0 days 02:35:02.300000
1,1,1,True,1,0.91,6,0.07,3,0.02,0,0.0,2,0.0,1,0 days 02:16:35.500000
1,0,7,False,7,0.6633333333333333,1,0.26666666666666666,3,0.05,5,0.02,2,0.0,6,0 days 00:53:43.600000
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:48:21.300000
1,1,1,True,1,0.8433333333333334,6,0.12766666666666668,2,0.028999999999999998,0,0.0,3,0.0,1,0 days 01:47:49.300000
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:27:19.600000
1,1,1,True,1,0.89,0,0.11,2,0.0,3,0.0,4,0.0,1,0 days 00:58:55.600000
1,9,1,False,1,0.72,3,0.28,0,0.0,2,0.0,4,0.0,10,0 days 00:52:10.800000
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:51:56.500000
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:46:25.600000
1,1,6,False,6,0.62,1,0.31,2,0.07,0,0.0,3,0.0,2,0 days 02:06:04.500000
1,1,8,False,8,0.63,6,0.24,9,0.1,1,0.03,3,0.0,4,0 days 00:26:26.400000
1,1,1,True,1,0.71,2,0.23,6,0.06,0,0.0,3,0.0,1,0 days 02:06:41.200000
1,0,7,False,7,0.65,2,0.27,1,0.07,0,0.01,3,0.0,4,0 days 00:56:54
1,1,6,False,6,0.55,1,0.45,2,0.0,0,0.0,3,0.0,2,0 days 00:11:04.500000
1,1,1,True,1,0.89,2,0.1,8,0.01,0,0.0,4,0.0,1,0 days 03:15:02.300000
1,1,1,True,1,0.98,9,0.02,2,0.0,0,0.0,4,0.0,1,0 days 00:19:01
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:49:24.500000
1,1,3,False,3,0.66,1,0.34,0,0.0,2,0.0,4,0.0,2,0 days 01:47:28.900000
1,1,8,False,8,0.66,1,0.34,2,0.0,0,0.0,4,0.0,2,0 days 02:28:01.400000
1,1,2,False,2,0.69,1,0.27,6,0.04,0,0.0,3,0.0,2,0 days 01:52:34.300000
1,0,1,False,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,2,0 days 00:50:58.500000
1,1,1,True,1,0.87,2,0.1,5,0.03,0,0.0,3,0.0,1,0 days 03:08:19.900000
1,6,1,False,1,0.63,2,0.37,0,0.0,3,0.0,4,0.0,7,0 days 02:17:22.200000
1,1,1,True,1,0.99,0,0.01,2,0.0,3,0.0,4,0.0,1,0 days 00:44:58.900000
1,1,0,False,0,0.65,1,0.35,2,0.0,3,0.0,4,0.0,2,0 days 00:30:43.700000
1,1,1,True,1,0.72,2,0.28,0,0.0,3,0.0,4,0.0,1,0 days 01:33:11.300000
1,8,0,False,0,0.7,1,0.3,2,0.0,3,0.0,4,0.0,9,0 days 00:41:06.600000
1,1,1,True,1,0.99,6,0.01,2,0.0,0,0.0,3,0.0,1,0 days 00:42:30.500000
1,1,4,False,4,0.63,1,0.37,2,0.0,0,0.0,3,0.0,2,0 days 00:45:45.300000
1,1,1,True,1,0.95,7,0.05,2,0.0,0,0.0,3,0.0,1,0 days 02:15:05.400000
1,1,6,False,6,0.61,1,0.39,2,0.0,0,0.0,3,0.0,2,0 days 00:29:18.600000
1,1,1,True,1,0.77,0,0.21,5,0.02,2,0.0,3,0.0,1,0 days 00:47:07.300000
1,1,1,True,1,0.93,2,0.07,0,0.0,3,0.0,4,0.0,1,0 days 03:10:50.700000
1,1,1,True,1,0.66,2,0.23,0,0.08,8,0.02,7,0.01,1,0 days 01:13:43.700000
1,1,0,False,0,0.72,1,0.24,2,0.03,6,0.01,3,0.0,2,0 days 01:03:49.900000
1,1,7,False,7,0.61,1,0.29,5,0.1,0,0.0,3,0.0,2,0 days 02:41:11.900000
1,0,0,True,0,0.6,1,0.38,6,0.02,2,0.0,3,0.0,1,0 days 00:48:34.200000
1,1,1,True,1,0.99,0,0.01,2,0.0,3,0.0,4,0.0,1,0 days 00:30:33
1,1,1,True,1,0.97,2,0.03,0,0.0,3,0.0,4,0.0,1,0 days 02:14:41
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:35:39.500000
1,1,8,False,8,0.67,1,0.32,7,0.01,2,0.0,3,0.0,2,0 days 00:40:23.700000
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:48:25.100000
1,1,7,False,7,0.65,1,0.26,3,0.09,0,0.0,2,0.0,2,0 days 00:54:49.500000
