fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elevation_gain
1,0,0,True,0,0.6470238095238094,1,0.32297619047619036,5,0.03,2,0.0,3,0.0,1,7.0
1,0,0,True,0,0.579920634920635,5,0.21369841269841264,2,0.20638095238095228,1,0.0,3,0.0,1,15.0
1,1,0,False,0,0.68,6,0.32,2,0.0,1,0.0,3,0.0,4,38.0
1,0,7,False,7,0.74,9,0.26,2,0.0,0,0.0,3,0.0,4,79.0
1,0,0,True,0,0.98,6,0.02,2,0.0,1,0.0,3,0.0,1,18.0
1,2,0,False,0,0.7851190476190476,2,0.21488095238095237,1,0.0,3,0.0,4,0.0,2,2.7
1,0,0,True,0,0.8890000000000002,5,0.11100000000000002,2,0.0,1,0.0,3,0.0,1,7.5
1,0,0,True,0,0.390452380952381,5,0.33613095238095225,4,0.27341666666666664,1,0.0,3,0.0,1,8.6
1,0,0,True,0,0.7992857142857142,5,0.18509523809523812,6,0.005857142857142858,9,0.005428571428571429,2,0.004333333333333333,1,22.2
1,0,9,False,9,0.3519047619047619,0,0.2799047619047619,2,0.27819047619047615,3,0.09,4,0.0,2,6.0
1,0,0,True,0,0.6,5,0.26,6,0.14,1,0.0,3,0.0,1,64.3
1,0,1,False,1,0.5849642857142857,0,0.4050357142857143,5,0.01,2,0.0,3,0.0,2,34.5
1,0,0,True,0,1.0,1,0.0,2,0.0,3,0.0,4,0.0,1,12.3
1,0,0,True,0,0.9814285714285714,6,0.015714285714285715,5,0.002857142857142857,1,0.0,3,0.0,1,22.9
1,0,7,False,7,0.61,0,0.28,6,0.105,5,0.003333333333333333,4,0.0016666666666666666,2,52.2
1,0,5,False,5,0.39296969696969697,0,0.30806818181818174,2,0.2989621212121212,1,0.0,3,0.0,2,11.4
1,1,2,False,2,0.43688400227367635,1,0.18916289549168913,9,0.15078836326866074,8,0.14330961826038174,0,0.03956792911337966,2,0.0
1,0,5,False,5,0.6237698412698413,0,0.32939682539682535,1,0.046833333333333324,2,0.0,3,0.0,2,9.8
1,0,7,False,7,0.69,0,0.27,6,0.035,5,0.003333333333333333,4,0.0016666666666666666,2,51.6
1,3,0,False,0,0.6935769230769231,3,0.25,1,0.05642307692307693,2,0.0,4,0.0,2,10.6
1,0,0,True,0,0.5091190476190477,2,0.4908809523809523,1,0.0,3,0.0,4,0.0,1,2.8
1,0,5,False,5,0.6050714285714283,0,0.39492857142857146,2,0.0,1,0.0,3,0.0,2,14.3
1,0,1,False,1,0.7498809523809524,0,0.15750000000000003,5,0.09261904761904761,2,0.0,3,0.0,2,29.9
1,0,0,True,0,0.9649444444444444,5,0.035055555555555555,2,0.0,1,0.0,3,0.0,1,13.2
1,0,0,True,0,0.7298968253968254,5,0.2701031746031745,2,0.0,1,0.0,3,0.0,1,13.1
1,0,0,True,0,0.7355595238095237,5,0.2544404761904761,3,0.01,1,0.0,2,0.0,1,13.3
1,0,0,True,0,0.65,6,0.24,1,0.1,5,0.01,3,0.0,1,63.0
1,1,2,False,2,0.43688400227367635,1,0.18916289549168913,9,0.15078836326866074,8,0.14330961826038174,0,0.03956792911337966,2,0.0
1,2,0,False,0,0.8924960317460316,2,0.10750396825396825,1,0.0,3,0.0,4,0.0,2,20.5
1,1,1,True,1,0.7470238095238096,0,0.23547619047619048,9,0.0125,3,0.003333333333333333,2,0.0016666666666666666,1,8.2
1,1,2,False,2,0.43688400227367635,1,0.18916289549168913,9,0.15078836326866074,8,0.14330961826038174,0,0.03956792911337966,2,0.0
