fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elevation_gain
1,0,1,False,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,2,17.3
1,3,0,False,0,0.36216658178422884,3,0.2425970304205597,5,0.23561224396518504,1,0.1596241438300261,2,0.0,2,8.4
1,3,1,False,1,0.61,3,0.37166666666666665,5,0.018333333333333333,0,0.0,2,0.0,2,37.5
1,0,0,True,0,0.99,3,0.01,1,0.0,2,0.0,4,0.0,1,6.1
1,5,1,False,1,0.47810640366530033,0,0.28404837430594326,5,0.21262592941360303,3,0.0129826743573495,2,0.012236618257803788,3,0.0
1,1,1,True,1,0.47810640366530033,0,0.28404837430594326,5,0.21262592941360303,3,0.0129826743573495,2,0.012236618257803788,1,0.0
1,5,1,False,1,0.47810640366530033,0,0.28404837430594326,5,0.21262592941360303,3,0.0129826743573495,2,0.012236618257803788,3,0.0
1,3,3,True,3,0.8276666666666667,5,0.14233333333333334,2,0.03,1,0.0,0,0.0,1,59.3
1,5,2,False,2,0.58,5,0.25516666666666665,3,0.16483333333333333,1,0.0,0,0.0,2,52.7
1,5,2,False,2,0.66,5,0.17833333333333332,0,0.14166666666666664,3,0.02,1,0.0,2,28.6
1,5,3,False,3,0.68,2,0.22,5,0.1,1,0.0,0,0.0,3,56.9
1,5,2,False,2,0.97,5,0.02,3,0.01,1,0.0,0,0.0,2,59.7
1,5,1,False,1,0.47810640366530033,0,0.28404837430594326,5,0.21262592941360303,3,0.0129826743573495,2,0.012236618257803788,3,0.0
1,2,5,False,5,0.5410952380952382,2,0.45890476190476187,1,0.0,0,0.0,3,0.0,2,55.2
1,3,3,True,3,0.7974999999999999,0,0.1425,5,0.06,1,0.0,2,0.0,1,72.7
1,0,0,True,0,0.7135396825396826,4,0.25896031746031734,3,0.0175,1,0.005833333333333333,2,0.004166666666666667,1,13.3
1,0,2,False,2,0.3350714285714286,4,0.2443015873015872,0,0.22416269841269834,3,0.19646428571428565,1,0.0,3,22.5
1,0,0,True,0,0.8182103174603169,3,0.18178968253968258,1,0.0,2,0.0,4,0.0,1,7.5
1,0,0,True,0,1.0,1,0.0,2,0.0,3,0.0,4,0.0,1,2.9
1,0,0,True,0,0.6780436507936506,4,0.32195634920634914,2,0.0,1,0.0,3,0.0,1,5.4
1,0,1,False,1,0.3137857142857142,5,0.3069285714285714,3,0.28928571428571426,2,0.05,0,0.04,5,19.2
1,0,0,True,0,0.49900000000000005,4,0.433,2,0.06799999999999999,1,0.0,3,0.0,1,7.7
1,0,0,True,0,0.998,1,0.002,2,0.0,3,0.0,4,0.0,1,3.6
1,0,0,True,0,0.36216658178422884,3,0.2425970304205597,5,0.23561224396518504,1,0.1596241438300261,2,0.0,1,8.4
1,0,5,False,5,0.6359047619047618,4,0.294095238095238,0,0.046,3,0.022000000000000002,1,0.002,3,4.9
1,0,0,True,0,0.3883055555555557,3,0.3875674603174603,1,0.21912698412698411,2,0.005,4,0.0,1,10.4
1,0,3,False,3,0.8592702020202022,0,0.11655050505050506,4,0.02417929292929293,1,0.0,2,0.0,2,5.7
1,0,5,False,5,0.40971139971139975,4,0.21909163059163056,0,0.19777922077922075,1,0.17341774891774894,3,0.0,3,9.8
1,1,0,False,0,0.7214455544455542,1,0.2727467532467531,3,0.005807692307692308,2,0.0,4,0.0,2,3.5
1,1,1,True,1,0.47810640366530033,0,0.28404837430594326,5,0.21262592941360303,3,0.0129826743573495,2,0.012236618257803788,1,0.0
1,1,1,True,1,0.47810640366530033,0,0.28404837430594326,5,0.21262592941360303,3,0.0129826743573495,2,0.012236618257803788,1,0.0
1,3,3,True,3,0.5473333333333334,2,0.4526666666666666,1,0.0,0,0.0,4,0.0,1,49.0
1,1,1,True,1,0.47810640366530033,0,0.28404837430594326,5,0.21262592941360303,3,0.0129826743573495,2,0.012236618257803788,1,0.0
1,1,1,True,1,0.47810640366530033,0,0.28404837430594326,5,0.21262592941360303,3,0.0129826743573495,2,0.012236618257803788,1,0.0
1,3,3,True,3,0.91,0,0.07,2,0.02,1,0.0,4,0.0,1,113.8
1,3,2,False,2,0.6,5,0.39,3,0.01,1,0.0,0,0.0,3,53.6
1,1,1,True,1,0.47810640366530033,0,0.28404837430594326,5,0.21262592941360303,3,0.0129826743573495,2,0.012236618257803788,1,0.0
1,0,0,True,0,0.8823095238095239,3,0.11769047619047619,1,0.0,2,0.0,4,0.0,1,6.0
1,0,1,False,1,0.47810640366530033,0,0.28404837430594326,5,0.21262592941360303,3,0.0129826743573495,2,0.012236618257803788,2,0.0
1,3,2,False,2,0.5398333333333332,5,0.42083333333333345,3,0.03933333333333333,1,0.0,0,0.0,3,39.1
1,3,0,False,0,0.95,2,0.04,1,0.006,3,0.004,4,0.0,4,19.4
1,3,3,True,3,0.6808037518037517,0,0.3191962481962481,1,0.0,2,0.0,4,0.0,1,13.6
1,5,2,False,2,0.92,5,0.07,0,0.006666666666666666,3,0.003333333333333333,1,0.0,2,70.4
1,2,0,False,0,0.64,3,0.201,5,0.159,1,0.0,2,0.0,5,36.7
1,2,0,False,0,0.67,5,0.256,3,0.054000000000000006,2,0.02,1,0.0,4,38.5
1,2,3,False,3,0.981,0,0.019,1,0.0,2,0.0,4,0.0,4,47.3
1,2,3,False,3,0.8535,2,0.1465,1,0.0,0,0.0,4,0.0,2,49.1
1,2,5,False,5,0.5311666666666667,2,0.38500000000000006,3,0.08383333333333333,1,0.0,0,0.0,2,35.1
1,5,0,False,0,0.8458956876456876,3,0.14410431235431231,5,0.01,1,0.0,2,0.0,3,6.3
1,2,2,True,2,0.7044148629148627,5,0.28758513708513694,3,0.008,1,0.0,0,0.0,1,39.7
1,5,5,True,5,0.8943333333333332,2,0.08,3,0.025666666666666664,1,0.0,0,0.0,1,53.0
1,5,2,False,2,0.87,3,0.0725,5,0.0575,1,0.0,0,0.0,3,44.4
1,5,3,False,3,0.83,0,0.17,1,0.0,2,0.0,4,0.0,6,9.6
1,0,1,False,1,0.7134866522366523,0,0.2865133477633477,2,0.0,3,0.0,4,0.0,2,8.0
1,0,0,True,0,0.6574523809523809,3,0.34254761904761905,1,0.0,2,0.0,4,0.0,1,5.9
1,0,0,True,0,0.7699841269841268,5,0.23001587301587295,2,0.0,1,0.0,3,0.0,1,2.3
1,4,1,False,1,0.48405555555555557,3,0.4617777777777777,0,0.05416666666666666,2,0.0,4,0.0,5,15.9
1,4,0,False,0,0.6477380952380953,3,0.35226190476190483,1,0.0,2,0.0,4,0.0,5,15.7
1,1,1,True,1,0.47810640366530033,0,0.28404837430594326,5,0.21262592941360303,3,0.0129826743573495,2,0.012236618257803788,1,0.0
1,1,1,True,1,0.47810640366530033,0,0.28404837430594326,5,0.21262592941360303,3,0.0129826743573495,2,0.012236618257803788,1,0.0
1,1,1,True,1,0.47810640366530033,0,0.28404837430594326,5,0.21262592941360303,3,0.0129826743573495,2,0.012236618257803788,1,0.0
1,3,5,False,5,0.74,3,0.26,1,0.0,0,0.0,2,0.0,2,42.4
1,0,0,True,0,0.5647857142857142,4,0.42950000000000005,1,0.005714285714285714,2,0.0,3,0.0,1,7.9
1,3,5,False,5,0.4443333333333333,3,0.43566666666666665,2,0.12,1,0.0,0,0.0,2,52.5
1,2,3,False,3,0.8276666666666667,5,0.14233333333333334,2,0.03,1,0.0,0,0.0,3,59.3
1,1,1,True,1,0.47810640366530033,0,0.28404837430594326,5,0.21262592941360303,3,0.0129826743573495,2,0.012236618257803788,1,0.0
1,3,0,False,0,0.5668578643578643,3,0.2916493506493505,4,0.14149278499278492,1,0.0,2,0.0,2,5.6
1,0,0,True,0,0.92,3,0.08,1,0.0,2,0.0,4,0.0,1,14.2
1,3,0,False,0,0.7135396825396826,4,0.25896031746031734,3,0.0175,1,0.005833333333333333,2,0.004166666666666667,3,13.3
1,3,5,False,5,0.6369047619047619,4,0.32309523809523805,0,0.018444444444444444,3,0.01088888888888889,2,0.010666666666666666,4,16.2
1,3,5,False,5,0.46632142857142855,0,0.2901626984126983,3,0.23576587301587287,4,0.00775,2,0.0,3,10.8
1,3,5,False,5,0.5097619047619049,3,0.49023809523809514,1,0.0,0,0.0,2,0.0,2,32.8
1,2,3,False,3,0.85,1,0.15,0,0.0,2,0.0,4,0.0,4,51.0
1,3,3,True,3,0.5949523809523809,5,0.39754761904761904,2,0.0075,1,0.0,0,0.0,1,36.0
1,0,1,False,1,0.995,0,0.005,2,0.0,3,0.0,4,0.0,2,16.9
1,0,0,True,0,0.998,1,0.002,2,0.0,3,0.0,4,0.0,1,3.6
1,3,0,False,0,0.6814285714285714,5,0.158,3,0.14771428571428571,1,0.011428571428571429,2,0.0014285714285714286,3,10.0
1,3,1,False,1,0.5097142857142856,5,0.38278571428571434,0,0.1,3,0.0075,2,0.0,4,16.5
1,3,0,False,0,0.8476507936507938,4,0.15234920634920635,2,0.0,1,0.0,3,0.0,5,5.3
1,3,0,False,0,0.673452380952381,4,0.326547619047619,2,0.0,1,0.0,3,0.0,5,12.8
1,2,2,True,2,0.7842619047619048,1,0.10392857142857143,0,0.10180952380952381,5,0.01,3,0.0,1,25.8
1,0,0,True,0,0.7496608946608946,1,0.2503391053391053,2,0.0,3,0.0,4,0.0,1,2.0
