fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elevation_gain
1,0,2,False,2,0.72,0,0.28,1,0.0,3,0.0,4,0.0,2,120.0
1,0,2,False,2,0.61,6,0.24133333333333337,4,0.14866666666666667,0,0.0,3,0.0,4,51.4
1,1,0,False,0,0.44683333333333336,2,0.4086666666666666,3,0.1,4,0.03,7,0.014499999999999999,6,105.2
1,1,4,False,4,0.8023333333333333,8,0.1376666666666667,2,0.03333333333333333,5,0.02,7,0.003333333333333333,9,53.6
1,0,0,True,0,0.5876666666666667,8,0.28,3,0.11699999999999999,4,0.013333333333333332,1,0.002,1,101.0
1,1,7,False,7,0.4658333333333334,0,0.4141666666666666,4,0.12,1,0.0,3,0.0,4,43.8
1,1,1,True,1,0.35455952380952366,4,0.33828571428571413,2,0.28715476190476186,8,0.02,3,0.0,1,45.6
1,1,0,False,0,0.5392500000000001,2,0.32075000000000004,1,0.06066666666666667,8,0.04435714285714285,5,0.03497619047619047,3,81.8
1,0,1,False,1,0.86,2,0.08416666666666667,4,0.05,3,0.005833333333333333,0,0.0,5,61.0
1,1,8,False,8,0.2849404761904761,2,0.27351190476190473,3,0.2201904761904762,1,0.2163571428571428,7,0.005,4,14.8
1,1,2,False,2,0.7653888888888888,7,0.23461111111111108,1,0.0,0,0.0,3,0.0,3,116.0
1,1,4,False,4,0.41302958152958147,3,0.37246248196248194,1,0.2145079365079364,0,0.0,2,0.0,3,17.4
1,2,7,False,7,0.5143809523809524,3,0.41383333333333333,2,0.033095238095238094,4,0.02692857142857143,1,0.01176190476190476,3,75.0
1,3,2,False,2,0.6833809523809522,3,0.28661904761904755,8,0.02,1,0.01,4,0.0,2,22.4
1,1,3,False,3,0.64,8,0.22,2,0.08583333333333334,1,0.04416666666666666,6,0.005714285714285714,4,64.8
1,2,8,False,8,0.65,6,0.26,7,0.09,0,0.0,3,0.0,6,94.4
1,0,7,False,7,0.5275,8,0.4291666666666667,4,0.04333333333333333,0,0.0,3,0.0,4,122.4
1,2,8,False,8,0.37067063492063496,1,0.3440079365079364,5,0.27532142857142855,2,0.01,3,0.0,4,9.8
1,0,2,False,2,0.6333333333333333,8,0.25,7,0.08666666666666668,3,0.03,0,0.0,5,84.8
1,0,3,False,3,0.61,4,0.28,0,0.06490476190476191,7,0.0450952380952381,2,0.0,3,104.8
1,0,1,False,1,0.6016785714285713,3,0.20748015873015874,8,0.19084126984126978,0,0.0,4,0.0,4,125.8
1,0,1,False,1,0.34705952380952376,7,0.32291666666666663,2,0.3000238095238094,0,0.03,3,0.0,4,90.8
1,2,0,False,0,0.64,7,0.31,2,0.05,1,0.0,3,0.0,3,116.4
1,2,8,False,8,0.6630952380952381,1,0.1634523809523809,4,0.133452380952381,7,0.04,3,0.0,6,151.2
1,4,1,False,1,0.37190476190476196,0,0.3486428571428571,2,0.2582936507936508,4,0.010968253968253967,7,0.010190476190476189,4,87.8
1,7,1,False,1,0.6016785714285713,3,0.20748015873015874,8,0.19084126984126978,0,0.0,4,0.0,9,126.0
1,7,7,True,7,0.84,4,0.13,8,0.02,2,0.01,3,0.0,1,194.6
1,1,2,False,2,0.5177142857142857,8,0.23216666666666666,4,0.2307619047619048,6,0.012357142857142858,7,0.006999999999999999,8,53.8
1,1,7,False,7,0.5143809523809524,3,0.41383333333333333,2,0.033095238095238094,4,0.02692857142857143,1,0.01176190476190476,5,75.0
1,1,4,False,4,0.98,7,0.0155,1,0.0045000000000000005,0,0.0,3,0.0,3,29.4
1,1,1,True,1,0.9119047619047619,7,0.0680952380952381,4,0.02,0,0.0,3,0.0,1,98.6
1,7,2,False,2,0.6833809523809522,3,0.28661904761904755,8,0.02,1,0.01,4,0.0,9,22.4
1,1,4,False,4,0.94,8,0.03,7,0.015,2,0.015,3,0.0,6,72.2
1,1,1,True,1,0.71,6,0.19,8,0.06,0,0.03,2,0.01,1,69.8
