fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elevation_gain
1,1,2,False,2,0.8051666666666667,0,0.18233333333333332,3,0.0125,1,0.0,4,0.0,4,38.8
1,1,3,False,3,0.44915752348091453,1,0.43913349692769577,2,0.08295311983034091,0,0.028755859761048535,4,0.0,2,0.0
1,0,0,True,0,0.9472738095238094,1,0.05272619047619047,2,0.0,3,0.0,4,0.0,1,13.9
1,2,0,False,0,0.67,2,0.33,1,0.0,3,0.0,4,0.0,2,40.6
1,1,1,True,1,0.779845238095238,4,0.22015476190476183,2,0.0,0,0.0,3,0.0,1,17.9
1,3,3,True,3,0.44915752348091453,1,0.43913349692769577,2,0.08295311983034091,0,0.028755859761048535,4,0.0,1,0.0
1,3,3,True,3,0.76,4,0.24,1,0.0,0,0.0,2,0.0,1,10.3
1,2,2,True,2,0.68,0,0.32,1,0.0,3,0.0,4,0.0,1,34.2
1,0,2,False,2,0.8051666666666667,0,0.1948333333333333,1,0.0,3,0.0,4,0.0,2,38.4
1,3,2,False,2,0.5303333333333332,4,0.40300000000000014,3,0.05,0,0.016666666666666666,1,0.0,3,32.1
1,4,3,False,3,0.75,4,0.23,0,0.02,1,0.0,2,0.0,2,12.9
1,4,1,False,1,0.5112619047619048,4,0.42507142857142854,2,0.05366666666666667,3,0.01,0,0.0,2,18.9
1,2,2,True,2,0.95,4,0.05,1,0.0,0,0.0,3,0.0,1,22.3
1,0,0,True,0,0.85,2,0.15,1,0.0,3,0.0,4,0.0,1,40.0
1,0,0,True,0,0.6,2,0.4,1,0.0,3,0.0,4,0.0,1,40.8
1,0,3,False,3,0.715,0,0.27,2,0.015,1,0.0,4,0.0,2,56.5
1,0,0,True,0,0.88625,2,0.08,4,0.02,1,0.013749999999999998,3,0.0,1,14.0
1,2,0,False,0,0.69,3,0.19416666666666665,2,0.11583333333333332,1,0.0,4,0.0,3,54.1
1,1,0,False,0,0.7400119047619049,1,0.24998809523809526,4,0.01,2,0.0,3,0.0,2,13.4
1,2,0,False,0,0.58,3,0.35,2,0.07,1,0.0,4,0.0,3,49.0
1,3,3,True,3,0.44915752348091453,1,0.43913349692769577,2,0.08295311983034091,0,0.028755859761048535,4,0.0,1,0.0
1,3,2,False,2,0.72,0,0.28,1,0.0,3,0.0,4,0.0,4,38.2
1,1,3,False,3,0.44915752348091453,1,0.43913349692769577,2,0.08295311983034091,0,0.028755859761048535,4,0.0,2,0.0
1,3,4,False,4,0.62,1,0.19,2,0.19,0,0.0,3,0.0,5,24.4
1,3,3,True,3,0.44915752348091453,1,0.43913349692769577,2,0.08295311983034091,0,0.028755859761048535,4,0.0,1,0.0
1,3,3,True,3,0.44915752348091453,1,0.43913349692769577,2,0.08295311983034091,0,0.028755859761048535,4,0.0,1,0.0
1,2,0,False,0,0.7500119047619048,1,0.24998809523809526,2,0.0,3,0.0,4,0.0,3,13.7
1,3,0,False,0,0.93,2,0.07,1,0.0,3,0.0,4,0.0,4,33.4
1,4,0,False,0,0.7041666666666666,4,0.28,1,0.01583333333333333,2,0.0,3,0.0,2,13.1
1,4,2,False,2,0.8340000000000001,3,0.156,4,0.01,1,0.0,0,0.0,3,12.0
2,1,3,False,3,0.4817098323644779,1,0.41647184418267985,2,0.0738619452287187,0,0.027956378224123578,4,0.0,2,0.0
2,3,0,False,0,0.58,3,0.33,2,0.09,1,0.0,4,0.0,2,75.0
2,3,3,True,3,0.4817098323644779,1,0.41647184418267985,2,0.0738619452287187,0,0.027956378224123578,4,0.0,1,0.0
2,3,3,True,3,0.68,4,0.215,0,0.105,1,0.0,2,0.0,1,9.4
2,3,3,True,3,0.4817098323644779,1,0.41647184418267985,2,0.0738619452287187,0,0.027956378224123578,4,0.0,1,0.0
2,0,2,False,2,0.8,0,0.17,3,0.03,1,0.0,4,0.0,2,34.6
2,3,3,True,3,0.9045000000000001,1,0.09549999999999999,0,0.0,2,0.0,4,0.0,1,5.1
2,0,2,False,2,0.59,3,0.41,1,0.0,0,0.0,4,0.0,4,59.7
2,3,3,True,3,0.8364999999999999,2,0.15350000000000003,0,0.01,1,0.0,4,0.0,1,51.7
2,4,4,True,4,0.6,1,0.22699999999999995,3,0.17300000000000001,0,0.0,2,0.0,1,16.2
2,4,3,False,3,0.5378333333333333,2,0.46216666666666667,1,0.0,0,0.0,4,0.0,5,12.5
2,4,1,False,1,0.6242105263157894,0,0.21026315789473685,3,0.1644736842105263,2,0.0010526315789473684,4,0.0,5,2.4
