fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elevation_gain
1,0,1,False,1,0.6644860208161295,8,0.1498657857020859,0,0.09385448843382277,6,0.091793705047962,3,0.0,3,5.0
1,4,1,False,1,0.7451461038961037,7,0.1303437950937951,6,0.124510101010101,0,0.0,3,0.0,8,6.7
1,5,1,False,1,0.28164285714285714,0,0.25690476190476197,6,0.25277380952380946,2,0.20534523809523805,4,0.003333333333333333,7,37.4
1,4,1,False,1,0.49712587412587406,3,0.16774755799755794,6,0.16168648018648019,7,0.15344008769008766,2,0.02,8,23.2
1,4,4,True,4,0.473547619047619,5,0.45645238095238094,1,0.0403888888888889,2,0.02961111111111111,3,0.0,1,23.5
1,2,8,False,8,0.5122619047619047,4,0.43040476190476196,6,0.033,1,0.024333333333333335,3,0.0,6,24.2
1,1,1,True,1,0.5736666666666665,2,0.4113333333333333,4,0.015,0,0.0,3,0.0,1,25.2
1,0,1,False,1,0.5475263347763348,2,0.22053932178932173,3,0.2138138528138528,8,0.012413419913419911,4,0.005707070707070707,6,26.3
1,4,1,False,1,0.6056150793650794,4,0.2965515873015873,5,0.034650793650793654,7,0.03392460317460318,8,0.02925793650793651,2,24.6
1,4,5,False,5,0.9466666666666668,4,0.04,1,0.01,0,0.003333333333333333,3,0.0,2,44.6
1,5,5,True,5,0.35855952380952383,1,0.3140992063492063,7,0.30400793650793656,4,0.02,2,0.003333333333333333,1,30.3
1,5,1,False,1,0.6384029581529582,5,0.19621536796536795,8,0.16538167388167385,2,0.0,3,0.0,2,23.8
1,3,1,False,1,0.4712579365079366,0,0.27325793650793645,2,0.2538174603174602,5,0.0016666666666666666,3,0.0,5,17.6
1,3,1,False,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,4,16.8
1,5,2,False,2,0.6340238095238094,1,0.3659761904761904,0,0.0,3,0.0,4,0.0,6,30.6
1,7,1,False,1,0.4912617105117106,5,0.20539517263781967,0,0.10644428855458266,7,0.10416188631629802,4,0.092736941979589,4,5.3
1,7,1,False,1,0.8469157868511857,8,0.05833124576853407,3,0.044051076205237544,7,0.017649805981257195,9,0.014202474327437138,4,0.0
1,7,4,False,4,0.67,0,0.16,2,0.14,5,0.0175,1,0.0125,8,51.4
1,4,5,False,5,0.4751666666666667,1,0.4081666666666667,8,0.05916666666666666,6,0.04083333333333333,2,0.016666666666666666,7,31.1
1,1,1,True,1,0.6559639249639246,5,0.3440360750360748,2,0.0,0,0.0,3,0.0,1,7.7
1,1,6,False,6,0.71,1,0.17,7,0.06,5,0.05,0,0.01,2,63.4
1,1,1,True,1,0.946335165464071,4,0.05366483453592846,2,0.0,0,0.0,3,0.0,1,3.3
1,1,8,False,8,0.4087962059620596,1,0.322789295392954,7,0.26233333333333325,6,0.0031266937669376695,4,0.0029544715447154474,2,12.7
1,1,1,True,1,0.37492460317460313,6,0.24121428571428566,7,0.1943055555555555,0,0.17641269841269838,2,0.008857142857142857,1,11.3
1,2,7,False,7,0.84,5,0.06533333333333333,4,0.057,1,0.03766666666666666,3,0.0,6,32.8
1,1,7,False,7,0.84,5,0.06533333333333333,4,0.057,1,0.03766666666666666,3,0.0,4,32.8
1,0,1,False,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,2,14.1
1,5,5,True,5,0.3572261904761904,1,0.3234325396825397,7,0.30400793650793656,2,0.015333333333333332,3,0.0,1,30.2
1,3,1,False,1,0.5756601731601729,3,0.21787012987012985,2,0.20646969696969703,0,0.0,4,0.0,2,8.6
1,5,1,False,1,0.5833333333333335,7,0.41666666666666663,2,0.0,0,0.0,3,0.0,7,40.5
1,3,1,False,1,0.8469157868511857,8,0.05833124576853407,3,0.044051076205237544,7,0.017649805981257195,9,0.014202474327437138,3,0.0
1,5,1,False,1,0.8469157868511857,8,0.05833124576853407,3,0.044051076205237544,7,0.017649805981257195,9,0.014202474327437138,10,0.0
1,5,1,False,1,0.9772222222222223,6,0.019166666666666665,2,0.003611111111111111,0,0.0,3,0.0,7,22.3
1,5,1,False,1,0.8941666666666666,4,0.10583333333333333,2,0.0,0,0.0,3,0.0,6,33.6
1,5,0,False,0,0.43500000000000005,5,0.43499999999999994,1,0.08,6,0.04,4,0.01,2,48.6
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,6.9
1,1,1,True,1,0.45049999999999996,4,0.38949999999999996,3,0.16,0,0.0,2,0.0,1,17.8
1,5,1,False,1,0.3723826696179636,3,0.22965767239296647,4,0.13599163336663328,5,0.13575948479624944,2,0.12620853982618685,4,17.1
1,7,1,False,1,0.91,0,0.09,2,0.0,3,0.0,4,0.0,8,45.2
1,2,5,False,5,0.516452380952381,4,0.473547619047619,1,0.008888888888888889,8,0.0011111111111111111,3,0.0,6,23.6
1,3,6,False,6,0.36657142857142844,3,0.3150119047619048,1,0.29727380952380944,8,0.021142857142857144,2,0.0,2,17.3
1,7,2,False,2,0.7773333333333333,5,0.1125952380952381,6,0.10007142857142858,7,0.008,1,0.002,4,32.4
1,3,5,False,5,0.9325000000000001,1,0.05749999999999999,2,0.01,0,0.0,3,0.0,5,25.9
1,7,1,False,1,0.6958571428571428,2,0.16800000000000004,7,0.102,5,0.018607142857142857,0,0.015535714285714286,3,14.7
1,7,1,False,1,0.3620833333333333,2,0.3259166666666667,7,0.292,4,0.015,5,0.005,3,29.6
1,3,2,False,2,0.5865206843380217,1,0.24799553748624947,8,0.08687624479923241,6,0.0786075333764962,3,0.0,5,11.1
1,4,1,False,1,0.9663030303030302,4,0.01809307359307359,2,0.015603896103896104,0,0.0,3,0.0,2,29.2
1,7,5,False,5,0.5029642857142855,1,0.49536904761904776,2,0.0016666666666666666,0,0.0,3,0.0,8,41.4
1,3,1,False,1,0.8469157868511857,8,0.05833124576853407,3,0.044051076205237544,7,0.017649805981257195,9,0.014202474327437138,3,0.0
1,7,1,False,1,0.8873333333333335,2,0.11266666666666669,0,0.0,3,0.0,4,0.0,8,9.7
1,7,5,False,5,0.63,0,0.24,6,0.06733333333333333,1,0.06266666666666666,3,0.0,8,38.3
1,6,1,False,1,0.3723826696179636,3,0.22965767239296647,4,0.13599163336663328,5,0.13575948479624944,2,0.12620853982618685,7,17.1
1,8,1,False,1,0.6644860208161295,8,0.1498657857020859,0,0.09385448843382277,6,0.091793705047962,3,0.0,2,5.0
1,1,1,True,1,0.5874999999999999,6,0.36266666666666664,2,0.0415,5,0.008333333333333333,3,0.0,1,39.1
1,1,6,False,6,0.3012341269841268,2,0.19363095238095238,5,0.18642063492063496,1,0.1734285714285714,8,0.14528571428571424,4,28.2
1,6,1,False,1,0.5524379509379509,3,0.4398347763347764,5,0.00465909090909091,2,0.0030681818181818184,0,0.0,7,17.0
1,1,1,True,1,0.6563037518037517,5,0.18356493506493507,6,0.1601313131313131,0,0.0,3,0.0,1,15.1
1,1,1,True,1,0.5136944444444447,2,0.30516269841269833,5,0.18114285714285708,0,0.0,3,0.0,1,17.5
1,1,1,True,1,0.6285580808080807,6,0.1922261904761904,7,0.17921572871572863,0,0.0,3,0.0,1,20.5
1,1,5,False,5,0.5054007936507936,1,0.24599603174603163,6,0.24210317460317454,0,0.0045000000000000005,2,0.002,2,12.2
1,1,1,True,1,0.8469157868511857,8,0.05833124576853407,3,0.044051076205237544,7,0.017649805981257195,9,0.014202474327437138,1,0.0
1,1,1,True,1,0.8469157868511857,8,0.05833124576853407,3,0.044051076205237544,7,0.017649805981257195,9,0.014202474327437138,1,0.0
1,1,1,True,1,0.6277218614718614,6,0.20003823953823952,8,0.1722398989898989,2,0.0,3,0.0,1,5.2
1,1,1,True,1,0.6619880952380952,2,0.3320119047619047,6,0.006,0,0.0,3,0.0,1,18.6
1,1,1,True,1,0.8469157868511857,8,0.05833124576853407,3,0.044051076205237544,7,0.017649805981257195,9,0.014202474327437138,1,0.0
1,1,1,True,1,0.8469157868511857,8,0.05833124576853407,3,0.044051076205237544,7,0.017649805981257195,9,0.014202474327437138,1,0.0
1,1,2,False,2,0.5605437617937615,1,0.31364256576756566,0,0.12581367243867242,3,0.0,4,0.0,2,13.6
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,3.7
1,1,1,True,1,0.6186093821039642,0,0.24674069476275362,8,0.13464992313328225,2,0.0,4,0.0,1,2.8
1,1,1,True,1,0.8058629564879561,2,0.09780427905427903,6,0.09633276445776445,0,0.0,3,0.0,1,20.3
1,8,4,False,4,0.34607936507936515,2,0.33825396825396814,0,0.2656666666666666,8,0.022666666666666665,1,0.016999999999999998,4,8.5
1,1,1,True,1,0.8101146296943513,8,0.11150923869731921,6,0.07837613160832974,2,0.0,3,0.0,1,2.9
1,1,1,True,1,0.8469157868511857,8,0.05833124576853407,3,0.044051076205237544,7,0.017649805981257195,9,0.014202474327437138,1,0.0
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,4.4
