fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,hour,day_of_week
1,0,0,True,0,0.4726046568811107,7,0.2022640343349186,9,0.1104507973484316,4,0.05551028354594109,5,0.05417064493216058,1,15.0,0.0
1,0,0,True,0,0.9603675213675215,1,0.023253205128205126,5,0.011849358974358975,4,0.002307692307692308,3,0.0011111111111111111,1,18.0,6.0
1,1,1,True,1,0.7346514041514041,6,0.2388400488400488,2,0.01394017094017094,4,0.00895726495726496,8,0.0025,1,9.0,0.0
1,0,0,True,0,0.49598178157598666,1,0.1837514860725689,5,0.17253607849925653,2,0.09675738942909484,4,0.04763993108975946,1,18.0,3.0
1,0,0,True,0,0.7435476190476191,6,0.2290714285714285,5,0.0175,1,0.009166666666666667,8,0.0007142857142857143,1,20.0,5.0
1,2,8,False,8,0.5295678847296494,0,0.2844988059326294,2,0.08693260824143173,6,0.08291736776295595,1,0.01125,3,12.0,1.0
1,0,0,True,0,0.6771181560527535,5,0.21546290590214734,9,0.09194885257501356,1,0.012051282051282051,4,0.002307692307692308,1,18.0,0.0
1,0,0,True,0,0.40213440045860877,7,0.20029853527820382,9,0.17689027226793538,4,0.06486489238058807,1,0.05281525193596531,1,15.0,3.0
1,0,0,True,0,0.6965810580823079,5,0.13738488274739008,3,0.1216577927187048,9,0.03893847843316413,1,0.005437788018433179,1,17.0,2.0
1,0,0,True,0,0.5389991005416401,1,0.2473265648006016,5,0.09352938083528255,3,0.06714591965488827,2,0.029999034167587375,1,17.0,1.0
1,0,0,True,0,0.7866968864468861,6,0.17605952380952375,1,0.023253205128205126,5,0.011682692307692309,4,0.002307692307692308,1,18.0,5.0
1,0,0,True,0,0.30083286126402314,2,0.1669408888639884,5,0.13741936782738298,9,0.1361020812568534,1,0.12980714288945938,1,16.0,1.0
1,0,2,False,2,0.28011945591872045,0,0.2744609813611941,7,0.17791543776761515,6,0.07739303088551554,9,0.07632821463683301,2,15.0,2.0
1,0,5,False,5,0.6033601259851261,0,0.3713260212010212,6,0.011666666666666667,8,0.005,4,0.002857142857142857,2,14.0,6.0
1,0,0,True,0,0.6607121212121211,6,0.32171212121212117,1,0.010075757575757576,5,0.0075,3,0.0,1,19.0,5.0
1,0,0,True,0,0.4726046568811107,7,0.2022640343349186,9,0.1104507973484316,4,0.05551028354594109,5,0.05417064493216058,1,15.0,0.0
1,1,0,False,0,0.5389991005416401,1,0.2473265648006016,5,0.09352938083528255,3,0.06714591965488827,2,0.029999034167587375,2,17.0,1.0
1,0,0,True,0,0.5012125824671884,1,0.11963625880045364,2,0.10695384612160456,9,0.08681236769502243,3,0.08658094165666753,1,16.0,3.0
1,0,5,False,5,0.4567097902097902,0,0.44910200910200904,2,0.0866882006882007,1,0.0075,3,0.0,2,18.0,2.0
1,3,0,False,0,0.5389991005416401,1,0.2473265648006016,5,0.09352938083528255,3,0.06714591965488827,2,0.029999034167587375,4,17.0,1.0
