fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,hour,day_of_week
1,1,1,True,1,0.4925554591607223,3,0.2652195742853637,0,0.12209779840042995,2,0.12012716815348394,4,0.0,1,13.0,4.0
1,1,1,True,1,0.5141317876945146,3,0.25073111253361285,0,0.23513709977187222,2,0.0,4,0.0,1,13.0,1.0
1,0,0,True,0,0.5414168585394094,3,0.3971249962187862,1,0.061458145241804304,2,0.0,4,0.0,1,12.0,0.0
1,2,2,True,2,0.7550422077922074,4,0.24495779220779215,1,0.0,0,0.0,3,0.0,1,20.0,2.0
1,1,3,False,3,0.5929147602317965,1,0.3657437517307321,0,0.041341488037471515,2,0.0,4,0.0,2,12.0,1.0
1,3,1,False,1,0.4925554591607223,3,0.2652195742853637,0,0.12209779840042995,2,0.12012716815348394,4,0.0,2,13.0,4.0
1,3,1,False,1,0.5141317876945146,3,0.25073111253361285,0,0.23513709977187222,2,0.0,4,0.0,2,13.0,1.0
1,2,2,True,2,0.422642857142857,4,0.3573571428571429,0,0.19,1,0.03,3,0.0,1,19.0,5.0
1,0,3,False,3,0.6167655933453485,0,0.3832344066546516,1,0.0,2,0.0,4,0.0,2,12.0,2.0
1,3,2,False,2,0.6490158730158728,3,0.3174920634920634,1,0.025555555555555554,0,0.007936507936507936,4,0.0,2,13.0,3.0
1,4,4,True,4,0.45084126984126977,1,0.32207936507936497,2,0.22707936507936502,0,0.0,3,0.0,1,22.0,1.0
1,4,4,True,4,0.8283333333333333,2,0.135,1,0.025666666666666664,3,0.007333333333333334,0,0.003666666666666667,1,0.0,1.0
1,2,2,True,2,0.8941666666666666,1,0.05583333333333333,0,0.04416666666666666,3,0.005833333333333333,4,0.0,1,14.0,3.0
1,0,0,True,0,0.4833078898225957,3,0.26494222689075614,2,0.24566269841269836,1,0.006087184873949579,4,0.0,1,13.0,0.0
1,0,0,True,0,0.4833078898225957,3,0.26494222689075614,2,0.24566269841269836,1,0.006087184873949579,4,0.0,1,13.0,0.0
1,0,0,True,0,0.7485260524499655,2,0.24190873015873002,1,0.006956521739130434,3,0.002608695652173913,4,0.0,1,13.0,6.0
