fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,hour,day_of_week
1,0,1,False,1,0.5831280969699465,2,0.2885687521759823,0,0.08416193400648114,8,0.011893186861014156,6,0.01075183700724255,3,,
1,4,6,False,6,0.25280119592397055,8,0.2511952970889682,1,0.22217130326562928,4,0.12992031959359546,0,0.07179402517481177,4,8.0,3.0
1,5,5,True,5,0.7066205969999553,2,0.2176576896877071,1,0.07572171331233787,0,0.0,3,0.0,1,8.0,6.0
1,4,6,False,6,0.28011740029836,1,0.2526777758503292,2,0.23373598412176955,7,0.12134637900014461,4,0.11212246072939631,5,10.0,5.0
1,4,2,False,2,0.29507435882854804,1,0.28146466727524594,6,0.2289956033085771,7,0.09728012739285599,4,0.09718524319477288,5,9.0,5.0
1,2,1,False,1,0.6042567698268322,4,0.12048579343084201,2,0.09478332048504115,8,0.06297140056609624,6,0.06081195272765752,3,9.0,2.0
1,1,1,True,1,0.6928395942722569,2,0.21650400923465926,5,0.0901802060168933,0,0.0004761904761904762,3,0.0,1,11.0,1.0
1,0,1,False,1,0.7982754584596686,2,0.10130720887299834,0,0.10041733266733262,3,0.0,4,0.0,3,12.0,0.0
1,4,1,False,1,0.3273789113976261,6,0.2231273673348737,5,0.14635161423471807,4,0.10126529748867165,2,0.08723075485405385,4,10.0,4.0
1,4,2,False,2,0.45389682539682547,1,0.19294841269841265,0,0.18186507936507934,4,0.1712896825396825,3,0.0,4,11.0,6.0
1,5,1,False,1,0.38524518821947856,3,0.20991590179317052,7,0.16456971535428525,8,0.11011481922077479,0,0.06575734044610779,6,8.0,1.0
1,5,1,False,1,0.4511126030623348,5,0.2677661272988707,7,0.12422231624596783,6,0.06182493793762402,2,0.05426208262392114,2,8.0,0.0
1,3,1,False,1,0.47302493785258065,3,0.1624079980652232,7,0.14091026942806262,6,0.06838929836264018,8,0.0673456288649667,2,9.0,1.0
1,3,1,False,1,0.47302493785258065,3,0.1624079980652232,7,0.14091026942806262,6,0.06838929836264018,8,0.0673456288649667,2,9.0,1.0
1,5,1,False,1,0.4511126030623348,5,0.2677661272988707,7,0.12422231624596783,6,0.06182493793762402,2,0.05426208262392114,2,8.0,0.0
1,7,2,False,2,0.29507435882854804,1,0.28146466727524594,6,0.2289956033085771,7,0.09728012739285599,4,0.09718524319477288,4,9.0,5.0
1,7,1,False,1,0.38524518821947856,3,0.20991590179317052,7,0.16456971535428525,8,0.11011481922077479,0,0.06575734044610779,3,8.0,1.0
1,7,1,False,1,0.5426140683387793,7,0.11880602623060721,6,0.09334970135252169,3,0.08852552586373845,0,0.05318383540057916,2,8.0,4.0
