fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elapsed_time
1,1,2,False,2,0.8355,1,0.1445,7,0.02,0,0.0,3,0.0,2,0 days 00:28:02
1,4,1,False,1,0.8578333333333333,5,0.11,2,0.03216666666666667,0,0.0,3,0.0,6,0 days 00:48:21
1,3,2,False,2,0.6841666666666667,8,0.19,6,0.1,0,0.01583333333333333,1,0.01,6,0 days 00:14:18
1,5,6,False,6,0.64,5,0.22,8,0.07,0,0.04,2,0.03,2,0 days 00:14:09
1,5,1,False,1,0.68,2,0.22,0,0.07,5,0.03,3,0.0,4,0 days 00:20:04
1,7,0,False,0,0.73,2,0.25,1,0.02,3,0.0,4,0.0,8,0 days 00:55:59
1,6,1,False,1,0.58,0,0.3,7,0.09,4,0.03,3,0.0,8,0 days 01:30:58
1,4,1,False,1,0.72,2,0.27,7,0.01,0,0.0,3,0.0,6,0 days 01:09:22
1,7,0,False,0,0.8,7,0.2,2,0.0,1,0.0,3,0.0,2,0 days 00:29:08
1,5,2,False,2,1.0,0,0.0,1,0.0,3,0.0,4,0.0,6,0 days 00:19:52
1,7,6,False,6,0.66,4,0.29,0,0.05,1,0.0,3,0.0,8,0 days 01:11:18
1,6,4,False,4,0.68,2,0.17,6,0.12,7,0.03,3,0.0,3,0 days 01:35:37
1,6,2,False,2,0.57,7,0.28,6,0.15,0,0.0,3,0.0,3,0 days 01:38:57
1,7,2,False,2,0.87,1,0.13,0,0.0,3,0.0,4,0.0,8,0 days 00:42:33
1,7,2,False,2,0.49433333333333335,5,0.37566666666666665,1,0.13,0,0.0,3,0.0,8,0 days 00:20:56
1,1,0,False,0,0.67,1,0.24,5,0.08,4,0.01,3,0.0,2,0 days 00:22:05
1,0,0,True,0,0.72,2,0.24,5,0.026666666666666665,6,0.01,1,0.003333333333333333,1,0 days 00:25:29
1,0,2,False,2,0.67,0,0.2,6,0.07,1,0.05,7,0.01,2,0 days 02:10:06
1,1,5,False,5,0.4854999999999999,7,0.4195000000000001,1,0.095,0,0.0,3,0.0,3,0 days 00:17:36
1,0,2,False,2,0.68,4,0.32,1,0.0,0,0.0,3,0.0,4,0 days 00:42:22
1,0,6,False,6,0.47166666666666657,0,0.4583333333333335,7,0.06,2,0.01,3,0.0,2,0 days 00:58:45
1,0,0,True,0,0.55,8,0.245,2,0.155,3,0.04,4,0.01,1,0 days 01:00:43
1,1,2,False,2,0.7538333333333334,5,0.20616666666666672,7,0.04,0,0.0,3,0.0,6,0 days 00:38:11
1,0,1,False,1,0.75,4,0.14,6,0.09,7,0.02,3,0.0,7,0 days 01:09:47
1,1,5,False,5,0.9066666666666666,0,0.07,6,0.0125,1,0.010833333333333332,3,0.0,4,0 days 00:15:32
1,0,2,False,2,0.47766666666666674,0,0.4323333333333332,7,0.06,1,0.03,3,0.0,2,0 days 00:41:44
1,4,0,False,0,0.7,2,0.21,7,0.09,1,0.0,3,0.0,6,0 days 00:58:57
1,4,7,False,7,0.5187976190476191,4,0.41625,5,0.034,6,0.030952380952380953,3,0.0,2,0 days 00:16:24
1,5,6,False,6,0.755,1,0.24,5,0.005,0,0.0,3,0.0,3,0 days 00:14:56
1,6,6,True,6,0.8957619047619048,0,0.04130952380952382,2,0.03464285714285714,1,0.02828571428571429,3,0.0,1,0 days 00:44:32
1,0,0,True,0,0.9,6,0.05,7,0.04,4,0.01,3,0.0,1,0 days 01:23:46
1,6,2,False,2,0.62,0,0.3,3,0.08,1,0.0,4,0.0,7,0 days 00:04:47
1,6,7,False,7,0.47,6,0.46,0,0.07,1,0.0,3,0.0,2,0 days 02:01:33
1,6,1,False,1,0.69,2,0.2025357142857143,4,0.07746428571428571,5,0.03,3,0.0,7,0 days 00:24:23
1,6,0,False,0,0.86,1,0.07,4,0.07,2,0.0,3,0.0,7,0 days 01:02:26
1,0,0,True,0,0.92,6,0.06,4,0.01,7,0.01,3,0.0,1,0 days 01:23:51
1,3,5,False,5,0.4595,0,0.4355,1,0.05,2,0.04,7,0.015,6,0 days 00:17:26
1,4,1,False,1,0.7854285714285715,2,0.21457142857142858,0,0.0,3,0.0,4,0.0,5,0 days 00:48:27
1,1,0,False,0,0.5065,1,0.4734999999999999,5,0.02,2,0.0,3,0.0,2,0 days 00:48:07
1,7,0,False,0,0.89,2,0.07,1,0.03,6,0.01,3,0.0,8,0 days 00:56:29
1,5,1,False,1,0.75,6,0.22,0,0.03,2,0.0,3,0.0,7,0 days 00:14:40
1,7,3,False,3,0.64,6,0.24,2,0.1075,1,0.0125,0,0.0,8,0 days 00:32:01
1,7,0,False,0,0.72,2,0.24,5,0.026666666666666665,6,0.01,1,0.003333333333333333,8,0 days 00:25:29
1,7,7,True,7,0.65,6,0.32,0,0.03,1,0.0,3,0.0,1,0 days 01:26:03
1,7,2,False,2,0.66,7,0.15116666666666664,1,0.14883333333333332,5,0.04,3,0.0,2,0 days 00:24:52
1,7,1,False,1,0.6812857142857144,6,0.13,4,0.06927380952380952,7,0.06201190476190477,5,0.057428571428571426,4,0 days 00:18:21
1,1,6,False,6,0.7,0,0.22,7,0.08,1,0.0,3,0.0,4,0 days 01:42:55
1,1,7,False,7,0.65,6,0.26,4,0.05,0,0.04,3,0.0,7,0 days 01:37:16
1,7,5,False,5,0.73,6,0.12685137085137085,0,0.057389249639249636,1,0.045711399711399696,4,0.040047979797979805,8,0 days 00:16:13
1,1,7,False,7,0.4533333333333334,1,0.4266666666666666,6,0.08,2,0.04,3,0.0,2,0 days 00:37:19
1,0,1,False,1,0.53,2,0.3870000000000001,5,0.083,0,0.0,3,0.0,4,0 days 00:39:08
1,0,6,False,6,0.66,2,0.2,7,0.12,1,0.02,3,0.0,6,0 days 01:39:12
1,1,2,False,2,0.9449761904761905,5,0.0385952380952381,0,0.016428571428571428,1,0.0,3,0.0,4,0 days 00:31:40
1,1,5,False,5,0.56,1,0.24,7,0.14,0,0.06,3,0.0,2,0 days 00:38:21
1,1,0,False,0,0.97,6,0.03,2,0.0,1,0.0,3,0.0,4,0 days 01:14:03
1,0,2,False,2,0.6083333333333334,1,0.21,0,0.17,4,0.011666666666666665,3,0.0,3,0 days 01:00:59
1,0,6,False,6,0.66,1,0.31,7,0.02,4,0.01,3,0.0,7,0 days 01:11:48
1,0,4,False,4,0.4406904761904762,6,0.41930952380952374,2,0.05666666666666667,0,0.04333333333333333,1,0.04,4,0 days 00:47:45
1,1,6,False,6,0.67,4,0.2,0,0.09,1,0.04,3,0.0,4,0 days 00:57:38
1,0,0,True,0,0.68,1,0.18047619047619043,7,0.1295238095238095,2,0.01,3,0.0,1,0 days 00:47:00
1,0,1,False,1,0.645,2,0.34,0,0.01,6,0.005,3,0.0,3,0 days 00:51:52
1,0,2,False,2,0.85,0,0.12583333333333332,1,0.024166666666666666,3,0.0,4,0.0,2,0 days 00:40:09
1,6,5,False,5,0.6555595238095238,7,0.3244404761904763,6,0.0125,1,0.0075,3,0.0,3,0 days 00:15:48
1,5,6,False,6,0.4736428571428571,0,0.41635714285714287,5,0.07999999999999999,1,0.02,7,0.01,3,0 days 00:18:45
1,5,1,False,1,0.7166666666666666,5,0.24,0,0.04333333333333334,2,0.0,3,0.0,2,0 days 00:20:26
1,4,6,False,6,0.56,5,0.31666666666666665,7,0.12333333333333332,0,0.0,3,0.0,8,0 days 00:16:28
1,1,6,False,6,0.62,1,0.31,8,0.05,0,0.02,3,0.0,2,0 days 00:13:38
1,4,0,False,0,0.67,7,0.28,6,0.04,2,0.01,3,0.0,8,0 days 01:12:52
1,4,0,False,0,0.63,6,0.36,1,0.01,2,0.0,3,0.0,6,0 days 01:03:37
1,4,0,False,0,0.62,7,0.36,4,0.01,1,0.01,3,0.0,3,0 days 01:32:35
1,6,5,False,5,0.29591017316017304,6,0.2522146464646464,7,0.2395165945165944,2,0.21235858585858572,3,0.0,2,0 days 00:15:39
1,6,6,True,6,0.59,0,0.31,2,0.09,1,0.01,3,0.0,1,0 days 00:55:29
1,6,0,False,0,0.89,6,0.06,5,0.03,2,0.02,3,0.0,2,0 days 01:17:54
1,6,5,False,5,0.4443333333333333,6,0.4156666666666667,3,0.1,0,0.026666666666666665,2,0.013333333333333332,2,0 days 00:24:41
1,4,1,False,1,0.9,2,0.09,0,0.01,3,0.0,4,0.0,5,0 days 01:02:15
1,0,6,False,6,0.9342857142857143,4,0.06,0,0.005714285714285714,1,0.0,3,0.0,3,0 days 01:22:33
1,1,5,False,5,0.8578531746031746,2,0.07845634920634921,6,0.06369047619047621,0,0.0,3,0.0,6,0 days 00:15:41
1,6,1,False,1,0.47916666666666674,6,0.40066666666666656,2,0.08016666666666666,5,0.04,3,0.0,2,0 days 00:19:14
1,6,1,False,1,0.5717857142857143,0,0.4182142857142857,6,0.01,2,0.0,3,0.0,3,0 days 00:44:59
1,4,7,False,7,0.46,5,0.4,6,0.12,0,0.015,2,0.005,8,0 days 00:22:18
1,6,2,False,2,0.7755,5,0.20616666666666672,4,0.01,0,0.008333333333333333,3,0.0,7,0 days 00:38:10
1,5,7,False,7,0.4740000000000002,2,0.4373333333333332,1,0.0831111111111111,6,0.003333333333333333,0,0.0022222222222222222,7,0 days 00:16:17
1,7,6,False,6,0.7,2,0.27,5,0.02,0,0.01,3,0.0,8,0 days 01:17:31
1,5,7,False,7,0.67,2,0.18616666666666667,0,0.12383333333333332,1,0.02,3,0.0,7,0 days 00:20:43
1,4,6,False,6,0.63,2,0.23250000000000004,0,0.10916666666666668,1,0.028333333333333332,3,0.0,6,0 days 00:14:23
1,7,2,False,2,0.6641666666666666,7,0.3258333333333333,1,0.01,0,0.0,3,0.0,2,0 days 00:01:34
1,7,6,False,6,0.71,7,0.29,0,0.0,1,0.0,3,0.0,2,0 days 01:19:47
1,6,1,False,1,0.8825,6,0.11,7,0.0075,0,0.0,3,0.0,2,0 days 00:08:41
1,6,2,False,2,0.77,6,0.18,1,0.04,0,0.01,3,0.0,2,0 days 00:07:51
