fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elapsed_time
1,0,0,True,0,0.8,2,0.11,8,0.09,1,0.0,4,0.0,1,0 days 00:15:38
1,0,0,True,0,0.99,6,0.01,2,0.0,1,0.0,3,0.0,1,0 days 00:38:32
1,1,0,False,0,0.6,8,0.39,1,0.01,2,0.0,4,0.0,3,0 days 00:26:24
1,0,0,True,0,0.9919999999999999,2,0.008,1,0.0,3,0.0,4,0.0,1,0 days 00:59:09
1,0,0,True,0,0.9,5,0.1,2,0.0,1,0.0,3,0.0,1,0 days 00:42:05
1,2,1,False,1,0.8115000000000001,2,0.1285,9,0.04,0,0.02,4,0.0,2,0 days 00:15:58
1,0,8,False,8,0.61,0,0.31,1,0.05,6,0.02,9,0.01,2,0 days 00:17:03
1,0,0,True,0,0.69,5,0.31,2,0.0,1,0.0,3,0.0,1,0 days 00:36:22
1,0,1,False,1,0.93,3,0.05,5,0.02,0,0.0,2,0.0,4,0 days 00:24:08
1,0,2,False,2,0.4151666666666667,3,0.39483333333333337,0,0.14,9,0.03,1,0.02,3,0 days 00:22:39
1,0,5,False,5,0.6,0,0.29,7,0.11,1,0.0,3,0.0,2,0 days 01:15:08
1,0,0,True,0,0.6525,6,0.29,5,0.0475,1,0.01,3,0.0,1,0 days 00:36:03
1,0,5,False,5,0.73,6,0.19,0,0.08,1,0.0,3,0.0,3,0 days 01:14:13
1,0,0,True,0,0.66,1,0.29,4,0.04,6,0.01,3,0.0,1,0 days 01:29:17
1,0,1,False,1,0.68,0,0.31,7,0.01,2,0.0,3,0.0,2,0 days 01:12:36
1,0,0,True,0,0.87,1,0.12,7,0.01,2,0.0,3,0.0,1,0 days 00:53:35
1,1,2,False,2,0.64,3,0.2,6,0.13,7,0.03,0,0.0,6,0 days 00:23:14
1,0,0,True,0,0.5011666666666666,1,0.35883333333333334,6,0.13,5,0.01,3,0.0,1,0 days 00:43:54
1,0,0,True,0,0.68,6,0.32,2,0.0,1,0.0,3,0.0,1,0 days 01:11:07
1,3,5,False,5,0.72,1,0.21,0,0.055,9,0.015,3,0.0,5,0 days 00:28:00
1,0,2,False,2,0.6216666666666667,8,0.34,0,0.028333333333333335,6,0.01,3,0.0,3,0 days 00:16:13
1,0,0,True,0,0.65,5,0.23,7,0.07,4,0.05,3,0.0,1,0 days 01:00:39
1,0,5,False,5,0.66,0,0.34,2,0.0,1,0.0,3,0.0,2,0 days 00:52:24
1,0,5,False,5,0.6,0,0.37,7,0.03,1,0.0,3,0.0,2,0 days 01:15:11
1,0,0,True,0,0.72,1,0.27,7,0.01,2,0.0,3,0.0,1,0 days 01:12:33
