fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elapsed_time
1,0,3,False,3,0.8,2,0.18,0,0.02,1,0.0,4,0.0,3,0 days 01:06:39
1,4,1,False,1,0.95,2,0.03166666666666666,6,0.018333333333333333,0,0.0,3,0.0,6,0 days 00:08:41
1,3,3,True,3,0.81,2,0.15,6,0.03,0,0.01,1,0.0,1,0 days 00:40:01
1,4,2,False,2,0.49244949494949497,3,0.17624350649350645,1,0.16565404040404033,6,0.16565295815295805,0,0.0,6,0 days 00:16:15
1,0,3,False,3,0.62,0,0.21,6,0.13,2,0.04,1,0.0,2,0 days 00:54:13
1,0,0,True,0,0.9483333333333333,3,0.03166666666666666,2,0.02,1,0.0,4,0.0,1,0 days 00:51:43
1,6,6,True,6,0.6,1,0.4,2,0.0,0,0.0,3,0.0,1,0 days 00:08:07
1,0,0,True,0,0.85,2,0.13,3,0.02,1,0.0,4,0.0,1,0 days 01:04:48
1,1,0,False,0,0.7829999999999999,3,0.14733333333333332,6,0.06966666666666667,1,0.0,2,0.0,4,0 days 00:40:33
1,2,3,False,3,0.68,6,0.2,0,0.12,1,0.0,2,0.0,5,0 days 01:08:07
1,2,0,False,0,0.82,3,0.18,1,0.0,2,0.0,4,0.0,4,0 days 01:12:10
1,6,3,False,3,0.6625,6,0.3375,1,0.0,0,0.0,2,0.0,2,0 days 01:02:07
1,6,1,False,1,0.46933333333333344,6,0.43066666666666664,2,0.055,3,0.04,4,0.005,2,0 days 00:18:13
1,2,3,False,3,0.6,2,0.33,0,0.04,5,0.02,6,0.01,2,0 days 01:21:59
1,6,2,False,2,1.0,0,0.0,1,0.0,3,0.0,4,0.0,7,0 days 00:15:51
1,3,0,False,0,0.55,3,0.45,1,0.0,2,0.0,4,0.0,2,0 days 01:33:01
1,3,3,True,3,0.7453333333333334,2,0.20133333333333336,0,0.05,6,0.003333333333333333,1,0.0,1,0 days 00:31:46
1,3,3,True,3,0.96,2,0.04,1,0.0,0,0.0,4,0.0,1,0 days 01:43:54
1,3,1,False,1,0.3633571428571428,3,0.32714285714285707,6,0.3034999999999999,2,0.006000000000000001,0,0.0,2,0 days 00:16:09
1,3,1,False,1,0.7,6,0.3,2,0.0,0,0.0,3,0.0,5,0 days 00:27:13
1,3,3,True,3,0.96,2,0.04,1,0.0,0,0.0,4,0.0,1,0 days 00:46:00
1,1,6,False,6,0.601,2,0.37,1,0.019,3,0.01,0,0.0,3,0 days 00:17:17
1,2,3,False,3,0.53,5,0.4,2,0.07,1,0.0,0,0.0,3,0 days 00:44:56
1,1,1,True,1,0.4571666666666668,4,0.43283333333333324,2,0.11,0,0.0,3,0.0,1,0 days 00:17:51
1,1,6,False,6,0.671,1,0.17704761904761906,4,0.095,2,0.056952380952380956,3,0.0,2,0 days 00:16:25
1,1,1,True,1,0.7,2,0.3,0,0.0,3,0.0,4,0.0,1,0 days 00:10:04
1,1,3,False,3,0.56,0,0.42,2,0.02,1,0.0,4,0.0,4,0 days 00:37:57
1,1,1,True,1,0.5100277777777777,6,0.48747222222222214,2,0.0025,0,0.0,3,0.0,1,0 days 00:15:44
1,1,6,False,6,0.9,0,0.1,2,0.0,1,0.0,3,0.0,4,0 days 00:20:56
1,3,6,False,6,0.7,3,0.26,2,0.04,1,0.0,0,0.0,2,0 days 00:37:45
1,0,2,False,2,0.55,3,0.24,0,0.21,1,0.0,4,0.0,3,0 days 01:31:55
1,2,6,False,6,0.67,2,0.25,4,0.08,0,0.0,3,0.0,2,0 days 01:37:28
1,2,6,False,6,0.71,1,0.23,2,0.04,3,0.02,0,0.0,3,0 days 00:24:57
1,2,2,True,2,0.65,3,0.35,1,0.0,0,0.0,4,0.0,1,0 days 01:42:01
1,2,6,False,6,0.55,4,0.3,1,0.15,0,0.0,3,0.0,6,0 days 00:25:36
1,0,2,False,2,0.6556666666666666,3,0.26,0,0.08433333333333333,1,0.0,4,0.0,3,0 days 00:46:48
1,2,2,True,2,0.69,3,0.31,1,0.0,0,0.0,4,0.0,1,0 days 01:27:02
1,2,1,False,1,0.5168809523809523,0,0.4091190476190476,6,0.07,2,0.002,3,0.002,4,0 days 00:17:31
1,2,3,False,3,0.65,2,0.22,0,0.07,1,0.06,4,0.0,2,0 days 00:47:27
1,3,3,True,3,0.66,0,0.32,6,0.02,1,0.0,2,0.0,1,0 days 00:38:36
1,1,3,False,3,0.6884999999999999,6,0.21,0,0.08,1,0.021500000000000005,2,0.0,4,0 days 00:38:25
1,0,3,False,3,0.4966904761904763,2,0.4633095238095237,1,0.04,0,0.0,4,0.0,4,0 days 00:16:37
1,3,3,True,3,0.66,2,0.33,4,0.01,1,0.0,0,0.0,1,0 days 01:41:34
1,6,2,False,2,0.57,3,0.29,0,0.12,6,0.02,1,0.0,4,0 days 01:19:09
1,6,2,False,2,0.6703333333333333,6,0.31,1,0.01966666666666667,0,0.0,3,0.0,2,0 days 00:18:05
1,0,0,True,0,0.72,6,0.23,2,0.05,1,0.0,3,0.0,1,0 days 01:18:34
1,0,1,False,1,0.39581746031746023,3,0.30064285714285705,2,0.28509523809523807,6,0.018444444444444444,0,0.0,5,0 days 00:15:43
1,6,6,True,6,0.5097619047619049,2,0.2643571428571428,3,0.2258809523809523,1,0.0,0,0.0,1,0 days 00:15:53
1,1,3,False,3,0.92,6,0.08,1,0.0,0,0.0,2,0.0,3,0 days 00:34:18
1,6,2,False,2,0.61,0,0.26,3,0.13,1,0.0,4,0.0,7,0 days 00:37:53
1,6,3,False,3,0.58,2,0.25,1,0.13,6,0.04,0,0.0,4,0 days 00:27:28
1,2,3,False,3,0.83,2,0.16,0,0.01,1,0.0,4,0.0,2,0 days 00:39:45
1,3,3,True,3,0.63,0,0.23,2,0.14,1,0.0,4,0.0,1,0 days 01:17:13
1,3,3,True,3,0.705,2,0.295,1,0.0,0,0.0,4,0.0,1,0 days 00:45:38
1,3,6,False,6,0.6433333333333333,3,0.23683333333333334,0,0.09983333333333334,2,0.02,1,0.0,2,0 days 00:40:13
1,3,0,False,0,0.65,3,0.35,1,0.0,2,0.0,4,0.0,2,0 days 01:15:32
1,3,0,False,0,0.94,3,0.06,1,0.0,2,0.0,4,0.0,2,0 days 00:38:54
1,3,5,False,5,0.69,3,0.28,2,0.03,1,0.0,0,0.0,2,0 days 00:44:57
1,3,3,True,3,0.69,0,0.21,2,0.08,5,0.02,1,0.0,1,0 days 00:56:21
1,3,5,False,5,0.45699999999999996,3,0.45299999999999996,0,0.07,1,0.02,2,0.0,2,0 days 00:30:02
1,3,1,False,1,0.7711666666666666,2,0.2288333333333334,0,0.0,3,0.0,4,0.0,4,0 days 00:04:14
1,2,3,False,3,0.75,0,0.25,1,0.0,2,0.0,4,0.0,4,0 days 00:39:20
1,0,0,True,0,0.9683333333333333,3,0.028333333333333335,2,0.003333333333333333,1,0.0,4,0.0,1,0 days 00:51:41
1,1,6,False,6,0.97,2,0.02,3,0.01,1,0.0,0,0.0,4,0 days 00:27:42
1,3,3,True,3,0.61,2,0.24,0,0.11,6,0.04,1,0.0,1,0 days 01:21:34
1,0,0,True,0,0.48050000000000004,3,0.38949999999999996,6,0.13,1,0.0,2,0.0,1,0 days 00:57:50
1,1,1,True,1,0.7,2,0.21,3,0.08,6,0.01,0,0.0,1,0 days 00:17:10
1,1,1,True,1,0.75,2,0.24,5,0.01,0,0.0,3,0.0,1,0 days 00:10:49
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:02:55
1,0,3,False,3,0.9291666666666667,2,0.07083333333333333,1,0.0,0,0.0,4,0.0,4,0 days 01:00:31
1,6,2,False,2,0.64,1,0.33,0,0.03,3,0.0,4,0.0,7,0 days 00:07:57
1,2,1,False,1,0.95,3,0.05,0,0.0,2,0.0,4,0.0,4,0 days 00:23:09
1,2,2,True,2,1.0,0,0.0,1,0.0,3,0.0,4,0.0,1,0 days 00:15:51
1,2,6,False,6,0.6403095238095239,1,0.15392857142857141,2,0.14423809523809525,3,0.06152380952380953,0,0.0,3,0 days 00:16:10
1,2,1,False,1,0.3633571428571428,3,0.32714285714285707,6,0.3034999999999999,2,0.006000000000000001,0,0.0,4,0 days 00:16:09
1,0,0,True,0,0.9483333333333333,3,0.03166666666666666,2,0.02,1,0.0,4,0.0,1,0 days 00:51:46
1,2,2,True,2,0.59,0,0.21,3,0.2,1,0.0,4,0.0,1,0 days 01:16:21
1,2,0,False,0,0.57,2,0.42,3,0.01,1,0.0,4,0.0,2,0 days 00:24:21
1,2,1,False,1,0.64,6,0.3,2,0.04,3,0.02,0,0.0,3,0 days 00:24:55
1,3,2,False,2,0.73,0,0.26,3,0.01,1,0.0,4,0.0,3,0 days 01:02:50
1,3,2,False,2,0.56,4,0.43,6,0.01,0,0.0,3,0.0,5,0 days 01:08:57
1,5,0,False,0,0.56,3,0.43066666666666664,2,0.005666666666666666,6,0.003666666666666667,1,0.0,7,0 days 00:48:35
1,2,1,False,1,0.95,2,0.025,6,0.025,0,0.0,3,0.0,2,0 days 00:17:41
1,2,3,False,3,0.62,6,0.28,2,0.1,1,0.0,0,0.0,3,0 days 00:58:42
1,2,6,False,6,0.61,2,0.21,3,0.14,0,0.04,1,0.0,2,0 days 00:33:08
1,2,1,False,1,0.6672857142857143,6,0.28128571428571425,4,0.04,2,0.006666666666666666,3,0.0047619047619047615,4,0 days 00:15:32
1,1,1,True,1,0.99,2,0.01,0,0.0,3,0.0,4,0.0,1,0 days 00:13:38
1,6,6,True,6,0.68,2,0.22,0,0.09,3,0.01,1,0.0,1,0 days 01:18:21
1,6,0,False,0,0.85,2,0.13,3,0.02,1,0.0,4,0.0,7,0 days 01:04:49
1,6,3,False,3,0.5665,6,0.35016666666666657,2,0.07333333333333333,0,0.01,1,0.0,2,0 days 01:03:00
1,6,6,True,6,0.72,1,0.2,3,0.08,0,0.0,2,0.0,1,0 days 00:28:05
