fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elapsed_time
1,1,4,False,4,0.797,1,0.153,3,0.05,0,0.0,2,0.0,2,0 days 00:16:12
1,3,2,False,2,0.59,5,0.2,0,0.16,3,0.05,1,0.0,4,0 days 01:11:35
1,0,2,False,2,0.48,0,0.42,4,0.06,3,0.04,1,0.0,2,0 days 01:00:46
1,1,1,True,1,0.63,2,0.37,0,0.0,3,0.0,4,0.0,1,0 days 00:36:00
1,2,3,False,3,0.7607857142857142,2,0.15826190476190474,1,0.08095238095238094,0,0.0,4,0.0,2,0 days 00:15:32
1,0,2,False,2,0.97,0,0.03,1,0.0,3,0.0,4,0.0,2,0 days 00:36:22
1,0,4,False,4,0.65,0,0.17566666666666664,1,0.13433333333333333,2,0.04,3,0.0,2,0 days 00:38:12
1,0,3,False,3,0.72,2,0.25,4,0.03,1,0.0,0,0.0,5,0 days 00:54:31
1,1,4,False,4,0.89,0,0.06,6,0.03,1,0.01,2,0.01,4,0 days 00:16:57
1,0,0,True,0,0.72,2,0.27,6,0.01,1,0.0,3,0.0,1,0 days 01:00:00
1,1,1,True,1,0.63,2,0.37,0,0.0,3,0.0,4,0.0,1,0 days 00:36:00
1,3,2,False,2,0.79,0,0.2,4,0.01,1,0.0,3,0.0,5,0 days 01:15:00
1,4,4,True,4,0.7504761904761905,0,0.21,2,0.039523809523809524,1,0.0,3,0.0,1,0 days 00:20:15
1,4,1,False,1,0.63,2,0.37,0,0.0,3,0.0,4,0.0,5,0 days 00:35:58
1,4,4,True,4,0.6589761904761905,3,0.3210238095238094,2,0.013333333333333332,1,0.006666666666666666,0,0.0,1,0 days 00:40:00
1,4,2,False,2,0.97,4,0.03,1,0.0,0,0.0,3,0.0,2,0 days 00:57:31
1,3,3,True,3,0.9,4,0.08,2,0.01,0,0.01,1,0.0,1,0 days 01:21:24
1,4,2,False,2,0.97,3,0.03,1,0.0,0,0.0,4,0.0,5,0 days 00:24:37
1,4,6,False,6,0.7431666666666666,2,0.25683333333333336,1,0.0,0,0.0,3,0.0,6,0 days 00:05:44
1,2,4,False,4,0.7271428571428571,0,0.24,2,0.032857142857142856,1,0.0,3,0.0,3,0 days 00:20:11
1,2,2,True,2,0.92,0,0.07,3,0.01,1,0.0,4,0.0,1,0 days 01:16:50
1,2,3,False,3,0.75,4,0.24,0,0.01,1,0.0,2,0.0,5,0 days 01:08:01
1,2,2,True,2,0.86,3,0.14,1,0.0,0,0.0,4,0.0,1,0 days 01:06:14
1,2,0,False,0,0.4713333333333333,2,0.41533333333333333,1,0.11333333333333333,3,0.0,4,0.0,2,0 days 00:38:05
1,2,0,False,0,0.68,3,0.21,2,0.11,1,0.0,4,0.0,3,0 days 01:02:00
1,2,2,True,2,0.9666666666666666,1,0.03333333333333333,0,0.0,3,0.0,4,0.0,1,0 days 00:22:15
1,1,2,False,2,0.92,4,0.08,1,0.0,0,0.0,3,0.0,3,0 days 00:28:00
1,3,2,False,2,0.91,4,0.09,1,0.0,0,0.0,3,0.0,5,0 days 01:01:00
1,3,0,False,0,0.86,3,0.11,2,0.03,1,0.0,4,0.0,2,0 days 01:19:12
1,0,3,False,3,0.6,0,0.24,2,0.16,1,0.0,4,0.0,2,0 days 01:29:11
1,3,3,True,3,0.43375,1,0.41625,2,0.15,0,0.0,4,0.0,1,0 days 00:25:00
1,3,4,False,4,0.65,3,0.20916666666666667,2,0.1408333333333333,1,0.0,0,0.0,2,0 days 00:54:37
