fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elapsed_time
1,0,5,False,5,0.9,3,0.07,2,0.03,1,0.0,0,0.0,5,0 days 01:36:22
1,3,5,False,5,0.7,0,0.17,1,0.08,3,0.05,2,0.0,4,0 days 00:09:45
1,3,5,False,5,0.71,2,0.21,0,0.06,3,0.02,1,0.0,4,0 days 01:02:24
1,0,1,False,1,0.68,5,0.25,3,0.07,0,0.0,2,0.0,4,0 days 00:18:48
1,5,0,False,0,0.66,3,0.31,1,0.03,2,0.0,4,0.0,6,0 days 00:16:32
1,1,2,False,2,0.88,0,0.12,1,0.0,3,0.0,4,0.0,3,0 days 00:30:29
1,5,5,True,5,0.67,3,0.2525,4,0.0475,0,0.03,2,0.0,1,0 days 00:18:04
1,3,0,False,0,0.64,3,0.19,2,0.17,1,0.0,4,0.0,2,0 days 01:16:27
1,5,3,False,3,0.9,0,0.09,5,0.01,1,0.0,2,0.0,3,0 days 00:56:42
1,5,1,False,1,0.62,2,0.38,0,0.0,3,0.0,4,0.0,6,0 days 00:48:19
1,5,2,False,2,0.59,0,0.21,3,0.19,5,0.01,1,0.0,4,0 days 01:00:19
1,5,0,False,0,0.68,2,0.2,5,0.12,1,0.0,3,0.0,3,0 days 00:54:26
1,5,1,False,1,0.69,3,0.15,5,0.14,2,0.02,0,0.0,3,0 days 00:16:42
1,2,3,False,3,0.71,5,0.23,0,0.04,1,0.02,2,0.0,5,0 days 01:15:53
1,3,3,True,3,0.98,5,0.02,1,0.0,0,0.0,2,0.0,1,0 days 01:29:20
1,0,1,False,1,0.57,2,0.26,0,0.16,5,0.01,3,0.0,3,0 days 00:30:15
1,0,3,False,3,0.63,0,0.37,1,0.0,2,0.0,4,0.0,2,0 days 01:50:51
1,0,0,True,0,0.7,1,0.28,5,0.02,2,0.0,3,0.0,1,0 days 00:40:02
1,0,0,True,0,0.92,1,0.08,2,0.0,3,0.0,4,0.0,1,0 days 00:31:13
1,0,0,True,0,0.92,1,0.07,3,0.01,2,0.0,4,0.0,1,0 days 00:23:23
1,0,5,False,5,0.57,2,0.33,0,0.1,1,0.0,3,0.0,3,0 days 01:17:37
1,0,3,False,3,0.6736666666666667,2,0.19616666666666663,5,0.07166666666666668,4,0.0585,0,0.0,5,0 days 00:47:28
1,0,0,True,0,0.88,1,0.05,3,0.05,5,0.02,2,0.0,1,0 days 00:24:00
1,0,1,False,1,0.68,0,0.3,3,0.02,2,0.0,4,0.0,2,0 days 00:54:00
1,0,3,False,3,0.96,2,0.02,0,0.01,5,0.01,1,0.0,3,0 days 00:45:51
1,0,3,False,3,0.77,5,0.18,2,0.05,1,0.0,0,0.0,5,0 days 01:05:26
1,0,0,True,0,0.82,4,0.17,2,0.01,1,0.0,3,0.0,1,0 days 00:51:16
1,0,2,False,2,0.66,0,0.23,1,0.11,3,0.0,4,0.0,2,0 days 00:49:42
1,1,5,False,5,0.63,0,0.18,1,0.09516666666666666,3,0.09483333333333333,2,0.0,3,0 days 00:16:51
1,1,5,False,5,0.83,3,0.1,0,0.04,1,0.03,2,0.0,4,0 days 00:28:36
1,1,0,False,0,0.72,5,0.24,3,0.02,1,0.02,2,0.0,4,0 days 00:34:01
1,3,3,True,3,0.54,0,0.46,1,0.0,2,0.0,4,0.0,1,0 days 01:13:09
1,1,0,False,0,0.88,2,0.1,1,0.02,3,0.0,4,0.0,3,0 days 00:07:21
1,1,2,False,2,0.57,1,0.43,0,0.0,3,0.0,4,0.0,2,0 days 00:48:23
1,3,3,True,3,0.87,2,0.09,0,0.04,1,0.0,4,0.0,1,0 days 02:00:59
1,3,3,True,3,0.87,5,0.11,2,0.02,1,0.0,0,0.0,1,0 days 01:28:32
1,1,1,True,1,0.49,0,0.44,5,0.05,2,0.02,3,0.0,1,0 days 00:32:38
1,0,0,True,0,0.74,2,0.2,5,0.05,1,0.01,3,0.0,1,0 days 00:32:28
1,0,3,False,3,0.6766666666666667,0,0.18666666666666665,1,0.1366666666666667,2,0.0,4,0.0,2,0 days 00:14:11
