fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elapsed_time
1,0,1,False,1,0.87,7,0.11,8,0.02,2,0.0,3,0.0,8,0 days 01:10:18
1,0,2,False,2,0.58,8,0.21,6,0.0925,7,0.07749999999999999,1,0.03,8,0 days 00:56:05
1,1,2,False,2,0.62,0,0.28,1,0.06,3,0.02,7,0.02,3,0 days 01:33:16
1,1,2,False,2,0.67,6,0.16,0,0.11,5,0.04,1,0.02,5,0 days 00:51:41
1,0,2,False,2,0.76,0,0.2,4,0.04,1,0.0,3,0.0,2,0 days 01:16:49
1,1,8,False,8,0.35,0,0.29033333333333333,2,0.26966666666666667,4,0.05,6,0.02,6,0 days 00:51:46
1,1,1,True,1,0.7166666666666666,6,0.17,8,0.11333333333333333,2,0.0,3,0.0,1,0 days 00:49:33
1,1,2,False,2,0.74,4,0.24,7,0.02,0,0.0,3,0.0,6,0 days 01:16:54
1,0,2,False,2,0.87,1,0.11,7,0.02,0,0.0,3,0.0,4,0 days 01:08:09
1,1,1,True,1,0.4824285714285715,4,0.43757142857142844,2,0.08,0,0.0,3,0.0,1,0 days 00:16:42
1,1,2,False,2,0.69,4,0.23,0,0.08,1,0.0,3,0.0,4,0 days 01:41:53
1,1,2,False,2,0.68,3,0.15649999999999997,4,0.12350000000000001,1,0.04,0,0.0,4,0 days 00:17:25
1,2,1,False,1,0.56,2,0.26,7,0.13,4,0.05,3,0.0,2,0 days 00:53:52
1,3,8,False,8,0.67,3,0.19833333333333336,2,0.0675,1,0.06416666666666666,4,0.0,2,0 days 00:15:24
1,1,1,True,1,0.71,8,0.24,3,0.04,4,0.01,2,0.0,1,0 days 00:57:23
1,2,1,False,1,0.5006666666666666,4,0.45933333333333337,6,0.04,0,0.0,3,0.0,6,0 days 00:37:33
1,0,4,False,4,0.72,2,0.26,7,0.02,0,0.0,3,0.0,4,0 days 01:16:55
1,2,1,False,1,0.7725,4,0.1775,6,0.029166666666666664,2,0.02083333333333333,3,0.0,4,0 days 00:32:31
1,0,7,False,7,0.9558333333333334,2,0.034166666666666665,4,0.01,0,0.0,3,0.0,4,0 days 01:07:33
1,0,2,False,2,0.92,7,0.07,1,0.01,0,0.0,3,0.0,4,0 days 01:32:14
1,0,1,False,1,0.96,7,0.04,2,0.0,0,0.0,3,0.0,4,0 days 01:28:52
1,0,7,False,7,0.59,1,0.3383333333333334,8,0.07166666666666666,2,0.0,3,0.0,8,0 days 01:06:02
1,2,7,False,7,0.59,1,0.27,2,0.14,0,0.0,3,0.0,3,0 days 01:18:03
1,2,1,False,1,0.7,7,0.2,4,0.0925,2,0.0075,3,0.0,4,0 days 01:15:28
1,4,7,False,7,0.57,2,0.28,1,0.0735,3,0.06816666666666667,4,0.008333333333333333,5,0 days 00:37:36
1,7,1,False,1,0.83,2,0.15,7,0.01,8,0.01,3,0.0,3,0 days 01:08:55
1,7,2,False,2,0.67,1,0.29,0,0.04,3,0.0,4,0.0,8,0 days 01:37:32
1,1,4,False,4,0.62,3,0.2016666666666667,2,0.17833333333333332,1,0.0,0,0.0,4,0 days 00:47:30
1,1,6,False,6,0.708,4,0.17,1,0.09,7,0.032,3,0.0,3,0 days 00:56:19
1,1,2,False,2,0.502,3,0.42646245421245416,1,0.056024114774114765,4,0.015513431013431011,0,0.0,3,0 days 00:15:32
1,1,3,False,3,0.9087142857142857,8,0.09128571428571426,1,0.0,0,0.0,4,0.0,3,0 days 00:38:52
1,7,6,False,6,0.65,1,0.14666666666666667,3,0.11333333333333334,2,0.09,0,0.0,8,0 days 00:17:31
1,1,6,False,6,0.4938333333333334,7,0.4061666666666667,1,0.09,4,0.01,3,0.0,3,0 days 00:56:13
1,1,3,False,3,0.9226666666666667,8,0.07733333333333334,1,0.0,0,0.0,4,0.0,3,0 days 00:38:59
1,7,7,True,7,0.87,8,0.09,4,0.04,0,0.0,3,0.0,1,0 days 01:00:23
1,1,1,True,1,0.63,8,0.17238095238095238,7,0.14761904761904762,2,0.05,3,0.0,1,0 days 00:57:59
1,1,6,False,6,0.715,2,0.275,8,0.01,1,0.0,3,0.0,4,0 days 00:31:43
1,1,8,False,8,0.67,3,0.14400000000000002,0,0.13599999999999998,2,0.04,1,0.01,5,0 days 01:07:02
1,3,8,False,8,0.64,3,0.3200119047619047,2,0.015083333333333332,1,0.014214285714285714,4,0.01069047619047619,2,0 days 00:16:27
1,1,1,True,1,0.87,7,0.11,8,0.02,2,0.0,3,0.0,1,0 days 01:10:22
1,3,1,False,1,0.72,5,0.22,0,0.028333333333333332,8,0.024166666666666666,7,0.0075,6,0 days 00:45:07
1,2,6,False,6,0.66,1,0.29,2,0.04,3,0.01,0,0.0,3,0 days 00:25:34
1,2,6,False,6,0.86,1,0.12,2,0.02,0,0.0,3,0.0,3,0 days 00:29:03
1,2,1,False,1,0.65,7,0.34,6,0.01,0,0.0,3,0.0,6,0 days 01:18:56
1,1,2,False,2,0.98,1,0.01,7,0.01,0,0.0,3,0.0,2,0 days 00:06:01
1,7,2,False,2,0.4679999999999999,6,0.4320000000000001,3,0.09,7,0.01,0,0.0,4,0 days 00:07:06
1,7,8,False,8,0.75,3,0.19,6,0.04,2,0.02,0,0.0,9,0 days 00:07:46
1,3,4,False,4,0.48883333333333323,1,0.4078333333333334,2,0.08,6,0.02333333333333333,3,0.0,5,0 days 00:16:57
1,3,1,False,1,0.6533333333333333,3,0.29,6,0.05,4,0.006666666666666666,2,0.0,2,0 days 00:17:10
1,7,1,False,1,0.4824285714285715,4,0.43757142857142844,2,0.08,0,0.0,3,0.0,8,0 days 00:16:41
1,2,3,False,3,0.64,2,0.29,4,0.07,1,0.0,0,0.0,2,0 days 00:08:12
1,2,2,True,2,0.68,8,0.24,7,0.05,6,0.03,3,0.0,1,0 days 00:27:39
1,2,0,False,0,0.5,8,0.36,1,0.11,7,0.03,3,0.0,8,0 days 00:56:49
1,2,7,False,7,0.67,2,0.24816666666666662,1,0.08183333333333334,0,0.0,3,0.0,2,0 days 01:31:26
1,2,7,False,7,0.73,3,0.1433333333333333,2,0.12666666666666668,1,0.0,0,0.0,3,0 days 00:16:52
1,2,1,False,1,0.7759999999999999,2,0.11399999999999999,3,0.11,0,0.0,4,0.0,2,0 days 00:16:05
1,2,2,True,2,0.83,7,0.14,8,0.03,1,0.0,3,0.0,1,0 days 00:21:50
1,2,1,False,1,0.5449642857142858,3,0.22259126984126978,4,0.2224444444444444,2,0.01,0,0.0,4,0 days 00:15:17
1,3,3,True,3,0.76,2,0.21,6,0.02,4,0.01,0,0.0,1,0 days 00:22:34
1,3,6,False,6,0.4278571428571427,2,0.40214285714285714,5,0.1,3,0.05,1,0.02,4,0 days 00:32:40
1,2,4,False,4,0.6133333333333334,1,0.32,6,0.05,2,0.016666666666666666,3,0.0,4,0 days 00:01:42
1,2,2,True,2,0.3143968253968253,1,0.31069444444444444,6,0.2849087301587301,3,0.08,4,0.01,1,0 days 00:22:02
1,4,4,True,4,0.72,2,0.25,7,0.03,0,0.0,3,0.0,1,0 days 01:16:57
1,2,3,False,3,0.66,6,0.215,8,0.09,1,0.03,2,0.005,5,0 days 00:31:26
1,0,1,False,1,0.63,2,0.19,7,0.13,8,0.04,0,0.01,5,0 days 01:17:27
1,2,0,False,0,0.65,1,0.29,7,0.04,2,0.02,3,0.0,4,0 days 01:18:20
1,0,6,False,6,0.43678571428571417,2,0.4332142857142858,7,0.08,4,0.04,1,0.01,6,0 days 00:44:13
1,4,4,True,4,0.64,2,0.25,3,0.11,1,0.0,0,0.0,1,0 days 00:08:20
1,4,2,False,2,0.74,6,0.22,7,0.04,0,0.0,3,0.0,8,0 days 00:21:29
1,4,8,False,8,0.77,4,0.1475,1,0.0825,2,0.0,3,0.0,2,0 days 00:58:51
