fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elapsed_time
1,1,2,False,2,0.78,0,0.22,1,0.0,3,0.0,4,0.0,3,0 days 00:53:19
1,1,1,True,1,0.97,3,0.02,0,0.01,2,0.0,4,0.0,1,0 days 00:17:41
1,0,2,False,2,0.92,0,0.08,1,0.0,3,0.0,4,0.0,2,0 days 00:53:32
1,2,2,True,2,0.92,0,0.08,1,0.0,3,0.0,4,0.0,1,0 days 00:53:46
1,1,0,False,0,0.61,3,0.39,1,0.0,2,0.0,4,0.0,3,0 days 00:17:16
1,3,2,False,2,0.96,3,0.04,1,0.0,0,0.0,4,0.0,2,0 days 00:00:46
1,3,0,False,0,0.67,3,0.32,1,0.01,2,0.0,4,0.0,2,0 days 00:17:02
1,2,3,False,3,0.63,2,0.36,0,0.01,1,0.0,4,0.0,2,0 days 00:50:21
1,0,0,True,0,0.88,3,0.12,1,0.0,2,0.0,4,0.0,1,0 days 00:55:19
1,3,3,True,3,0.91,0,0.07,4,0.02,1,0.0,2,0.0,1,0 days 00:45:08
1,4,1,False,1,0.78,2,0.16,3,0.06,0,0.0,4,0.0,5,0 days 00:18:47
1,4,3,False,3,0.65,2,0.31,4,0.03,0,0.01,1,0.0,3,0 days 00:32:10
1,2,3,False,3,0.65,4,0.26,2,0.08,0,0.01,1,0.0,3,0 days 00:31:24
1,0,3,False,3,0.97,2,0.02,0,0.01,1,0.0,4,0.0,3,0 days 00:49:35
1,0,3,False,3,0.74,4,0.25,0,0.01,1,0.0,2,0.0,3,0 days 00:49:02
1,0,2,False,2,0.58,3,0.26,0,0.16,1,0.0,4,0.0,3,0 days 01:28:01
1,0,3,False,3,0.4815833333333333,0,0.4384166666666667,1,0.08,2,0.0,4,0.0,2,0 days 00:15:57
1,2,4,False,4,0.89,0,0.09,3,0.02,1,0.0,2,0.0,5,0 days 00:45:32
1,1,0,False,0,0.55,2,0.26,3,0.10100000000000002,1,0.08900000000000001,4,0.0,4,0 days 00:16:34
1,2,2,True,2,0.59,3,0.41,1,0.0,0,0.0,4,0.0,1,0 days 01:00:00
1,3,3,True,3,0.4815833333333333,0,0.4384166666666667,1,0.08,2,0.0,4,0.0,1,0 days 00:15:57
1,3,2,False,2,0.87,3,0.1,0,0.03,1,0.0,4,0.0,2,0 days 01:05:07
1,1,3,False,3,0.64,1,0.29,2,0.07,0,0.0,4,0.0,2,0 days 00:18:27
1,3,3,True,3,0.63,2,0.36,0,0.01,1,0.0,4,0.0,1,0 days 00:50:21
1,3,3,True,3,0.63,1,0.22,0,0.09,4,0.06,2,0.0,1,0 days 00:21:47
1,3,1,False,1,0.97,3,0.03,0,0.0,2,0.0,4,0.0,2,0 days 00:15:22
1,2,3,False,3,0.62,2,0.35,1,0.03,0,0.0,4,0.0,2,0 days 00:11:56
1,3,0,False,0,0.63,4,0.21,2,0.15,3,0.01,1,0.0,4,0 days 00:52:30
1,4,4,True,4,0.73,2,0.24,3,0.02,1,0.01,0,0.0,1,0 days 00:41:57
1,4,4,True,4,0.6075,3,0.361,2,0.0315,1,0.0,0,0.0,1,0 days 00:29:34
2,1,3,False,3,0.7,1,0.26,0,0.04,2,0.0,4,0.0,2,0 days 00:10:15
2,3,1,False,1,0.65,3,0.21,0,0.08,4,0.04,2,0.02,2,0 days 00:40:45
2,3,1,False,1,0.96,4,0.04,2,0.0,0,0.0,3,0.0,5,0 days 00:18:11
2,3,2,False,2,0.86,4,0.14,1,0.0,0,0.0,3,0.0,5,0 days 00:34:31
2,3,1,False,1,0.28,0,0.25659523809523804,3,0.23176190476190472,4,0.22164285714285714,2,0.01,3,0 days 00:16:28
2,0,3,False,3,0.6565000000000001,2,0.3335,0,0.01,1,0.0,4,0.0,3,0 days 00:49:58
2,3,1,False,1,0.67,2,0.14,3,0.07742857142857143,0,0.07261904761904762,4,0.03995238095238095,3,0 days 00:16:29
2,0,0,True,0,0.85,2,0.15,1,0.0,3,0.0,4,0.0,1,0 days 01:24:22
2,3,4,False,4,0.79,2,0.2,3,0.01,1,0.0,0,0.0,3,0 days 00:42:29
2,4,2,False,2,0.67,4,0.33,1,0.0,0,0.0,3,0.0,2,0 days 00:30:00
2,4,3,False,3,0.67,2,0.27,1,0.06,0,0.0,4,0.0,5,0 days 00:23:57
2,4,1,False,1,0.78,0,0.18,2,0.03,4,0.01,3,0.0,4,0 days 00:07:53
2,1,2,False,2,0.81,4,0.16,0,0.03,1,0.0,3,0.0,4,0 days 00:35:46
2,2,4,False,4,0.68,3,0.26,2,0.06,1,0.0,0,0.0,3,0 days 00:51:20
