fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elapsed_time
1,2,4,False,4,0.65,2,0.26,1,0.09,0,0.0,3,0.0,2,0 days 00:59:43
1,2,3,False,3,0.7,2,0.3,1,0.0,0,0.0,4,0.0,2,0 days 00:25:05
1,1,2,False,2,0.95,3,0.05,1,0.0,0,0.0,4,0.0,3,0 days 00:21:12
1,1,3,False,3,0.58,2,0.28,0,0.11,1,0.02,6,0.01,4,0 days 00:16:43
1,2,3,False,3,0.61,2,0.3042142857142857,1,0.07578571428571429,4,0.01,0,0.0,2,0 days 01:00:08
1,0,6,False,6,0.76,2,0.2,0,0.04,1,0.0,3,0.0,3,0 days 01:31:39
1,0,0,True,0,0.47821428571428565,6,0.41178571428571414,4,0.06,2,0.05,3,0.0,1,0 days 01:02:13
1,0,3,False,3,0.97,2,0.03,1,0.0,0,0.0,4,0.0,4,0 days 00:26:04
1,0,2,False,2,0.7016666666666665,0,0.28,4,0.018333333333333333,1,0.0,3,0.0,2,0 days 00:58:44
1,4,2,False,2,0.6733333333333335,6,0.18333333333333335,3,0.1433333333333333,1,0.0,0,0.0,6,0 days 00:40:38
1,0,0,True,0,0.58,2,0.42,1,0.0,3,0.0,4,0.0,1,0 days 01:15:54
1,4,2,False,2,0.97,0,0.03,1,0.0,3,0.0,4,0.0,5,0 days 00:49:54
1,4,6,False,6,0.64,0,0.32,2,0.04,1,0.0,3,0.0,6,0 days 00:49:37
1,2,1,False,1,0.6,5,0.1861666666666666,4,0.17383333333333337,2,0.04,3,0.0,4,0 days 00:50:21
1,3,2,False,2,0.4638333333333333,0,0.43616666666666665,7,0.09,1,0.01,3,0.0,5,0 days 01:04:03
1,2,2,True,2,0.75,6,0.25,1,0.0,0,0.0,3,0.0,1,0 days 00:29:19
1,2,2,True,2,0.9086666666666666,13,0.06133333333333334,3,0.02,9,0.01,4,0.0,1,0 days 00:11:59
1,2,3,False,3,0.9451666666666667,2,0.05483333333333333,1,0.0,0,0.0,4,0.0,2,0 days 00:09:32
1,2,2,True,2,0.77,4,0.16,7,0.07,0,0.0,3,0.0,1,0 days 00:44:49
1,6,0,False,0,0.7233333333333333,3,0.2,6,0.04666666666666667,1,0.02,2,0.01,3,0 days 00:51:47
1,6,7,False,7,0.6,1,0.31,2,0.07,6,0.02,3,0.0,4,0 days 01:11:19
1,6,6,True,6,0.63,3,0.21,4,0.13,0,0.025,2,0.005,1,0 days 00:34:41
1,6,1,False,1,0.89,2,0.08,6,0.03,0,0.0,3,0.0,3,0 days 01:02:55
1,6,6,True,6,0.7,2,0.3,1,0.0,0,0.0,3,0.0,1,0 days 00:53:32
1,2,2,True,2,0.75,3,0.25,1,0.0,0,0.0,4,0.0,1,0 days 01:01:18
1,6,2,False,2,0.92,3,0.08,1,0.0,0,0.0,4,0.0,7,0 days 00:28:04
1,6,2,False,2,0.92,3,0.08,1,0.0,0,0.0,4,0.0,7,0 days 00:28:05
1,8,2,False,2,0.53,0,0.2165,6,0.20350000000000001,1,0.03,4,0.02,9,0 days 01:02:04
1,6,3,False,3,0.84,11,0.14,13,0.01,2,0.01,4,0.0,10,0 days 00:16:28
1,6,7,False,7,0.63,4,0.19,2,0.15,3,0.02,6,0.01,5,0 days 00:42:59
1,2,6,False,6,0.59,3,0.37,2,0.02,10,0.02,0,0.0,3,0 days 00:01:38
1,2,3,False,3,0.9248333333333334,2,0.07516666666666666,1,0.0,0,0.0,4,0.0,2,0 days 00:09:27
1,6,2,False,2,0.7925000000000001,0,0.14,6,0.0675,1,0.0,3,0.0,3,0 days 00:40:20
1,6,3,False,3,0.83,2,0.17,1,0.0,0,0.0,4,0.0,7,0 days 00:23:12
1,6,2,False,2,0.72,11,0.21,7,0.07,1,0.0,3,0.0,9,0 days 00:24:56
1,7,7,True,7,0.42654761904761906,6,0.38345238095238104,2,0.17,0,0.02,3,0.0,1,0 days 00:17:28
1,6,6,True,6,0.64,3,0.25,10,0.11,1,0.0,2,0.0,1,0 days 00:19:28
1,6,7,False,7,0.67,8,0.18,6,0.13,2,0.02,3,0.0,3,0 days 01:12:07
1,6,2,False,2,0.4677142857142858,6,0.3922857142857143,0,0.14,1,0.0,3,0.0,2,0 days 00:40:29
1,2,2,True,2,0.509,4,0.37099999999999994,3,0.12,1,0.0,0,0.0,1,0 days 00:17:11
1,2,6,False,6,0.66,2,0.29,3,0.05,1,0.0,0,0.0,2,0 days 00:46:20
1,2,2,True,2,0.78,10,0.15,6,0.0375,7,0.0325,3,0.0,1,0 days 00:25:55
1,6,3,False,3,0.8858333333333333,2,0.06416666666666666,12,0.05,1,0.0,4,0.0,7,0 days 00:01:07
1,7,3,False,3,0.97,2,0.03,1,0.0,0,0.0,4,0.0,8,0 days 00:23:22
1,8,2,False,2,0.74,3,0.25,1,0.01,0,0.0,4,0.0,9,0 days 00:14:38
1,8,9,False,9,0.59,3,0.41,1,0.0,0,0.0,4,0.0,10,0 days 00:06:28
1,6,2,False,2,0.5208571428571428,7,0.4441428571428571,3,0.03,6,0.005,0,0.0,4,0 days 00:32:32
1,7,2,False,2,0.7916666666666665,3,0.17833333333333334,7,0.02,6,0.01,0,0.0,3,0 days 01:05:02
1,6,6,True,6,0.64,3,0.34,2,0.02,1,0.0,0,0.0,1,0 days 00:18:42
1,7,8,False,8,0.63,2,0.09235714285714286,3,0.08266666666666665,13,0.07739285714285714,12,0.06733333333333333,6,0 days 00:09:55
1,6,6,True,6,0.63,2,0.3066666666666667,3,0.05333333333333334,8,0.01,0,0.0,1,0 days 00:03:13
1,6,6,True,6,0.66,12,0.13966666666666666,5,0.12716666666666668,3,0.043833333333333335,2,0.029333333333333336,1,0 days 00:01:20
1,6,6,True,6,0.67,11,0.2,3,0.05,0,0.05,2,0.03,1,0 days 00:42:15
1,7,2,False,2,0.6,3,0.2,11,0.17,0,0.03,4,0.0,9,0 days 00:17:57
1,8,3,False,3,0.8533333333333333,12,0.08,10,0.06,2,0.006666666666666666,4,0.0,12,0 days 00:01:06
1,2,2,True,2,0.62,6,0.34,0,0.04,1,0.0,3,0.0,1,0 days 01:33:22
1,2,11,False,11,0.61,7,0.22,6,0.0915,2,0.0785,3,0.0,4,0 days 00:41:12
1,2,6,False,6,0.7,2,0.3,1,0.0,0,0.0,3,0.0,2,0 days 00:53:39
1,2,3,False,3,0.9451666666666667,2,0.05483333333333333,1,0.0,0,0.0,4,0.0,2,0 days 00:09:32
1,2,6,False,6,0.55,2,0.27,8,0.14,3,0.04,0,0.0,2,0 days 00:03:01
1,2,2,True,2,0.8450000000000002,6,0.15500000000000003,1,0.0,0,0.0,3,0.0,1,0 days 00:29:54
1,3,4,False,4,0.61,3,0.39,1,0.0,0,0.0,2,0.0,2,0 days 00:08:51
