fold,true_cluster,predicted_cluster,correct,top1_cluster,top1_confidence,top2_cluster,top2_confidence,top3_cluster,top3_confidence,top4_cluster,top4_confidence,top5_cluster,top5_confidence,true_rank,elapsed_time
1,0,6,False,6,0.84,1,0.13,7,0.03,0,0.0,3,0.0,4,0 days 00:45:11
1,4,1,False,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,5,0 days 00:08:10
1,5,2,False,2,0.74,1,0.19,5,0.07,0,0.0,3,0.0,3,0 days 01:14:20
1,4,2,False,2,0.54,1,0.45,7,0.01,0,0.0,3,0.0,6,0 days 00:33:38
1,4,1,False,1,0.68,2,0.24,3,0.08,0,0.0,4,0.0,5,0 days 00:27:15
1,2,2,True,2,0.59,7,0.28,8,0.11,1,0.02,3,0.0,1,0 days 00:50:22
1,1,1,True,1,1.0,0,0.0,2,0.0,3,0.0,4,0.0,1,0 days 00:35:11
1,0,1,False,1,0.9,6,0.06,5,0.04,0,0.0,3,0.0,4,0 days 00:48:20
1,4,1,False,1,0.97,2,0.02,4,0.01,0,0.0,3,0.0,3,0 days 00:55:24
1,4,7,False,7,0.88,1,0.09,5,0.03,0,0.0,3,0.0,7,0 days 01:01:13
1,5,2,False,2,0.6,6,0.34,4,0.05,5,0.01,3,0.0,4,0 days 00:41:56
1,5,1,False,1,0.92,2,0.04,6,0.02107142857142857,0,0.018928571428571427,3,0.0,7,0 days 00:47:06
1,3,4,False,4,0.5063333333333334,1,0.4236666666666666,5,0.06,7,0.01,3,0.0,5,0 days 00:17:12
1,3,2,False,2,0.7246904761904761,1,0.27030952380952367,4,0.005,0,0.0,3,0.0,5,0 days 00:26:40
1,5,1,False,1,0.71,2,0.21233333333333335,4,0.06766666666666665,5,0.01,3,0.0,4,0 days 00:50:11
1,7,7,True,7,0.7,5,0.18,4,0.0665,1,0.0535,3,0.0,1,0 days 00:17:10
1,7,0,False,0,0.4325436507936507,2,0.28383333333333327,7,0.27362301587301574,4,0.0075,3,0.0025,3,0 days 00:17:47
1,7,3,False,3,0.329547619047619,1,0.3275714285714285,6,0.3228809523809523,2,0.02,0,0.0,8,0 days 00:27:54
1,4,2,False,2,0.59,7,0.28,8,0.11,1,0.02,3,0.0,6,0 days 00:50:22
1,1,1,True,1,0.7759920634920634,0,0.06576190476190477,3,0.0568968253968254,2,0.050746031746031754,6,0.05060317460317461,1,0 days 00:17:40
1,1,4,False,4,0.78,5,0.18,1,0.04,0,0.0,3,0.0,3,0 days 01:28:10
1,1,1,True,1,0.99,0,0.01,2,0.0,3,0.0,4,0.0,1,0 days 00:08:45
1,1,1,True,1,0.9416666666666668,4,0.03,2,0.018333333333333333,5,0.01,3,0.0,1,0 days 00:40:40
1,1,1,True,1,0.6518333333333334,8,0.27,0,0.06816666666666667,3,0.006666666666666666,6,0.003333333333333333,1,0 days 00:17:44
1,2,7,False,7,0.88,1,0.09,5,0.03,0,0.0,3,0.0,6,0 days 01:01:13
1,1,7,False,7,0.86,4,0.1,5,0.04,0,0.0,3,0.0,7,0 days 01:01:59
1,0,1,False,1,0.5525833333333332,2,0.43575,7,0.011666666666666665,0,0.0,3,0.0,4,0 days 00:33:53
1,5,1,False,1,0.8766666666666667,4,0.12,5,0.003333333333333333,0,0.0,3,0.0,3,0 days 00:49:36
1,3,1,False,1,0.7460000000000001,3,0.174,7,0.06,2,0.02,0,0.0,2,0 days 00:17:23
1,5,7,False,7,0.5121190476190478,5,0.4378809523809524,1,0.04,0,0.01,3,0.0,2,0 days 00:51:38
1,3,1,False,1,0.96,7,0.03,2,0.01,0,0.0,3,0.0,5,0 days 00:25:45
1,5,1,False,1,0.9746666666666667,8,0.025333333333333336,2,0.0,0,0.0,4,0.0,6,0 days 00:03:10
1,5,1,False,1,0.6671190476190476,6,0.3228809523809524,7,0.01,0,0.0,3,0.0,7,0 days 00:23:52
1,5,4,False,4,0.71,5,0.19,1,0.1,0,0.0,3,0.0,2,0 days 01:27:52
1,5,1,False,1,0.4965,5,0.4093333333333334,2,0.08916666666666666,4,0.005,3,0.0,2,0 days 01:00:02
1,1,1,True,1,0.7200158730158732,3,0.27998412698412695,0,0.0,2,0.0,4,0.0,1,0 days 00:17:16
